UKPRN,UnitOfAssessment,MultipleSubmission,Profile,FourStar,ThreeStar,TwoStar,OneStar,Unclassified
10006840,2,,Environment,12.5,87.5,0,0,0
10006840,2,,Impact,58,42,0,0,0
10006840,2,,Outputs,24.7,50,22.7,2.6,0
10006840,2,,Overall,30,54,14,2,0
10007786,2,,Environment,100,0,0,0,0
10007786,2,,Impact,100,0,0,0,0
10007786,2,,Outputs,23.7,55,18.9,2,0.4
10007786,2,,Overall,50,36,12,2,0
10000961,2,,Environment,12.5,75,12.5,0,0
10000961,2,,Impact,60,40,0,0,0
10000961,2,,Outputs,9.5,45.3,30.9,9.5,4.8
10000961,2,,Overall,20,49,22,6,3
10007788,2,,Environment,100,0,0,0,0
10007788,2,,Impact,28.6,65.7,5.7,0,0
10007788,2,,Outputs,45.8,45.2,7.7,0,1.3
10007788,2,,Overall,50,43,6,0,1
10007789,2,,Environment,0,100,0,0,0
10007789,2,,Impact,50,50,0,0,0
10007789,2,,Outputs,17.9,58.9,23.2,0,0
10007789,2,,Overall,22,63,15,0,0
10007792,2,,Environment,37.5,62.5,0,0,0
10007792,2,,Impact,40,60,0,0,0
10007792,2,,Outputs,16.9,59.5,21.4,2.2,0
10007792,2,,Overall,25,60,14,1,0
10003270,2,,Environment,100,0,0,0,0
10003270,2,,Impact,83.3,16.7,0,0,0
10003270,2,,Outputs,39.2,46.6,12.8,0.5,0.9
10003270,2,,Overall,57,34,8,0,1
10007767,2,,Environment,25,75,0,0,0
10007767,2,,Impact,90,10,0,0,0
10007767,2,,Outputs,21.6,64.9,13.5,0,0
10007767,2,,Overall,36,55,9,0,0
10003645,2,,Environment,25,75,0,0,0
10003645,2,,Impact,80,20,0,0,0
10003645,2,,Outputs,25.9,51.9,22.2,0,0
10003645,2,,Overall,37,49,14,0,0
10007795,2,,Environment,50,50,0,0,0
10007795,2,,Impact,50,40,10,0,0
10007795,2,,Outputs,22.8,52.4,21.8,3,0
10007795,2,,Overall,32,50,16,2,0
10003861,2,,Environment,0,0,25,75,0
10003861,2,,Impact,0,50,50,0,0
10003861,2,,Outputs,1.1,15,37.7,39.7,6.5
10003861,2,,Overall,1,19,39,37,4
10007796,2,,Environment,50,50,0,0,0
10007796,2,,Impact,66.7,33.3,0,0,0
10007796,2,,Outputs,22.6,52.4,19,3.6,2.4
10007796,2,,Overall,36,48,12,2,2
10006842,2,,Environment,50,50,0,0,0
10006842,2,,Impact,90,10,0,0,0
10006842,2,,Outputs,19.3,39.5,33.3,4.4,3.5
10006842,2,,Overall,38,35,22,3,2
10003958,2,,Environment,12.5,62.5,25,0,0
10003958,2,,Impact,80,20,0,0,0
10003958,2,,Outputs,32.1,42.7,22.9,2.3,0
10003958,2,,Overall,39,41,19,1,0
10007784,2,,Environment,100,0,0,0,0
10007784,2,,Impact,78.8,16.5,4.7,0,0
10007784,2,,Outputs,23.4,48.3,24.7,2.7,0.9
10007784,2,,Overall,46,35,17,1,1
10007771,2,,Environment,100,0,0,0,0
10007771,2,,Impact,76.3,20.7,3,0,0
10007771,2,,Outputs,19.2,50.8,27.7,1.8,0.5
10007771,2,,Overall,43,37,19,1,0
10007798,2,,Environment,37.5,62.5,0,0,0
10007798,2,,Impact,10,50,40,0,0
10007798,2,,Outputs,13.9,46,33.5,5.1,1.5
10007798,2,,Overall,17,49,30,3,1
10007799,2,,Environment,50,50,0,0,0
10007799,2,,Impact,40,60,0,0,0
10007799,2,,Outputs,14.4,46.2,36.5,2.9,0
10007799,2,,Overall,25,49,24,2,0
10007154,2,,Environment,50,50,0,0,0
10007154,2,,Impact,80,20,0,0,0
10007154,2,,Outputs,21.9,50,24.6,3.5,0
10007154,2,,Overall,38,44,16,2,0
10007774,2,,Environment,75,25,0,0,0
10007774,2,,Impact,90,10,0,0,0
10007774,2,,Outputs,42.2,44.8,10.9,1.6,0.5
10007774,2,,Overall,57,35,7,1,0
10007155,2,,Environment,0,37.5,50,12.5,0
10007155,2,,Impact,10,70,20,0,0
10007155,2,,Outputs,0,25.9,66.7,7.4,0
10007155,2,,Overall,2,36,55,7,0
10007775,2,,Environment,62.5,37.5,0,0,0
10007775,2,,Impact,76.7,23.3,0,0,0
10007775,2,,Outputs,30.4,47.9,20.3,1.4,0
10007775,2,,Overall,44,42,13,1,0
10007782,2,,Environment,0,87.5,12.5,0,0
10007782,2,,Impact,80,10,10,0,0
10007782,2,,Outputs,24.4,58.5,14.7,2.4,0
10007782,2,,Overall,32,53,13,2,0
10007157,2,,Environment,75,25,0,0,0
10007157,2,,Impact,95,5,0,0,0
10007157,2,,Outputs,12.1,41.7,37.4,8.1,0.7
10007157,2,,Overall,38,32,24,6,0
10007158,2,,Environment,0,75,25,0,0
10007158,2,,Impact,50,50,0,0,0
10007158,2,,Outputs,41.9,44.1,11.7,2.3,0
10007158,2,,Overall,37,50,12,1,0
10007163,2,,Environment,12.5,62.5,25,0,0
10007163,2,,Impact,80,20,0,0,0
10007163,2,,Outputs,32.1,42.7,22.9,2.3,0
10007163,2,,Overall,39,41,19,1,0
10007167,2,,Environment,100,0,0,0,0
10007167,2,,Impact,80,20,0,0,0
10007167,2,,Outputs,17.1,56.6,24.8,1.5,0
10007167,2,,Overall,42,41,16,1,0
10007783,2,,Environment,50,50,0,0,0
10007783,2,,Impact,66.7,20,13.3,0,0
10007783,2,,Outputs,20.3,53.9,25.3,0.5,0
10007783,2,,Overall,34,47,19,0,0
10007852,2,,Environment,0,62.5,37.5,0,0
10007852,2,,Impact,53.3,46.7,0,0,0
10007852,2,,Outputs,21.1,38.5,33.4,7,0
10007852,2,,Overall,24,44,27,5,0
10007794,2,,Environment,62.5,37.5,0,0,0
10007794,2,,Impact,33.3,66.7,0,0,0
10007794,2,,Outputs,14,53.4,30.9,1.7,0
10007794,2,,Overall,25,54,20,1,0
10007814,2,,Environment,50,50,0,0,0
10007814,2,,Impact,63.3,10,26.7,0,0
10007814,2,,Outputs,25.2,45.7,26.2,2.9,0
10007814,2,,Overall,37,39,22,2,0
10005343,2,,Environment,62.5,37.5,0,0,0
10005343,2,,Impact,20,50,30,0,0
10005343,2,,Outputs,15.1,47.2,34.9,0.9,1.9
10005343,2,,Overall,23,46,29,1,1
