Institution,FourStarMean,ThreeStarMean,TwoStarMean,OneStarMean,UnclassifiedMean,Region,Distance from London,,,,,,,,,
Aberystwyth University,16.05882353,46.11764706,31.29411765,6,0.529411765,Wales,288.4,,,,,,,If there are multiple campus' pick either the closest or take the mean,,
Anglia Ruskin University,6.466666667,36.13333333,42.06666667,12.86666667,2.466666667,East England,64.3,,,,,,,,,
Arts University Bournemouth,7,36,38,18,1,South West England,150.2,,,,,,,,,
Aston University,24.71428571,49.42857143,24,1.714285714,0.142857143,West Midlands,162.6,,,,,,,,,
Bangor University,24.35714286,50.21428571,21.42857143,3.214285714,0.785714286,Wales,296.8,,,,,,,,,
Bath Spa University,12.16666667,39,35.33333333,12.33333333,1.166666667,South West England,161,,,,,,,,,
Birkbeck College,27.85714286,45.85714286,22.85714286,3.071428571,0.357142857,London,1.6,,,,,,,,,
Birmingham City University,12,41.09090909,34.90909091,10.63636364,1.363636364,West Midlands,162.7,,,,,,,,,
Bishop Grosseteste University,6.666666667,16,50.66666667,23.33333333,3.333333333,East Midlands,195.3,,,,,,,,,
Bournemouth University,17.5,44,34,4.25,0.25,South West England,150,,,,,,,,,
Brunel University London,16.14285714,44.85714286,31.42857143,6.666666667,0.904761905,London,23.8,,,,,,,,,
Buckinghamshire New University,6,28.75,45,16.25,4,South East England,35.2,,,,,,,,,
Canterbury Christ Church University,6.7,38.9,41.9,11.2,1.3,South East England,88.4,,,,,,,,,
Cardiff Metropolitan University,24,54.66666667,18.66666667,2,0.666666667,Wales,212,,,,,,,,,
Cardiff University,37.37037037,47.96296296,13.14814815,1.407407407,0.111111111,Wales,211.4,,,,,,,,,
City University London,20.58333333,51.91666667,23,3.416666667,1.083333333,London,2.9,,,,,,,,,
Courtauld Institute of Art,56,39,4,0,1,London,0.9,,,,,,,,,
Coventry University,12,48.11111111,32.55555556,7.111111111,0.222222222,West Midlands,137.6,,,,,,,,,
Cranfield University,26.66666667,50,22.33333333,1,0,East England,72,,,,,,,,,
De Montfort University,17.5,42.33333333,34.25,5.333333333,0.583333333,East Midlands,142.8,,,,,,,,,
Edge Hill University,6.916666667,31.16666667,39,19.25,3.666666667,North West England,294.5,,,,,,,,,
Edinburgh Napier University,10.66666667,43,37.66666667,7.333333333,1.333333333,Scotland,532.8666667,,,,,,,,,
Falmouth University,7,21,48.5,16,7.5,South West England,379.6666667,,,,,,,,,
Glasgow Caledonian University,10.33333333,45,37.11111111,7.333333333,0.222222222,Scotland,555.9,,,,,,,,,
Glasgow School of Art,23,38,31,8,0,Scotland,556.3,,,,,,,,,
Glynd?r University,4,25.75,42,26.75,1.5,Wales,260.8,,,,,,,,,
Goldsmiths' College,22.53846154,44.84615385,29.30769231,2.769230769,0.538461538,London,7.4,,,,,,,,,
Guildhall School of Music & Drama,21,30,31,8,10,London,2.8,,,,,,,,,
Harper Adams University,10,46,44,0,0,West Midlands,211.5,,,,,,,,,
Heriot-Watt University,23.91666667,51.16666667,20.66666667,3.5,0.75,Scotland,533.2,,,,,,,,,
Heythrop College,22,40,36,2,0,London,4.4,,,,,,,,,
Imperial College London,46.71428571,46.14285714,6.571428571,0.5,0.071428571,London,3.4,,,,,,,,,
Institute of Cancer Research,52,41,6.5,0,0.5,London,13.83333333,,,,,,,,,
Institute of Zoology,22,68,10,0,0,London,3.7,,,,,,,,,
Keele University,17.88235294,47.88235294,30.23529412,3.352941176,0.647058824,West Midlands,221.5,,,,,,,,,
