UKPRN,Institution,SortOrder,UnitOfAssessment,Profile,FourStar,ThreeStar,TwoStar,OneStar,Unclassified
10000291,Anglia Ruskin University,10,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,10,72,18,0,0
10000291,Anglia Ruskin University,10,"Psychology, Psychiatry and Neuroscience",Overall,7,45,30,18,0
10000291,Anglia Ruskin University,10,Biological Sciences,Overall,0,25,39,20,16
10000291,Anglia Ruskin University,10,General Engineering,Overall,0,34,60,6,0
10000291,Anglia Ruskin University,10,"Architecture, Built Environment and Planning",Overall,8,21,45,26,0
10000291,Anglia Ruskin University,10,"Geography, Environmental Studies and Archaeology",Overall,13,41,43,3,0
10000291,Anglia Ruskin University,10,Business and Management Studies,Overall,6,45,37,9,3
10000291,Anglia Ruskin University,10,Law,Overall,2,26,54,14,4
10000291,Anglia Ruskin University,10,Social Work and Social Policy,Overall,7,21,53,19,0
10000291,Anglia Ruskin University,10,Education,Overall,0,26,45,26,3
10000291,Anglia Ruskin University,10,English Language and Literature,Overall,8,37,45,10,0
10000291,Anglia Ruskin University,10,History,Overall,8,26,44,14,8
10000291,Anglia Ruskin University,10,"Art and Design: History, Practice and Theory",Overall,4,43,44,9,0
10000291,Anglia Ruskin University,10,"Music, Drama, Dance and Performing Arts",Overall,12,34,32,19,3
10000291,Anglia Ruskin University,10,"Communication, Cultural and Media Studies, Library and Information Management",Overall,12,46,42,0,0
10007759,Aston University,20,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,45,49,5,0,1
10007759,Aston University,20,Computer Science and Informatics,Overall,16,45,39,0,0
10007759,Aston University,20,"Electrical and Electronic Engineering, Metallurgy and Materials",Overall,16,55,28,1,0
10007759,Aston University,20,General Engineering,Overall,15,57,24,4,0
10007759,Aston University,20,Business and Management Studies,Overall,30,48,21,1,0
10007759,Aston University,20,Area Studies,Overall,27,54,19,0,0
10007759,Aston University,20,Modern Languages and Linguistics,Overall,24,38,32,6,0
10007850,University of Bath,30,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,51,40,8,1,0
10007850,University of Bath,30,Biological Sciences,Overall,23,62,14,0,1
10007850,University of Bath,30,Chemistry,Overall,25,73,2,0,0
10007850,University of Bath,30,Physics,Overall,25,66,9,0,0
10007850,University of Bath,30,Mathematical Sciences,Overall,26,62,10,2,0
10007850,University of Bath,30,Computer Science and Informatics,Overall,11,71,17,1,0
10007850,University of Bath,30,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Overall,19,70,11,0,0
10007850,University of Bath,30,"Electrical and Electronic Engineering, Metallurgy and Materials",Overall,13,78,9,0,0
10007850,University of Bath,30,"Architecture, Built Environment and Planning",Overall,50,40,8,2,0
10007850,University of Bath,30,Business and Management Studies,Overall,41,43,12,3,1
10007850,University of Bath,30,Social Work and Social Policy,Overall,46,34,18,1,1
10007850,University of Bath,30,"Sport and Exercise Sciences, Leisure and Tourism",Overall,47,43,10,0,0
10007850,University of Bath,30,Area Studies,Overall,23,45,23,8,1
10000571,Bath Spa University,40,Education,Overall,5,30,43,19,3
10000571,Bath Spa University,40,English Language and Literature,Overall,15,52,26,4,3
10000571,Bath Spa University,40,History,Overall,2,34,44,20,0
10000571,Bath Spa University,40,"Art and Design: History, Practice and Theory",Overall,12,35,44,8,1
10000571,Bath Spa University,40,"Music, Drama, Dance and Performing Arts",Overall,26,32,27,15,0
10000571,Bath Spa University,40,"Communication, Cultural and Media Studies, Library and Information Management",Overall,13,51,28,8,0
10007152,University of Bedfordshire,50,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,24,49,23,3,1
10007152,University of Bedfordshire,50,Earth Systems and Environmental Sciences,Overall,0,15,67,18,0
10007152,University of Bedfordshire,50,Computer Science and Informatics,Overall,5,33,52,10,0
10007152,University of Bedfordshire,50,Business and Management Studies,Overall,7,30,55,8,0
10007152,University of Bedfordshire,50,Law,Overall,0,25,44,24,7
10007152,University of Bedfordshire,50,Social Work and Social Policy,Overall,30,48,19,3,0
10007152,University of Bedfordshire,50,Education,Overall,12,25,40,23,0
10007152,University of Bedfordshire,50,"Sport and Exercise Sciences, Leisure and Tourism",Overall,9,32,51,7,1
10007152,University of Bedfordshire,50,English Language and Literature,Overall,45,33,22,0,0
10007152,University of Bedfordshire,50,"Music, Drama, Dance and Performing Arts",Overall,11,9,40,29,11
10007152,University of Bedfordshire,50,"Communication, Cultural and Media Studies, Library and Information Management",Overall,9,46,36,9,0
10007760,Birkbeck College,60,"Psychology, Psychiatry and Neuroscience",Overall,60,29,8,2,1
10007760,Birkbeck College,60,Biological Sciences,Overall,46,36,16,1,1
10007760,Birkbeck College,60,Earth Systems and Environmental Sciences,Overall,34,58,7,1,0
10007760,Birkbeck College,60,Computer Science and Informatics,Overall,21,47,20,12,0
10007760,Birkbeck College,60,Economics and Econometrics,Overall,7,52,36,4,1
10007760,Birkbeck College,60,Business and Management Studies,Overall,10,39,42,9,0
10007760,Birkbeck College,60,Law,Overall,24,49,26,1,0
10007760,Birkbeck College,60,Politics and International Studies,Overall,30,42,24,4,0
10007760,Birkbeck College,60,Sociology,Overall,22,49,28,1,0
10007760,Birkbeck College,60,Modern Languages and Linguistics,Overall,22,51,26,1,0
10007760,Birkbeck College,60,English Language and Literature,Overall,23,52,21,3,1
10007760,Birkbeck College,60,History,Overall,35,50,14,0,1
10007760,Birkbeck College,60,Philosophy,Overall,32,41,27,0,0
10007760,Birkbeck College,60,"Art and Design: History, Practice and Theory",Overall,24,47,25,4,0
10006840,University of Birmingham,70,Clinical Medicine,Overall,27,53,18,1,1
10006840,University of Birmingham,70,"Public Health, Health Services and Primary Care",Overall,30,54,14,2,0
10006840,University of Birmingham,70,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,30,69,1,0,0
10006840,University of Birmingham,70,"Psychology, Psychiatry and Neuroscience",Overall,52,37,11,0,0
10006840,University of Birmingham,70,Biological Sciences,Overall,32,59,7,1,1
10006840,University of Birmingham,70,Earth Systems and Environmental Sciences,Overall,13,80,7,0,0
10006840,University of Birmingham,70,Chemistry,Overall,11,79,10,0,0
10006840,University of Birmingham,70,Physics,Overall,23,61,14,2,0
10006840,University of Birmingham,70,Mathematical Sciences,Overall,15,65,16,0,4
10006840,University of Birmingham,70,Computer Science and Informatics,Overall,29,57,13,0,1
10006840,University of Birmingham,70,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Overall,14,71,15,0,0
10006840,University of Birmingham,70,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Overall,27,60,13,0,0
10006840,University of Birmingham,70,"Electrical and Electronic Engineering, Metallurgy and Materials",Overall,14,72,12,1,1
10006840,University of Birmingham,70,"Electrical and Electronic Engineering, Metallurgy and Materials",Overall,31,55,9,4,1
10006840,University of Birmingham,70,Civil and Construction Engineering,Overall,7,59,30,4,0
10006840,University of Birmingham,70,"Geography, Environmental Studies and Archaeology",Overall,30,46,22,2,0
10006840,University of Birmingham,70,Economics and Econometrics,Overall,10,59,30,1,0
10006840,University of Birmingham,70,Business and Management Studies,Overall,21,47,27,5,0
10006840,University of Birmingham,70,Law,Overall,29,43,24,4,0
10006840,University of Birmingham,70,Politics and International Studies,Overall,24,39,28,9,0
10006840,University of Birmingham,70,Social Work and Social Policy,Overall,23,53,21,2,1
10006840,University of Birmingham,70,Education,Overall,47,35,15,3,0
10006840,University of Birmingham,70,"Sport and Exercise Sciences, Leisure and Tourism",Overall,55,35,9,1,0
10006840,University of Birmingham,70,Area Studies,Overall,44,49,7,0,0
10006840,University of Birmingham,70,Modern Languages and Linguistics,Overall,16,59,24,1,0
10006840,University of Birmingham,70,English Language and Literature,Overall,34,53,11,2,0
10006840,University of Birmingham,70,History,Overall,45,42,13,0,0
10006840,University of Birmingham,70,Classics,Overall,38,43,18,1,0
10006840,University of Birmingham,70,Philosophy,Overall,49,34,15,2,0
10006840,University of Birmingham,70,Theology and Religious Studies,Overall,51,28,17,4,0
10006840,University of Birmingham,70,"Art and Design: History, Practice and Theory",Overall,33,49,15,3,0
10006840,University of Birmingham,70,"Music, Drama, Dance and Performing Arts",Overall,38,50,12,0,0
10006840,University of Birmingham,70,"Music, Drama, Dance and Performing Arts",Overall,30,39,24,4,3
10007140,Birmingham City University,80,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,5,58,28,5,4
10007140,Birmingham City University,80,Computer Science and Informatics,Overall,8,26,36,22,8
10007140,Birmingham City University,80,"Architecture, Built Environment and Planning",Overall,14,42,40,4,0
10007140,Birmingham City University,80,Business and Management Studies,Overall,14,29,42,15,0
10007140,Birmingham City University,80,Law,Overall,0,37,51,12,0
10007140,Birmingham City University,80,Social Work and Social Policy,Overall,0,30,44,24,2
10007140,Birmingham City University,80,Education,Overall,11,28,49,12,0
10007140,Birmingham City University,80,English Language and Literature,Overall,25,52,20,3,0
10007140,Birmingham City University,80,"Art and Design: History, Practice and Theory",Overall,26,43,25,5,1
10007140,Birmingham City University,80,"Music, Drama, Dance and Performing Arts",Overall,20,49,27,4,0
