Institution,Region
Aberystwyth University,Wales
Anglia Ruskin University,East England
Arts University Bournemouth,South West England
Aston University,West Midlands
Bangor University,Wales
Bath Spa University,South West England
Birkbeck College,London
Birmingham City University,West Midlands
Bishop Grosseteste University,East Midlands
Bournemouth University,South West England
Brunel University London,London
Buckinghamshire New University,South East England
Canterbury Christ Church University,South East England
Cardiff Metropolitan University,Wales
Cardiff University,Wales
City University London,London
Courtauld Institute of Art,London
Coventry University,West Midlands
Cranfield University,East England
De Montfort University,East Midlands
Edge Hill University,North West England
Edinburgh Napier University,Scotland
Falmouth University,South West England
Glasgow Caledonian University,Scotland
Glasgow School of Art,Scotland
Glynd?r University,Wales
Goldsmiths' College,London
Guildhall School of Music & Drama,London
Harper Adams University,West Midlands
Heriot-Watt University,Scotland
Heythrop College,London
Imperial College London,London
Institute of Cancer Research,London
Institute of Zoology,London
Keele University,West Midlands
King's College London,London
Kingston University,London
Lancaster University,North West England
Leeds Beckett University,Yorkshire and the Humber
Leeds Trinity University,Yorkshire and the Humber
Liverpool Hope University,North West England
Liverpool John Moores University,North West England
Liverpool School of Tropical Medicine,North West England
London Business School,London
London Metropolitan University,London
London School of Economics and Political Science,London
London School of Hygiene & Tropical Medicine,London
London South Bank University,London
Loughborough University,East Midlands
Manchester Metropolitan University,North West England
Middlesex University,London
Newcastle University,North East England
Newman University,West Midlands
Norwich University of the Arts,East England
Nottingham Trent University,East Midlands
Open University,Distance Learning
Oxford Brookes University,South East England
Queen's University Belfast,Northen Ireland
Queen Margaret University Edinburgh,Scotland
Queen Mary University of London,London
Robert Gordon University,Scotland
Roehampton University,London
Rose Bruford College,London
Royal Academy of Music,London
Royal Agricultural University,South West England
Royal Central School of Speech and Drama,London
Royal College of Art,London
Royal College of Music,London
Royal Conservatoire of Scotland,Scotland
"Royal Holloway, University of London",London
Royal Northern College of Music,North West England
Royal Veterinary College,London
School of Oriental and African Studies,London
Sheffield Hallam University,Yorkshire and the Humber
Southampton Solent University,South East England
SRUC,Scotland
St Mary's University College,Northen Ireland
"St Mary's University, Twickenham",London
"St.George's, University of London",London
Staffordshire University,West Midlands
Stranmillis University College,Northen Ireland
Swansea University,Wales
Teesside University,North East England
The University of West London,London
Trinity Laban Conservatoire of Music and Dance,London
University College London,London
University for the Creative Arts,South East England
University of Aberdeen,Scotland
University of Abertay Dundee,Scotland
University of Bath,South West England
University of Bedfordshire,East England
University of Birmingham,West Midlands
University of Bolton,North West England
University of Bradford,Yorkshire and the Humber
University of Brighton,South East England
University of Bristol,South West England
University of Cambridge,East England
University of Central Lancashire,North West England
University of Chester,North West England
University of Chichester,South East England
University of Cumbria,North West England
University of Derby,East Midlands
University of Dundee,Scotland
University of Durham,North East England
University of East Anglia,East England
University of East London,London
University of Edinburgh,Scotland
University of Essex,East England
University of Exeter,South West England
University of Glasgow,Scotland
University of Gloucestershire,South West England
University of Greenwich,London
University of Hertfordshire,East England
University of Huddersfield,Yorkshire and the Humber
University of Hull,Yorkshire and the Humber
University of Kent,South East England
University of Leeds,Yorkshire and the Humber
University of Leicester,East Midlands
University of Lincoln,East Midlands
University of Liverpool,North West England
University of London Institute in Paris,France
University of Manchester,North West England
University of Northampton,East Midlands
University of Northumbria at Newcastle,North East England
University of Nottingham,East Midlands
University of Oxford,South East England
University of Plymouth,South West England
University of Portsmouth,South East England
University of Reading,South East England
University of Salford,North West England
University of Sheffield,Yorkshire and the Humber
University of South Wales,Wales
University of Southampton,South East England
University of St Andrews,Scotland
University of Stirling,Scotland
University of Strathclyde,Scotland
University of Sunderland,North East England
University of Surrey,South East England
University of Sussex,South East England
"University of the Arts, London",London
University of the Highlands and Islands,Scotland
"University of the West of England, Bristol",South West England
University of the West of Scotland,Scotland
University of Ulster,Northen Ireland
University of Wales,Wales
University of Wales Trinity Saint David,Wales
University of Warwick,West Midlands
University of Westminster,London
University of Winchester,South East England
University of Wolverhampton,West Midlands
University of Worcester,West Midlands
University of York,Yorkshire and the Humber
Writtle College,East England
York St John University,Yorkshire and the Humber
