,A*,A,B,C,Av. Rank,Four Str
10003861,0,1,0,8,1.2222222222222223,0.0
10006566,0,1,2,4,1.5714285714285714,0.0
10007823,0,0,2,1,1.6666666666666667,0.0
10007848,0,2,5,4,1.8181818181818181,0.0
10006299,0,2,8,4,1.8571428571428572,0.0
10004797,1,5,6,8,1.95,0.0
10007851,0,9,4,6,2.05,5.4
10007793,1,7,9,7,2.0833333333333335,0.0
10007159,0,6,3,4,2.1538461538461537,0.0
10005500,3,5,6,7,2.1904761904761907,0.0
10004180,2,9,2,6,2.3684210526315788,0.0
10007152,9,21,16,14,2.377049180327869,8.3
10003956,3,6,4,5,2.388888888888889,0.0
10007772,6,4,4,7,2.4285714285714284,4.3
10007796,5,17,11,9,2.4285714285714284,22.5
10007156,4,5,11,3,2.4347826086956523,2.0
10007147,8,29,33,10,2.4375,9.2
10007144,3,1,5,2,2.4545454545454546,6.3
10007762,5,5,10,4,2.4583333333333335,4.3
10007165,5,24,21,4,2.4642857142857144,0.0
10004930,4,11,6,4,2.5,18.6
10007800,4,6,12,2,2.5,6.8
10003957,7,9,10,4,2.5483870967741935,0.0
10007155,8,8,5,8,2.5517241379310347,19.0
10004113,10,18,18,8,2.5555555555555554,5.9
10007803,6,20,5,6,2.5641025641025643,30.1
10004048,0,8,3,1,2.5833333333333335,0.0
10007805,9,19,12,8,2.6041666666666665,13.1
10002718,6,10,7,5,2.607142857142857,11.8
10007767,3,5,7,1,2.625,4.2
10001726,9,11,10,6,2.638888888888889,5.0
10001282,6,8,4,5,2.652173913043478,9.7
10007764,7,25,12,6,2.66,12.1
10007149,6,15,7,5,2.6666666666666665,10.0
10007833,3,8,7,1,2.6842105263157894,7.1
10001883,17,17,11,12,2.6842105263157894,13.5
10007759,12,23,10,8,2.685185185185185,11.8
10007140,1,9,1,2,2.6923076923076925,0.0
10007148,6,12,9,3,2.7,13.0
10000961,20,20,19,11,2.7,23.1
10007146,5,6,7,2,2.7,8.0
10001478,12,37,16,9,2.7027027027027026,10.5
10007773,12,20,10,8,2.72,13.6
10007783,13,21,7,10,2.7254901960784315,23.0
10007855,10,22,13,5,2.74,32.9
10007760,4,17,6,1,2.7586206896551726,32.3
10007807,31,34,38,10,2.7610619469026547,5.3
10004351,13,49,27,4,2.763440860215054,8.5
10007164,9,18,10,4,2.7804878048780486,14.5
10007814,12,21,11,4,2.795918367346939,21.4
10007857,7,4,7,2,2.8,12.9
10007850,10,25,12,4,2.803921568627451,15.2
10005343,18,32,23,5,2.8076923076923075,12.5
10007160,11,15,8,5,2.8205128205128207,11.5
10007794,13,39,9,8,2.8260869565217392,23.3
10007150,9,33,9,3,2.8363636363636364,17.9
10007799,12,25,9,4,2.843137254901961,25.0
10007852,10,7,10,2,2.8620689655172415,22.0
10007792,7,10,4,3,2.875,31.6
10007786,14,23,10,5,2.8846153846153846,23.3
10007804,14,20,10,4,2.9166666666666665,9.1
10007151,10,10,6,3,2.9310344827586206,16.0
10007856,23,30,18,5,2.9342105263157894,25.3
10005553,21,28,8,8,2.953846153846154,32.2
10007798,39,58,22,9,2.9689922480620154,29.1
10006840,27,26,19,5,2.9740259740259742,28.7
10000886,2,15,2,0,3.0,3.1
10007158,43,70,22,9,3.0,30.5
10007768,21,21,13,4,3.0,30.0
10007789,26,10,11,7,3.0185185185185186,31.4
10007806,13,14,8,2,3.027027027027027,22.8
10007801,16,12,10,2,3.05,23.1
10003678,13,11,9,1,3.0588235294117645,7.5
10007167,33,43,14,6,3.0729166666666665,25.9
10007157,22,25,13,2,3.0806451612903225,32.1
10007154,36,36,16,5,3.10752688172043,22.2
10007790,80,57,21,15,3.1136363636363638,33.4
10006842,13,24,5,0,3.116279069767442,39.4
10003270,53,57,14,10,3.1185185185185187,43.1
10007795,29,24,13,2,3.130434782608696,20.0
10007791,43,51,14,7,3.130434782608696,23.0
10007775,21,21,5,4,3.156862745098039,32.5
10007161,4,5,2,0,3.1818181818181817,4.7
10003645,45,70,14,2,3.1818181818181817,34.0
10007774,70,78,20,7,3.2057142857142855,47.5
10007143,30,12,11,3,3.232142857142857,20.3
10007788,26,32,2,3,3.2857142857142856,37.0
10007163,47,20,11,2,3.4,51.5
10007784,76,69,8,1,3.4285714285714284,49.0
