UKPRN,UnitOfAssessment,MultipleSubmission,Source,Income2008,Income2009,Income2010,Income2011,Income2012
10007759,11,,1,305539,148644,102014,105609,8279
10007759,11,,2,-8698,19711,161513,81765,76724
10007759,11,,4,97863,129684,177617,242365,-41600
10007759,11,,5,51319,16754,276481,164951,196560
10007759,11,,6,87251,85693,311810,610454,576738
10007759,11,,11,0,0,0,0,3308
10007759,11,,13,10898,27552,20444,6831,39508
10007850,11,,1,580232,316613,313971,479479,871968
10007850,11,,2,96022,84564,103620,69931,11810
10007850,11,,4,235106,187459,150124,126848,125127
10007850,11,,5,234481,220261,100437,96131,1419
10007850,11,,6,180226,171877,161062,37319,37702
10007850,11,,8,6553,4147,0,0,0
10007850,11,,11,53408,6935,-1609,0,0
10007850,11,,12,0,79,174104,8922,0
10007850,11,,13,4410,-7151,0,0,0
10007152,11,,1,175288,119080,33238,72246,-56493
10007152,11,,2,0,26355,26911,19950,0
10007152,11,,3,0,0,0,7806,14062
10007152,11,,4,21343,95,31527,79799,101517
10007152,11,,5,60043,-4753,60317,46154,47815
10007152,11,,6,879233,902660,673325,872856,806319
10007152,11,,13,240,-395,5602,4519,0
10007760,11,,1,428860,425421,363568,211551,95873
10007760,11,,4,48489,0,0,2872,0
10007760,11,,6,31782,0,7693,17832,43699
10006840,11,,1,1033672,975182,1157464,1415781,1548325
10006840,11,,2,37852,28279,78018,93376,66041
10006840,11,,3,0,5681,0,0,0
10006840,11,,4,920,3182,3394,3212,475
10006840,11,,5,89924,136921,99467,65877,55123
10006840,11,,6,486992,591581,776119,854141,982053
10006840,11,,8,43239,37248,69511,50843,45375
10006840,11,,11,7270,137539,170968,114890,57714
10006840,11,,12,0,0,0,0,27822
10006840,11,,13,7286,662,914,0,4147
10007140,11,,1,5114,0,21451,17032,-21825
10007140,11,,4,307668,297919,241140,441194,36765
10007140,11,,5,137549,214692,248237,37878,24231
10007140,11,,6,0,0,36517,226581,144359
10007140,11,,9,0,45373,-8480,62052,0
10007140,11,,11,0,0,0,58000,26500
10007140,11,,13,-239283,0,108487,0,77018
10000886,11,,1,224906,184121,124967,68080,94793
10000886,11,,4,21284,54346,44987,71056,80889
10000886,11,,5,6128,4425,17656,11109,15701
