,A*,A,B,C,Av. Rank,Four Str
10007850,51,79,67,6,2.8620689655172415,13.3
10006840,67,71,39,7,3.043010752688172,14.0
10007785,14,32,5,2,3.0943396226415096,14.3
10000886,6,8,3,4,2.6363636363636362,11.1
10000961,83,65,48,21,2.9541284403669725,9.4
10007788,58,39,5,1,3.495145631067961,40.0
10007822,144,210,166,29,2.854280510018215,19.3
10007146,3,12,10,8,2.303030303030303,16.7
10003270,296,215,80,17,3.235483870967742,27.8
10007795,20,57,32,8,2.73728813559322,20.0
10003957,6,19,7,1,2.909090909090909,2.6
10007784,59,96,21,7,3.0806451612903225,22.5
10004113,136,195,94,23,2.9844097995545655,14.7
10007798,86,128,31,5,3.18,17.1
10007799,30,54,27,3,2.9224137931034484,25.0
10007138,2,6,10,2,2.4,0.0
10007155,18,18,4,1,3.2142857142857144,2.3
10007157,91,80,26,5,3.20873786407767,14.3
10007159,1,3,4,10,1.7222222222222223,2.5
10007166,7,9,11,5,2.5625,2.1
10007805,49,124,50,9,2.893162393162393,15.7
10005343,35,35,38,10,2.7583333333333333,10.5
