UKPRN,UnitOfAssessment,MultipleSubmission,Source,Income2008,Income2009,Income2010,Income2011,Income2012
10007850,12,,1,4089440,3332116,3220868,2489454,1610747
10007850,12,,2,57609,59152,168185,120346,148310
10007850,12,,3,46049,0,12927,40535,49429
10007850,12,,4,385563,232283,742668,777358,1095202
10007850,12,,5,911918,814532,963190,1397144,1120244
10007850,12,,6,81341,60963,314345,431816,719914
10007850,12,,8,2971,10080,11447,93638,151317
10007850,12,,11,172118,115672,135497,68940,56937
10007850,12,,12,27802,87162,252814,173756,164998
10007850,12,,13,-36286,12366,4568,-1009,0
10007850,12,,15,0,0,0,0,189600
10006840,12,A,1,458072,879929,732938,627998,222227
10006840,12,A,2,8216,2612,360,0,1440
10006840,12,A,3,14,0,0,0,0
10006840,12,A,4,765894,1264565,1082689,968542,506065
10006840,12,A,5,286630,210728,171809,227734,569250
10006840,12,A,6,127959,129562,95706,152528,350694
10006840,12,A,8,75392,2842,13576,20923,-516
10006840,12,A,9,8820,0,0,0,0
10006840,12,A,11,1454,144652,290927,154432,92527
10006840,12,A,12,0,18390,38,6489,44387
10006840,12,A,13,7127,452,101,0,4764
10006840,12,B,1,2043906,2254093,1816696,1767890,1709374
10006840,12,B,2,42117,54226,96673,139554,171525
10006840,12,B,3,-816,0,0,0,0
10006840,12,B,4,1661718,1472299,859685,460265,513056
10006840,12,B,5,475116,294169,372296,560199,466762
10006840,12,B,6,532265,542850,622043,509975,707058
10006840,12,B,8,25291,51991,54133,58135,26042
10006840,12,B,9,0,0,77077,290641,393017
10006840,12,B,11,70527,70285,81793,12019,70464
10006840,12,B,12,0,0,8820,273,27529
10006840,12,B,13,0,0,0,11985,16154
10007785,12,,1,931538,755843,629188,746044,778326
10007785,12,,2,108867,18135,20625,21154,13260
10007785,12,,4,322466,382457,659072,668590,759060
10007785,12,,5,415788,486051,512846,703457,605429
10007785,12,,6,366984,481687,592348,473992,525037
10007785,12,,8,21614,5262,28902,44248,43500
10007785,12,,9,6053,0,2000,552,9821
10007785,12,,10,0,0,0,0,764
10007785,12,,11,219123,86962,52224,-5390,86618
10007785,12,,13,11744,6572,41769,33045,2515
10000886,12,,1,120978,197073,192273,128368,136702
10000886,12,,2,2491,11074,15139,17612,4217
10000886,12,,4,332122,179867,378063,849161,662711
10000886,12,,5,339325,466932,413747,353337,549868
10000886,12,,6,97723,203850,126007,90677,66633
10000886,12,,9,0,0,0,0,16725
10000886,12,,15,0,73332,0,17404,35347
10000961,12,,1,2064621,1885505,1673965,2316388,2508430
10000961,12,,2,426,42,0,0,1215
10000961,12,,4,1209075,625453,740489,459280,357052
10000961,12,,5,826225,1068889,1701300,797690,2151754
10000961,12,,6,171189,41082,188323,1147709,1951207
10000961,12,,8,140475,370389,224250,81176,162992
10000961,12,,9,0,2524,6203,0,2444
10000961,12,,10,0,0,0,15426,0
10000961,12,,11,11611,31438,26824,61334,414298
10000961,12,,12,0,0,0,0,7231
10000961,12,,13,202533,102939,127801,77855,78767
10000961,12,,15,132256,104320,7530,6873,0
10007788,12,,1,3242565,2323289,1842929,1656225,1724985
10007788,12,,2,146386,59838,103666,118888,199939
10007788,12,,3,90919,70515,6210,33679,57854
10007788,12,,4,284144,486502,359260,139723,61853
10007788,12,,5,1449530,885560,1481532,1122898,771449
10007788,12,,6,429823,623896,706196,843563,1092613
10007788,12,,7,159,0,0,121283,88773
10007788,12,,8,94288,1038,156024,170952,150860
10007788,12,,9,2921,7231,-28777,184,-57075
10007788,12,,10,1046063,586643,441824,621142,522344
10007788,12,,11,166138,211928,267310,175709,384117
10007788,12,,12,3465,53341,30559,2142,283476
10007788,12,,13,20533,2938,1698,21403,-9942
10007788,12,,15,0,58786,43489,0,93752
10007822,12,,1,8000000,8339000,8142000,7330000,5852000
10007822,12,,2,201000,117000,215000,134000,168000
10007822,12,,3,579000,463000,966000,838000,455000
10007822,12,,4,3060000,3060000,3656000,2620000,2533000
10007822,12,,5,7898000,8302000,6912000,7555000,7024000
10007822,12,,6,2304000,2738000,2801000,3473000,3713000
10007822,12,,8,415000,337000,376000,1036000,786000
10007822,12,,11,870000,1132000,582000,1143000,1219000
10007822,12,,15,2675753,4436662,5071807,2748591,1329748
10007146,12,,1,485185,278466,207956,53663,132753
10007146,12,,2,22953,14905,26391,1769,1515
10007146,12,,3,0,0,10000,3800,0
10007146,12,,4,503007,318382,205174,126448,207101
10007146,12,,5,275540,160145,166128,169268,130436
10007146,12,,6,353897,494809,546286,553845,702518
10007146,12,,8,42742,103059,21686,29450,45240
10007146,12,,9,10820,0,0,0,0
10007146,12,,11,40370,8294,111313,116627,84211
10007146,12,,12,6549,45975,40459,14675,30542
10003270,12,,1,12417712,11345355,13397979,12976707,14268823
10003270,12,,2,704841,751915,701163,601126,832645
10003270,12,,3,-110191,378802,403980,516401,321646
10003270,12,,4,1580535,1575418,2010362,2106274,2059831
10003270,12,,5,5301828,4577464,4922988,4899114,7620515
10003270,12,,6,1874658,2834082,3613796,4162579,4896465
10003270,12,,7,0,0,30793,29499,29620
10003270,12,,8,1508859,1732043,1473881,2408374,1180085
10003270,12,,9,65202,41059,144183,92645,87862
10003270,12,,11,2345361,5012973,6308548,8460165,11817341
10003270,12,,12,753296,334653,789924,438165,718717
10003270,12,,13,-11851,20423,0,0,-20
10003270,12,,15,2501972,2104233,2194195,1677043,2065856
10007795,12,,1,1678739,2754549,1008819,2838871,2811126
10007795,12,,2,357667,677361,1007302,1013213,1053179
10007795,12,,3,34567,53212,41737,2969,2306
10007795,12,,4,914041,1217324,1184557,1001629,394891
10007795,12,,5,841566,782747,1030260,779244,394462
10007795,12,,6,373954,604851,381129,604899,818102
10007795,12,,8,88957,108073,94014,57369,45233
10007795,12,,10,50524,46314,0,0,0
10007795,12,,11,120848,175101,173330,210829,197681
10007795,12,,12,77013,118829,118308,62812,75698
10007795,12,,13,141315,101407,75637,181052,142659
10007795,12,,15,0,0,195698,0,0
10003957,12,,1,92922,139439,172773,148487,80530
10003957,12,,2,11027,-1225,2557,41015,0
10003957,12,,3,0,1440,0,0,18104
10003957,12,,4,96496,102252,50557,2988,32025
10003957,12,,5,106470,61010,0,61378,0
10003957,12,,6,646,69107,89113,124478,33852
10003957,12,,7,0,0,0,0,204745
10003957,12,,11,0,8179,19960,11450,25354
10003957,12,,12,0,0,0,9315,9727
10003957,12,,13,17464,12337,76604,0,0
10003957,12,,15,0,0,57516,0,0
10007784,12,,1,2482000,3081000,2851000,3046000,3011000
10007784,12,,2,63000,198000,172000,332000,492000
10007784,12,,3,0,17000,17000,0,0
10007784,12,,4,717000,541000,686000,515000,294000
10007784,12,,5,619000,631000,1022000,970000,1025000
10007784,12,,6,118000,155000,97000,124000,345000
10007784,12,,8,81000,84000,45000,61000,124000
10007784,12,,10,0,0,35000,0,44000
10007784,12,,11,193000,189000,175000,190000,281000
10007784,12,,12,0,0,26000,201000,247000
10007784,12,,13,4000,0,0,0,0
10007784,12,,15,1000,3000,2000,307000,93000
10004113,12,,1,7661515,8552766,8542395,8638113,9755176
