,2* + 1* Output (%),4* Output (%),Income per Submission (millions)
0,11.0,19.0,0.12946683809523807
1,13.0,27.0,0.1652415794871795
2,36.0,9.0,0.20120860317460315
3,33.0,7.0,0.24315032000000003
4,31.0,6.0,0.1030854823529412
5,8.0,47.0,0.25593770909090907
6,16.0,26.0,0.23689106560283688
7,26.0,17.0,0.19178755555555557
8,11.0,46.0,0.2833069480314961
9,16.0,30.0,0.24431645000000007
10,55.0,2.0,0.05237084210526316
11,10.0,23.0,0.13003499999999998
12,17.0,26.0,0.15792877611940295
13,16.0,27.0,0.18218145683453243
14,19.0,21.0,0.24501845512820508
15,82.0,0.0,0.03312244444444445
16,50.0,1.0,0.03018420454545454
17,11.0,18.0,0.40863836974789913
18,74.0,2.0,0.007297625
19,78.0,1.0,0.054395770833333336
20,20.0,24.0,0.16678862650602413
21,12.0,11.0,0.15432226573426572
