,A*,A,B,C,Av. Rank,Four Str
10007760,29,37,15,4,3.070588235294118,10.3
10006840,31,33,9,2,3.24,7.6
10007786,36,14,4,0,3.5925925925925926,22.2
10000961,19,51,14,9,2.860215053763441,2.0
10007788,70,15,1,0,3.802325581395349,54.5
10001478,25,18,7,2,3.269230769230769,16.7
10007789,27,21,0,0,3.5625,20.4
10007791,74,21,0,0,3.778947368421053,29.2
10007792,38,29,2,0,3.5217391304347827,13.3
10007150,13,46,12,1,2.986111111111111,2.5
10007796,39,32,4,0,3.466666666666667,18.8
10007784,102,13,1,0,3.8706896551724137,69.7
10004063,123,18,0,0,3.872340425531915,56.3
10007798,51,45,5,4,3.361904761904762,11.4
10007154,77,43,1,2,3.5853658536585367,19.7
10007774,149,48,7,2,3.6699029126213594,42.6
10007775,66,17,1,4,3.647727272727273,20.2
10005553,43,5,1,0,3.857142857142857,35.3
10007157,18,32,0,0,3.36,8.0
10007158,33,30,3,1,3.4393939393939394,22.0
10007160,49,19,1,0,3.6956521739130435,26.8
10007806,16,27,3,0,3.282608695652174,14.8
10007163,92,18,1,2,3.769911504424779,42.6
10007167,54,40,4,5,3.3883495145631066,14.4
10007783,13,39,4,1,3.1228070175438596,4.8
10007790,23,10,3,0,3.5555555555555554,30.9
10007794,61,16,1,4,3.6341463414634148,18.1
10007803,22,13,0,2,3.4864864864864864,23.5
