,2* + 1* Output (%),4* Output (%),Average Citations per Submission,Income per Submission (millions)
0,40.0,7.0,2.8333333333333335,0.010022333333333333
1,31.0,10.0,5.23943661971831,0.01375838028169014
2,12.0,44.0,4.659090909090909,0.17009472727272726
3,69.0,1.0,3.922222222222222,0.009007733333333334
4,4.0,47.0,9.36046511627907,0.053031593023255816
5,36.0,15.0,4.56,0.008005479999999999
6,13.0,17.0,4.739130434782608,0.042159282608695656
7,7.0,32.0,4.948979591836735,0.2645565918367347
8,28.0,15.0,3.6231884057971016,0.012788057971014493
9,56.0,4.0,5.185714285714286,0.0099477
10,39.0,12.0,4.657894736842105,0.0072041052631578945
11,1.0,79.0,7.683333333333334,0.07224166666666666
12,4.0,69.0,12.354166666666666,0.16300581944444448
13,25.0,17.0,5.446601941747573,0.021609291262135916
14,10.0,18.0,9.770491803278688,0.03613114754098361
15,11.0,56.0,9.228426395939087,0.10548630456852791
16,17.0,18.0,5.238095238095238,0.004077285714285715
17,19.0,35.0,7.94,0.0086234
18,31.0,13.0,4.591836734693878,0.010594387755102042
19,41.0,16.0,4.477611940298507,0.031589328358208955
20,18.0,19.0,3.6515151515151514,0.03165151515151515
21,29.0,17.0,4.68,0.03942428
22,4.0,45.0,9.591304347826087,0.05372268695652175
23,23.0,17.0,3.71,0.022438999999999997
24,46.0,3.0,3.0,0.026717538461538463
25,15.0,30.0,3.972972972972973,0.037803621621621625
26,24.0,12.0,4.469135802469136,0.01025725925925926
27,23.0,15.0,5.515151515151516,0.030746666666666658
