,4*,SJR Score
10007760.0,10.3,2.1798461538461535
10006840.0,7.6,2.1216
10007786.0,22.2,4.099375000000001
10000961.0,2.0,1.2839436619718305
10007788.0,54.5,7.983618181818182
10001478.0,16.7,4.132305555555555
10007789.0,20.4,3.7222195121951223
10007791.0,29.2,5.221717391304345
10007792.0,13.3,2.927704918032787
10007150.0,2.5,1.7310499999999998
10007796.0,18.8,3.5128166666666676
10007784.0,69.7,11.295075949367096
10004063.0,56.3,10.420684615384614
10007798.0,11.4,2.4653296703296714
10007154.0,19.7,3.8520952380952367
10007774.0,42.6,6.231664864864865
10007775.0,20.2,6.369604166666668
10005553.0,35.3,6.1068292682926835
10007157.0,8.0,1.855897435897436
10007158.0,22.0,4.3647580645161295
10007160.0,26.8,4.163683333333333
10007806.0,14.8,3.1693999999999996
10007163.0,42.6,7.787021052631578
10007167.0,14.4,2.4995647058823534
10007783.0,4.8,1.3735531914893615
10007790.0,30.9,7.773
10007794.0,18.1,4.215607594936708
10007803.0,23.5,5.19614705882353
