UKPRN,UnitOfAssessment,MultipleSubmission,Source,Income2008,Income2009,Income2010,Income2011,Income2012
10007760,18,,1,245997,356988,115996,-228,0
10007760,18,,4,915,0,0,0,0
10007760,18,,6,43974,57415,16995,-6431,0
10007760,18,,12,0,0,0,11474,-1219
10006840,18,,1,188581,220491,212146,71824,13148
10006840,18,,2,4662,1548,37978,77473,52964
10006840,18,,6,22364,16731,43246,4239,0
10006840,18,,15,0,0,3150,6300,0
10007786,18,,1,808939,1086508,1158062,821842,877279
10007786,18,,2,298378,307793,67508,44848,905937
10007786,18,,4,194294,129781,128559,571085,0
10007786,18,,6,0,0,0,63830,4296
10007786,18,,12,0,0,0,0,229
10007786,18,,13,0,0,0,15000,0
10000961,18,,1,3984,18942,99201,50622,69465
10000961,18,,2,36703,15188,5354,0,0
10000961,18,,4,58167,126135,79792,100168,29764
10000961,18,,5,425,0,0,0,10720
10000961,18,,6,1272,41131,34099,6254,7645
10000961,18,,8,0,0,0,0,337
10000961,18,,13,8587,5721,0,0,1020
10007788,18,,1,951960,973824,526496,601484,270927
10007788,18,,2,70916,64289,54474,16071,0
10007788,18,,3,1871,4048,27937,-9559,609
10007788,18,,5,54571,36428,0,0,0
10007788,18,,6,98604,71610,17407,51976,312146
10007788,18,,8,24757,17198,0,0,0
10007788,18,,10,5277,0,0,0,208648
10007788,18,,11,313,0,19476,0,0
10007788,18,,12,0,0,168,77208,0
10007788,18,,13,1892,5252,2439,0,0
10001478,18,,1,65113,-1114,42300,28350,0
10001478,18,,3,2082,581,0,0,14399
10001478,18,,4,-1389,1792,0,0,0
10001478,18,,6,0,0,28660,87426,128283
10001478,18,,8,1481,0,0,0,0
10001478,18,,9,0,1083,1227,0,0
10007789,18,,1,543588,256880,310860,245799,300529
10007789,18,,2,1660,7353,8445,37428,40008
10007789,18,,4,5023,0,0,72351,50022
10007789,18,,5,705,0,0,6639,804
10007789,18,,6,46064,0,0,0,0
10007789,18,,12,1272,1273,1398,0,1226
10007791,18,,1,3454345,4457291,5889614,5674926,4719899
10007791,18,,2,27740,87493,145558,25087,64805
10007791,18,,3,0,0,0,47840,35712
10007791,18,,4,59524,100613,37867,126082,73517
10007791,18,,5,0,0,30651,55493,27142
10007791,18,,6,86980,61117,5583,108250,249996
10007791,18,,9,0,13095,36551,83677,73470
10007791,18,,10,0,0,35725,18755,0
10007791,18,,12,0,0,0,0,12148
10007792,18,,1,28360,61429,64877,71708,115033
10007792,18,,2,2500,55445,51472,7625,3602
10007792,18,,3,9558,0,0,5293,0
10007792,18,,4,0,0,2910,69354,52719
10007792,18,,6,0,9922,63908,116191,90470
10007150,18,,1,153724,9985,1367,1709,24225
10007150,18,,2,0,12049,24180,39873,12765
10007150,18,,4,26315,51092,45087,21316,30950
10007150,18,,6,49752,41714,27604,29289,21821
10007150,18,,12,45760,0,0,0,600
10007150,18,,13,0,1295,13191,10676,0
10007796,18,,1,144302,19552,30766,99298,160169
10007796,18,,4,8724,27226,14240,5013,0
10007796,18,,5,2290,870,11749,0,0
10007796,18,,6,8249,3611,0,0,0
10007796,18,,12,0,0,0,0,11453
10007784,18,,1,933000,809000,512000,58000,269000
10007784,18,,2,317000,60000,11000,23000,22000
10007784,18,,4,0,0,1000,13000,1000
10007784,18,,6,345000,600000,508000,802000,798000
10007784,18,,9,72000,304000,502000,634000,933000
10007784,18,,10,0,0,11000,21000,30000
10007784,18,,12,0,3000,27000,21000,27000
10007784,18,,13,0,0,0,0,2000
10004063,18,,1,1899825,1601941,1574805,1509150,1565178
10004063,18,,2,248392,30579,11434,71715,66722
10004063,18,,3,101950,159304,72310,0,3366
10004063,18,,4,646567,1630329,2763905,890774,784252
10004063,18,,5,103820,107051,185312,10000,0
10004063,18,,6,41592,224310,845407,690497,361495
10004063,18,,8,0,0,0,38643,8612
10004063,18,,9,37382,41640,0,0,76282
10004063,18,,10,0,31279,6024,0,0
10004063,18,,11,671324,769094,606264,618535,607427
10004063,18,,12,156737,289201,301073,301657,693724
10004063,18,,13,1278,0,1497,2009,11174
10007798,18,,1,258335,240983,202955,100928,230266
10007798,18,,2,5606,6701,153534,171807,171260
10007798,18,,4,12072,52098,61966,8986,28595
10007798,18,,5,158582,29501,58255,53205,16425
10007798,18,,6,18917,42747,29548,28108,31802
10007798,18,,9,0,0,32825,8352,0
10007798,18,,12,0,0,0,0,7633
10007798,18,,13,0,1500,0,2265,0
10007154,18,,1,523000,486000,501000,370000,349000
10007154,18,,2,434000,344000,350000,128000,23000
10007154,18,,3,0,0,0,0,3000
10007154,18,,4,23000,51000,30000,15000,37000
10007154,18,,5,0,13000,1000,11000,0
10007154,18,,6,66000,138000,45000,59000,315000
10007154,18,,8,0,0,2000,9000,0
10007154,18,,9,0,0,28000,4000,0
