,A*,A,B,C,Av. Rank,Four Str
10006840,55,44,29,7,3.088888888888889,24.7
10007786,125,51,27,4,3.4347826086956523,23.7
10000961,6,14,12,5,2.5675675675675675,9.5
10007788,126,9,3,3,3.8297872340425534,45.8
10007789,31,13,7,3,3.3333333333333335,17.9
10007792,39,35,5,1,3.4,16.9
10003270,182,10,0,11,3.7881773399014778,39.2
10007767,17,11,0,0,3.607142857142857,21.6
10003645,49,13,7,2,3.535211267605634,25.9
10007795,50,21,16,6,3.236559139784946,22.8
10003861,6,24,20,24,2.1621621621621623,1.1
10007796,36,19,14,5,3.1621621621621623,22.6
10006842,58,38,8,4,3.388888888888889,19.3
10003958,13,0,4,0,3.5294117647058822,32.1
10007784,362,130,40,15,3.5338208409506398,23.4
10007771,400,199,137,67,3.160647571606476,19.2
10007798,38,35,24,16,2.84070796460177,13.9
10007799,46,35,4,3,3.409090909090909,14.4
10007154,51,30,15,2,3.326530612244898,21.9
10007774,128,23,15,4,3.6176470588235294,42.2
10007155,4,8,11,3,2.5,0.0
10007775,39,15,1,1,3.642857142857143,30.4
10007782,30,7,0,0,3.810810810810811,24.4
10007157,48,65,78,36,2.550660792951542,12.1
10007158,13,5,23,1,2.7142857142857144,41.9
10007163,55,33,17,0,3.361904761904762,32.1
10007167,81,65,34,10,3.142105263157895,17.1
10007783,42,74,17,14,2.979591836734694,20.3
10007852,26,19,8,3,3.2142857142857144,21.1
10007794,76,54,29,12,3.135294117647059,14.0
10007814,44,30,18,6,3.142857142857143,25.2
10005343,72,24,6,0,3.6470588235294117,15.1
