UKPRN,UnitOfAssessment,MultipleSubmission,Source,Income2008,Income2009,Income2010,Income2011,Income2012
10006840,2,,1,681689,884502,830575,1029610,1173718
10006840,2,,2,758517,915019,409377,283675,460965
10006840,2,,3,839516,1236126,1584922,50182,283062
10006840,2,,4,8243985,8737888,11045424,14433363,13330595
10006840,2,,5,392745,133483,96104,159795,102490
10006840,2,,6,251353,145925,260914,423815,630017
10006840,2,,8,390,131,1905,7802,3746
10006840,2,,9,0,0,0,958,3177
10006840,2,,10,5383,0,0,0,0
10006840,2,,11,69357,63171,41124,38394,39364
10006840,2,,12,0,5571,1658,9040,24645
10006840,2,,13,129372,85004,162828,127947,33586
10007786,2,,1,3390819,4395742,4866329,5436498,4287547
10007786,2,,2,2898036,3191718,2740789,2448030,3279869
10007786,2,,3,108479,19343,33307,750,42677
10007786,2,,4,3610443,3660612,4217031,3643080,3309783
10007786,2,,5,89389,31043,117352,35953,94319
10007786,2,,6,119506,98155,437351,495031,302749
10007786,2,,7,19718,1005,0,0,3244
10007786,2,,10,80101,50523,114006,22371,181601
10007786,2,,11,0,25065,51362,85147,59
10007786,2,,12,621180,462017,545834,370761,276389
10007786,2,,13,189797,105545,117409,73929,146952
10007786,2,,14,972787,1182141,2053500,3141181,4800449
10000961,2,,1,61059,153097,344797,358609,138524
10000961,2,,2,0,0,0,0,1797
10000961,2,,3,64322,15678,0,0,0
10000961,2,,4,443665,410343,482831,175810,2803
10000961,2,,5,0,0,0,0,2200
10000961,2,,8,9293,27179,30556,22083,9759
10000961,2,,10,31501,11173,29056,70,21
10000961,2,,11,4382,0,0,3812,0
10000961,2,,12,3440,7662,0,58122,15743
10000961,2,,13,13416,58324,16755,40972,30363
10000961,2,,14,0,0,23219,136827,322759
10007788,2,,1,2046111,2345301,2596413,2336901,2804260
10007788,2,,2,4163541,5362530,5271372,3499465,4009029
10007788,2,,3,52654,113172,42131,111708,28648
10007788,2,,4,724754,824930,1346166,1456467,1193894
10007788,2,,5,28597,71015,160311,101428,96006
10007788,2,,6,130757,330236,2192439,336326,576421
10007788,2,,9,0,0,0,11371,21743
10007788,2,,11,92664,135058,1816925,808245,3411105
10007788,2,,12,291797,235670,826680,1167550,421842
10007788,2,,13,-1541,0,58050,11088,5823
10007788,2,,14,163170,646349,1270890,1826226,4169082
10007788,2,,16,300817,262673,164670,83498,45963
10007789,2,,1,684964,676969,431614,193660,287736
10007789,2,,2,93729,112291,85166,72714,53124
10007789,2,,3,372,6569,375,0,1354
10007789,2,,4,737528,560551,605707,567261,617273
10007789,2,,5,0,0,0,2555,2520
10007789,2,,6,151011,130970,54589,46100,201376
10007789,2,,8,0,0,2121,0,0
10007789,2,,11,0,0,23998,52815,36876
10007789,2,,12,52730,159223,16797,974,0
10007789,2,,13,1270,2908,21897,18393,14252
10007789,2,,14,150609,313388,608856,1055706,1228201
10007792,2,,1,325219,308436,257373,343559,428394
10007792,2,,2,449000,131868,116165,338108,74245
10007792,2,,3,178000,628549,455142,189727,350965
10007792,2,,4,2007328,2127221,2411420,1970597,2258918
10007792,2,,5,822,90223,137957,103798,69265
10007792,2,,6,8012,27873,20320,0,12274
10007792,2,,9,0,0,324,14577,2739
10007792,2,,10,0,0,0,13019,34785
10007792,2,,12,0,0,0,0,635
10007792,2,,13,38747,14709,4238,98,74678
10007792,2,,14,114620,1876885,2989239,3991705,3970929
10003270,2,,1,7943351,5416599,3092682,2789703,2842373
10003270,2,,2,2188072,2080229,2583922,2328219,1948670
10003270,2,,3,103682,398530,281919,676273,696255
10003270,2,,4,3217267,5225880,4585540,5219695,5589826
10003270,2,,5,3507066,1442732,308328,440814,501184
10003270,2,,6,1397506,1707538,1805082,1192023,1506846
10003270,2,,7,0,0,42870,40983,45274
10003270,2,,8,-2955,7,281482,0,3953
10003270,2,,9,595027,705809,429577,1086766,546299
10003270,2,,10,3401732,4498682,3928093,3091161,3863194
10003270,2,,11,237357,447751,308188,947290,1285261
10003270,2,,12,4453542,4712586,3566289,5693148,5893681
10003270,2,,13,238416,302248,37004,215770,733509
10003270,2,,14,38758,268113,361780,2924384,2757188
10003270,2,,15,0,0,373,1167,840
10007767,2,,1,298564,370336,162865,56024,14993
10007767,2,,2,1038018,919790,742542,1061964,1356012
10007767,2,,4,1500948,1463607,813254,3910739,1614703
10007767,2,,5,0,0,4448,0,0
10007767,2,,13,28682,10425,-1136,2957,4113
10007767,2,,14,60009,808689,2509319,0,2711616
10003645,2,,1,42499,573814,554714,711995,643788
10003645,2,,2,230430,318270,300076,305336,317480
10003645,2,,3,242669,383265,451514,311436,487941
10003645,2,,4,3930108,4128118,3649714,2884275,4158123
10003645,2,,5,254691,185004,308556,441006,274548
10003645,2,,6,44486,253207,401218,700344,700474
10003645,2,,10,16149,0,0,0,6523
10003645,2,,11,0,0,0,0,57162
10003645,2,,12,5378,62,136,7253,33091
10003645,2,,13,2600,37079,44764,71324,54997
10003645,2,,14,429869,1099185,1502301,1588736,1271739
10003645,2,,15,0,0,26274,52548,0
10003645,2,,16,202881,181833,38001,-41500,0
10007795,2,,1,1082902,970671,856720,694799,420504
10007795,2,,2,1251242,1113423,1133665,1204928,1309485
10007795,2,,3,47425,120410,24178,-24576,33788
10007795,2,,4,2874645,4195078,4329816,4748114,3770693
10007795,2,,5,486219,391994,664097,1038087,345883
10007795,2,,6,339570,291050,248202,356942,275129
10007795,2,,7,0,0,0,10919,0
10007795,2,,8,0,33,58916,0,0
10007795,2,,9,0,31287,-20,977,0
10007795,2,,10,24402,38003,31572,20812,6089
10007795,2,,11,350932,303995,488601,591388,455880
10007795,2,,12,215585,200742,247373,111018,66367
10007795,2,,13,19348,18159,16149,20271,0
10007795,2,,14,0,0,5706,97934,884808
10003861,2,,1,6801,35485,0,0,0
10003861,2,,2,184523,129471,77365,54760,396579
10003861,2,,4,277259,218469,170870,220909,157026
10003861,2,,5,0,0,46536,15306,179807
10003861,2,,6,0,43211,131660,0,0
10003861,2,,9,0,2877,0,0,67938
10003861,2,,12,0,0,0,16000,0
10003861,2,,13,0,37231,15691,0,0
10007796,2,,1,473489,592218,420410,665974,1953347
10007796,2,,2,445661,402830,392181,571861,669046
10007796,2,,3,-221,253779,51374,28791,220159
10007796,2,,4,1841675,1566190,1988330,2188242,2019547
10007796,2,,5,41464,44262,47393,309799,140281
10007796,2,,6,419300,682315,598968,1158939,1339453
10007796,2,,7,2137,13834,0,0,3204
10007796,2,,8,0,0,0,0,14200
10007796,2,,9,0,728,22748,14999,34689
10007796,2,,11,0,1191,24038,21425,8063
10007796,2,,12,6382,69365,1937,21393,4139
10007796,2,,14,488331,1801831,2782193,2556374,2607745
10006842,2,,1,430172,613894,711695,624031,985522
10006842,2,,2,466092,591205,470528,276944,209140
10006842,2,,3,197284,239386,140299,106737,185679
10006842,2,,4,2015944,2166950,1678681,2109906,1429682
10006842,2,,5,266296,210683,180941,124597,173317
10006842,2,,6,109150,242861,365539,329370,484992
10006842,2,,8,21706,21587,31856,6638,25523
10006842,2,,9,8663,8065,0,0,9053
10006842,2,,10,43065,69931,5644,5714,2021
10006842,2,,11,146407,122915,168058,165878,72413
10006842,2,,12,98964,235574,111943,136708,270040
10006842,2,,13,100117,139197,16847,14603,5118
10006842,2,,14,1656696,2334665,2871917,3250033,3285763
10003958,2,,1,14276,74706,105704,12541,152874
10003958,2,,2,148452,99335,109715,128776,149161
10003958,2,,4,1522089,1507141,2410879,4197026,6964993
10003958,2,,6,184316,990023,641004,706284,2161789
10003958,2,,9,93697,73351,158826,189016,107248
10003958,2,,10,86748,186762,172409,420932,611434
10003958,2,,12,174140,188732,2403123,1370970,1086321
10003958,2,,13,0,0,11511,246692,546154
10007784,2,,1,5648000,3610000,3407000,3275000,7285000
10007784,2,,2,6474000,5861000,5734000,6121000,5293000
10007784,2,,3,179000,124000,152000,86000,87000
10007784,2,,4,6583000,5970000,3629000,3949000,5811000
10007784,2,,5,140000,175000,89000,71000,276000
10007784,2,,6,246000,579000,550000,573000,1310000
10007784,2,,7,4000,28000,10000,1000,11000
10007784,2,,8,118000,4000,0,44000,34000
10007784,2,,9,64000,22000,7000,2000,31000
10007784,2,,10,184000,152000,156000,654000,322000
10007784,2,,11,202000,-393000,187000,11000,43000
10007784,2,,12,1985000,1445000,1299000,1166000,2116000
10007784,2,,13,45000,82000,83000,98000,86000
10007784,2,,14,491000,1094000,1747000,3302000,4321000
10007771,2,,1,4372720,4195421,4588496,3642712,4250110
10007771,2,,2,7544096,8822587,8088366,9040072,9716002
10007771,2,,3,0,0,0,187777,258975
10007771,2,,4,7196329,5727284,4194898,3871070,4283583
10007771,2,,5,633872,786842,860008,574365,1161321
10007771,2,,6,1343109,1881143,2061786,2814265,2724574
10007771,2,,7,415950,303234,300169,257286,290767
10007771,2,,8,358764,129435,-2574,71243,109684
10007771,2,,9,540198,136166,198347,389553,264732
10007771,2,,10,7285831,8696545,9597285,10553136,9692479
10007771,2,,11,676369,1100675,1615550,1282639,914969
10007771,2,,12,2399475,2344683,3495757,3835766,4982156
10007771,2,,13,1074536,627145,506146,473604,798405
10007771,2,,14,1645057,2498610,3776471,5456391,5479093
10007798,2,,1,1364644,1270129,1492637,1242803,916741
10007798,2,,2,430055,242342,136088,340728,531602
10007798,2,,3,5646,12526,3,0,10068
10007798,2,,4,7192222,7733658,6781678,5475121,6783808
10007798,2,,5,35052,58268,68638,9804,156188
10007798,2,,6,53618,211505,521651,504565,670360
10007798,2,,7,0,0,5598,19574,16954
10007798,2,,8,110341,26430,25366,17426,43573
10007798,2,,9,6705,121,1331,-764,28637
10007798,2,,10,0,0,0,629,0
10007798,2,,11,280868,163223,-27143,6099,19349
10007798,2,,12,22131,0,2792,0,6406
10007798,2,,13,9121,74505,1819,0,43290
10007798,2,,14,13994,391256,626473,1207570,444911
10007799,2,,1,783354,694990,714995,663129,1110866
10007799,2,,2,785938,955819,527417,590383,650433
10007799,2,,3,213888,397812,484391,265873,370650
10007799,2,,4,653640,575626,537741,721605,584326
10007799,2,,5,11508,11992,8713,2989,14235
10007799,2,,6,138600,514644,210704,532133,349091
10007799,2,,7,4358,22049,16861,5841,2160
10007799,2,,9,23223,63505,105994,124122,124305
10007799,2,,10,615,9037,-869,773,0
10007799,2,,11,7292,3101,1263,0,17182
10007799,2,,12,88823,41330,122393,193843,304325
10007799,2,,13,-19,-538,14048,6053,7849
10007799,2,,14,2127465,2499388,2732125,2943146,3492025
10007154,2,,1,318000,582000,490000,532000,591000
10007154,2,,2,600000,329000,263000,369000,365000
10007154,2,,3,0,0,0,1000,198000
10007154,2,,4,1673000,1338000,853000,655000,752000
10007154,2,,5,33000,61000,127000,135000,127000
10007154,2,,6,134000,78000,202000,145000,-7000
10007154,2,,10,30000,55000,36000,15000,0
10007154,2,,11,0,0,93000,124000,59000
10007154,2,,12,0,5000,42000,709000,4706000
10007154,2,,13,1000,1000,7000,1000,0
10007154,2,,14,307000,892000,1370000,1634000,2277000
10007774,2,,1,4338206,3807243,3627013,3511967,3733080
10007774,2,,2,6555536,6949084,6620869,6340944,7720716
10007774,2,,3,407604,219443,456654,222629,142949
10007774,2,,4,7413501,7577665,7630241,6838652,6500642
10007774,2,,5,23509,35866,102474,549904,1018007
10007774,2,,6,332298,238788,365619,382842,429582
10007774,2,,7,-5894,26182,21811,0,0
10007774,2,,8,211480,507988,296980,458998,180783
10007774,2,,9,20735,52014,24667,26473,110699
10007774,2,,10,282085,842580,261205,1350856,815120
10007774,2,,11,12000262,13365372,12348737,20166804,19065495
10007774,2,,12,13453,3175,32631,357010,529292
10007774,2,,13,0,0,0,6363,13744
10007774,2,,14,206347,1116080,2204048,2691606,5064228
10007155,2,,1,0,24431,44353,23059,522
10007155,2,,2,36320,158382,22767,32120,-152
10007155,2,,4,192551,171951,219805,127337,159051
10007155,2,,5,0,0,0,0,12464
10007155,2,,6,0,0,0,0,79439
10007155,2,,13,1797,8380,0,0,0
10007155,2,,14,15010,73755,85425,53115,102291
10007775,2,,1,895602,890361,547092,271786,392528
10007775,2,,2,385195,183107,35038,206062,248966
10007775,2,,3,40418,17788,9846,28540,9418
10007775,2,,4,1869406,1065677,2228283,1941167,3198548
10007775,2,,5,1913,35363,125617,169255,70913
10007775,2,,6,128231,782356,383259,92879,468770
10007775,2,,8,63982,0,0,0,0
10007775,2,,9,0,11395,0,0,0
10007775,2,,11,10228,0,29734,49849,81827
10007775,2,,12,-6693,5670,0,7152,9309
10007775,2,,13,8080,4447,96291,153380,17216
10007775,2,,14,340778,909514,1440150,3085791,2687518
10007782,2,,1,205033,210607,52632,131062,357329
10007782,2,,2,553625,957628,357811,371909,216002
10007782,2,,3,242381,161678,29927,22285,32316
10007782,2,,4,709544,959668,358135,700655,997426
10007782,2,,5,85974,176672,8740,0,7386
10007782,2,,6,227209,318423,175803,22339,95983
10007782,2,,9,3815,6578,5769,5259,7173
10007782,2,,12,183707,27143,1780,50779,26523
10007782,2,,13,-60504,-495175,424289,101568,137045
10007782,2,,14,222299,321342,394982,953745,1010534
10007157,2,,1,506480,893470,1377223,1118587,947360
10007157,2,,2,197026,147874,169273,119364,92763
10007157,2,,3,150242,61291,43552,33656,33450
10007157,2,,4,3722416,3482238,3464535,2325504,1335635
10007157,2,,5,44881,78168,36555,11769,17310
10007157,2,,6,102098,144789,68616,127396,334282
10007157,2,,9,0,0,8651,0,0
10007157,2,,11,24947,113241,151546,80007,38312
10007157,2,,12,0,0,10825,8477,5119
10007157,2,,13,0,0,0,80106,10789
10007157,2,,14,1733767,2846434,3211034,4940734,6096894
10007158,2,,1,180887,338928,106624,215558,321029
10007158,2,,2,38640,25402,46894,40752,42822
10007158,2,,3,28248,77076,52208,6503,17540
10007158,2,,4,290974,327408,457473,420701,99478
10007158,2,,5,2029,0,0,0,0
10007158,2,,6,138572,216511,172006,55219,56114
10007158,2,,8,21790,0,0,0,6544
10007158,2,,9,0,0,1086,2056,0
10007158,2,,11,0,0,0,0,14159
10007158,2,,12,61941,108255,122062,1714,15807
10007158,2,,13,0,0,354,738,21732
10007158,2,,14,171114,751993,1014383,1004772,1880638
10007163,2,,1,654067,765382,727067,422986,301840
10007163,2,,2,1379885,1179016,844172,1128668,1146930
10007163,2,,3,35268,48233,76886,76835,35411
10007163,2,,4,3935219,2391420,1758324,2006387,1722230
10007163,2,,5,208649,217521,143743,148469,176089
10007163,2,,6,330464,418194,657777,529260,294502
10007163,2,,8,1035,2136,13567,40232,0
10007163,2,,9,0,0,0,0,1738
10007163,2,,11,12383,5367,17889,52767,59594
10007163,2,,12,5940,0,11630,5552,0
10007163,2,,13,69262,40833,270548,338443,153325
10007163,2,,14,2093837,3038056,3914528,6248710,6967171
10007167,2,,1,758172,587383,540976,689086,643813
10007167,2,,2,1783224,1630773,1264394,1377464,1666886
10007167,2,,3,0,13003,55670,19683,33463
10007167,2,,4,4000999,5103432,4602462,5048617,5486352
10007167,2,,5,0,0,10490,140610,211397
10007167,2,,6,199389,355325,267964,300493,249532
10007167,2,,9,14348,1074,9805,10697,47660
10007167,2,,10,76808,168436,134380,139161,275129
10007167,2,,12,72184,28554,18914,115873,74668
10007167,2,,13,0,0,-4185,36295,21269
10007167,2,,14,2448416,3113425,4223614,4901393,5646978
10007167,2,,16,160577,162752,162892,186157,0
10007783,2,,1,866830,1684838,1329855,1060961,388351
10007783,2,,2,1163702,804208,589934,439666,581618
10007783,2,,3,376590,495160,675750,577599,451155
10007783,2,,4,2389757,1851615,1504532,1424037,988280
10007783,2,,5,460847,293412,323425,164236,234026
10007783,2,,6,128167,118703,179501,285430,513473
10007783,2,,7,34030,7895,8500,2324,5236
10007783,2,,8,34274,75555,13322,2772,11890
10007783,2,,9,10296,11628,33747,14465,12112
10007783,2,,10,0,93441,411496,36532,150879
10007783,2,,11,8061,299754,251580,344508,348987
10007783,2,,12,838484,831970,118447,403698,-65204
10007783,2,,13,69541,54331,96356,51270,138214
10007783,2,,14,4423368,5713755,5599210,5795437,6095162
10007852,2,,1,959095,1123891,1509109,1409248,1328507
10007852,2,,2,219952,266833,438754,490314,464466
10007852,2,,3,38818,105814,76388,86761,142754
10007852,2,,4,378478,508361,447271,463394,495663
10007852,2,,5,249251,195275,23953,163795,75627
10007852,2,,6,7187,85597,272357,316913,472316
10007852,2,,7,0,0,0,9230,40734
10007852,2,,8,19199,5211,1830,20619,46753
10007852,2,,9,0,0,15032,15921,-3971
10007852,2,,10,0,0,0,8281,3247
10007852,2,,11,1868,22669,50589,75300,33864
10007852,2,,12,129,-160,0,0,13784
10007852,2,,14,0,38343,64697,87133,208997
10007794,2,,1,4043697,3637932,3743167,4131962,4684039
10007794,2,,2,450576,562105,520700,624372,667342
10007794,2,,3,0,0,76,0,0
