UKPRN,UnitOfAssessment,MultipleSubmission,Identifier,OutputType,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsNonEnglishOutput,IsInterdisciplinary,ProposeDoubleWeighting,IsReserveOutput,DoubleWeightingStatement,EnglishAbstract,ResearchGroup,CitedByCount,CrossReferToUoa,CitationsApplicable,AdditionalInformation
10007760,21,,244656,D,"Beyond models and metaphors: complexity theory, systems thinking and international relations",,,Cambridge Review of International Affairs,24,1,43,,,1474-449X,10.1080/09557571.2011.558054,,2011,http://eprints.bbk.ac.uk/4822/,1,False,,False,False,,,,,,False,
10007760,21,,244657,D,Cyberneticizing the American war machine: science and computers in the Cold War,,,Cold War history,8,1,77,,,1468-2745,10.1080/14682740701791359,,2008,http://eprints.bbk.ac.uk/2130/,0,False,,False,False,,,,,,False,
10007760,21,,244658,A,The scientific way of warfare: order and chaos on the battlefields of modernity,,Columbia University Press,,,,,,9780231700788,,,,2009,http://eprints.bbk.ac.uk/1313/,0,False,,False,False,,,,,,False,
10007760,21,,244659,D,Complexity theory and the war on terror: understanding the self-organising dynamics of leaderless jihad,,,Journal of International Relations and Development,15,3,345,,,1408-6980,10.1057/jird.2011.24,,2011,http://eprints.bbk.ac.uk/4823/,0,False,,False,False,,,,,,False,
10007760,21,,244660,D,Do women need women representatives?,,,British Journal of Political Science,40,1,1,,,0007-1234,10.1017/S0007123409990408,,2010,http://eprints.bbk.ac.uk/2157/,2,False,,False,False,,,,,,False,
10007760,21,,244661,D,Understanding men's and women's political interests: evidence from a study of gendered political attitudes,,,"Journal of Elections, Public Opinion & Parties",18,1,53,,,1745-7289,10.1080/17457280701858623,,2008,http://eprints.bbk.ac.uk/2694/,1,False,,False,False,,,,,,False,
10007760,21,,244662,D,Open doors and closed frontiers: the limits of American empire,,,European Journal of International Relations,14,4,619,,,1354-0661,10.1177/1354066108097555,,2008,http://eprints.bbk.ac.uk/2134/,0,False,,False,False,,,,,,False,
10007760,21,,244663,D,"An exceptional response? security, development and civil society in Spanish policy after 11-M",,,Development & Change,41,2,313,,,0012-155X,10.1111/j.1467-7660.2010.01636.x,,2010,http://eprints.bbk.ac.uk/2133/,0,False,,False,False,,,,,,False,
10007760,21,,244664,D,Repairing civil society and experimenting with power: a genealogy of social capital,,,Political Studies,57,2,374,,,0032-3217,10.1111/j.1467-9248.2008.00760.x,,2009,http://eprints.bbk.ac.uk/2135/,0,False,,False,False,,,,,,False,
10007760,21,,244665,B,"New Materialisms: Ontology, Agency and Politics",,Duke University Press,,,,,,9780822347538,,,,2010,http://eprints.bbk.ac.uk/1473/,1,False,,False,False,,,,,,False,"Sections for Submission:

'Introducing the New Materialisms’, pp. 1-43 (co-authored with S. Frost); 
`The Inertia of Matter and the Generativity of Flesh’ (single authored), pp. 92-136. 
"
10007760,21,,244666,D,"Norms, strategies and political change: explaining the establishment of the convention on the future of Europe",,,European Journal of International Relations,14,2,319,,,1354-0661,10.1177/1354066108089245,,2008,http://eprints.bbk.ac.uk/2137/,0,False,,False,False,,,,,,False,
10007760,21,,244667,A,The power of the centre: central governments and the macro-implementation of EU public policy,,Manchester University Press,,,,,,9780719062001,,,,2008,http://eprints.bbk.ac.uk/1317/,0,False,,False,False,,,,,,False,
10007760,21,,244668,D,Between the party and the European Union? The regulation of working time in France,,,"French Politics, Culture & Society",30,1,88,,,1537-6370,10.3167/fpcs.2012.300105,,2012,http://eprints.bbk.ac.uk/5025/,0,False,,False,False,,,,,,False,
10007760,21,,244670,D,"EMU and political union: what, if anything, have we learned from the Euro's first decade?",,,Journal of European Public Policy,16,4,508,,,1350-1763,10.1080/13501760902872486,,2009,http://eprints.bbk.ac.uk/2141/,0,False,,False,False,,,,,,False,
10007760,21,,244672,D,Human development and the demography of secularisation in global perspective,,,Interdisciplinary Journal of Research on Religion,4,,1,,,1556-3723,,,2008,http://eprints.bbk.ac.uk/2150/,0,False,,False,False,,,,,,False,
10007760,21,,244674,D,"Secularism, fundamentalism or Catholicism: the religious composition of the United States to 2043",,,Journal for the Scientific Study of Religion,49,2,293,,,0021-8294,10.1111/j.1468-5906.2010.01510.x,,2010,http://eprints.bbk.ac.uk/2151/,2,False,,False,False,,,,,,False,
10007760,21,,244675,D,Demographic change and conflict in Northern Ireland: reconciling qualitative and quantitative evidence,,,Ethnopolitics,10,3-4,369,,,1744-9057,10.1080/17449057.2011.596117,,2011,http://eprints.bbk.ac.uk/4198/,0,False,,False,False,,,,,,False,
10007760,21,,244676,D,Gender quotas and models of political citizenship,,,British Journal of Political Science,39,4,781,,,0007-1234,10.1017/S0007123409990123,,2009,http://eprints.bbk.ac.uk/2158/,2,False,,False,False,,,,,,False,
10007760,21,,244677,D,State feminism and women's movements,,,West European Politics,31,1-2,169,,,0140-2382,10.1080/01402380701834978,,2008,http://eprints.bbk.ac.uk/2159/,0,False,,False,False,,,,,,False,
10007760,21,,244679,D,The Ghost in the Machine: Pension Risks and Regulatory Responses in the United States and the United Kingdom,,,Politics & Society,40,1,107,,,1552-7514,10.1177/0032329211434692,,2012,http://eprints.bbk.ac.uk/5679/,0,False,,False,False,,,,,,False,
10007760,21,,244680,D,The Politics of Conflict Management in EU Regulation,,,West European Politics,32,4,699,,,0140-2382,10.1080/01402380902945276,,2009,http://eprints.bbk.ac.uk/2163/,,False,,False,False,,,,,,False,"D Mabbett is co-editor of this special issue of the journal, co-author of the introduction (pp 699-718) and single author of a paper 'Supplementary Pensions between Social Policy and Social Regulation' (pp 774-791).’ "
10007760,21,,244682,A,After Bush: the case for continuity in American foreign policy,,Cambridge University Press,,,,,,9780521880046,,,,2008,http://eprints.bbk.ac.uk/1320/,1,False,,False,False,,,,,,False,
10007760,21,,244683,A,Barack Obama's post-American foreign policy: the limits of engagement,,Bloomsbury Academic,,,,,,9781780930381,,,,2012,http://eprints.bbk.ac.uk/4859/,0,False,,False,False,,,,,,False,
10007760,21,,244684,D,The exceptional empire: why the United States will not decline - again,,,International Politics,45,5,571,,,1384-5748,10.1057/ip.2008.25,,2008,http://eprints.bbk.ac.uk/2166/,0,False,,False,False,,,,,,False,
10007760,21,,244685,C,Neo-conservatism: theory and practice,,Routledge,New Directions in US Foreign Policy,,,,,9780415777490,,,,2009,http://eprints.bbk.ac.uk/1485/,0,False,,False,False,,,,,,False,
10007760,21,,493069,B,Social Democracy and European Integration: The politics of preference formation,,Routledge,,,,,,9780415559850,,,,2010,,0,False,,False,False,,,,,,False,D Dimitrakopoulos is the director and editor of this Leverhulme-funded project. He is the author of the introduction and conclusion and co-author of Chapter 5.
10007760,21,,493070,D,UK economic policy and the global financial crisis: paradigm lost?,,Wiley Blackwell,Journal of Common Market Studies,47,5,1041,,,0021-9886,10.1111/j.1468-5965.2009.02034.x,,2009,http://eprints.bbk.ac.uk/2164/,1,False,,False,False,,,,,,False,
10007760,21,,502068,D,Public political narratives: developing a neglected source through the exploratory case of Russia in the Putin-Medvedev era,,Political Studies Association,Political Studies,60,4,768,,,0032-3217,10.1111/j.1467-9248.2011.00939.x,,2012,http://eprints.bbk.ac.uk/7330/,0,False,,False,False,,,,,,False,
10007760,21,,502069,D,Electoral manipulation and the development of Russia's political system,,Taylor & Francis,East European Politics,28,2,105,,,2159-9165,10.1080/21599165.2012.669734,,2012,http://eprints.bbk.ac.uk/7331/,0,False,,False,False,,,,,,False,
10007760,21,,502071,D,"Writing Russia's future: paradigms, drivers, and scenarios",,Taylor & Francis,Europe-Asia Studies,64,7,1165,,,0966-8136,10.1080/09668136.2012.698046,,2012,http://eprints.bbk.ac.uk/7382/,0,False,,False,False,,,,,,False,
10007760,21,,502072,C,"The flow and ebb of private seaborne violence in global politics: lessons from the Atlantic World, 1689-1815",,Hurst Publishing,"Mercenaries, Bandits, Pirates and Empires: Private Violence in Historical Perspective",,,,,9781849040884,,,,2010,http://eprints.bbk.ac.uk/7304/,1,False,,False,False,,,,,,False,
10007760,21,,502073,D,"Taking sides: cosmopolitanism, internationalism and ‘complex solidarity’ in the work of Fred Halliday",,Wiley-Blackwell,International Affairs,87,5,1051,,,0020-5850,10.1111/j.1468-2346.2011.01020.x,,2011,http://eprints.bbk.ac.uk/7305/,0,False,,False,False,,,,,,False,
10007760,21,,502074,D,Reconstructing the elderly: a critical analysis of pensions and population policies in an era of demographic ageing,,Palgrave Macmillan,Contemporary Political Theory,11,1,41,,,1470-8914,10.1057/cpt.2011.12,,2012,http://eprints.bbk.ac.uk/7306/,0,False,,False,False,,,,,,False,
10007760,21,,502075,D,Too many bodies? The return and disavowal of the population question,,Taylor & Francis,Environmental Politics,22,2,195,,,0964-4016,10.1080/09644016.2012.730268,,2013,http://eprints.bbk.ac.uk/7307/,0,False,,False,False,,,,,,False,
10007760,21,,502076,A,Governing the Euro area in good times and bad,,Oxford University Press,,,,,,9780199572502,,,,2011,http://eprints.bbk.ac.uk/7308/,0,False,,False,False,,,,,,False,
10007760,21,,1527909,D,Rallying Intolerance in the Valleys: Explaining support for extreme right in Wales.,,,British Politics,8,,433,,,1746918X,10.1057/bp.2013.7,,2013,http://dx.doi.org/10.1057/bp.2013.7,1,False,,False,False,,,,,,False,
10007760,21,,1527912,D,"The IMF, the World Bank, and the Global Economic Crisis: Exploring Paradigm Continuity",,,Development and Change,43,4,869,,,0012155X,10.1111/j.1467-7660.2012.01781.x,,2012,,,False,,False,False,,,,,,False,
10007760,21,,1559279,D,"The youth movement Nashi: contentious politics, civil society, and party politics",,,East European Politics,28,3,256,,,2159-9173,10.1080/21599165.2012.691424,,2012,,1,False,,False,False,,,,,,False,
10007760,21,,1564186,D,British Brinkmanship and Gaelic Games: EU Treaty Ratification in the UK and Ireland from a Two Level Game Perspective,,,The British Journal of Politics & International Relations,n/a,,n/a,,,13691481,10.1111/1467-856X.12015,,2013,,1,False,,False,False,,,,,,False,
10007760,21,,1564188,D,Polanyi in Brussels or Luxembourg? Social rights and market regulation in European insurance,,,Regulation & Governance,n/a,,n/a,,,17485983,10.1111/rego.12021,,2013,,,False,,False,False,,,,,,False,
10007760,21,,1564189,C,The Regulatory Politics of Private Pensions in the UK and Germany,,Palgrave Macmillan,The New Regulatory State: Regulating Pensions in Germany and the UK,,,,,9780230272057,,,,2011,,,False,,False,False,,,,,,False,
10007760,21,,1564190,D,Prime Minister's questions as political ritual,,,British Politics,7,4,314,,,1746-9198,10.1057/bp.2012.13,,2012,,,False,,False,False,,,,,,False,
10007760,21,,1564191,D,"American political affiliation, 2003–43: A cohort component projection",,,Population Studies,66,1,53,,,1477-4747,10.1080/00324728.2011.628047,,2012,,2,False,,False,False,,,,,,False,
10007760,21,,2638793,D,"Defending the open society: Foucault, Hayek, and the problem of biopolitical order",,,Economy and Society,42,2,304,,,1469-5766,10.1080/03085147.2012.687929,,2013,,,False,,False,False,,,,,,False,
10006840,21,,3220931,D,Underground railroads: citizen entitlements and unauthorized mobility in the antebellum period and today,,,Journal of Global Ethics,6,3,223,,,1744-9626,10.1080/17449626.2010.524795,,2010,http://dx.doi.org/10.1080/17449626.2010.524795,0,False,,False,True,,,,,,False,
10006840,21,,3220932,D,The Spectre and the Simulacrum: History of Baudrillard,,,Theory Culture & Society,25,6,69,,,0263-2764,10.1177/0263276408095545,,2008,,0,False,,False,False,,,,,,False,
10006840,21,,3220933,D,"Competing Rationalities: Russia, the EU and the “Shared Neighbourhood""",,,Europe-Asia Studies,61,19,1689,,,0966-8136,10.1080/09668130903278918,,2009,,0,False,,False,False,,,,,,False,
10006840,21,,3220934,D,Russian Foreign Policy and the Global Political Environment,,,Problems of Post-Communism,55,5,28,,,1075-8216,10.2753/PPC1075-8216550503,,2008,,0,False,,False,False,,,,,,False,
10006840,21,,3220935,D,From Pristina to Tskhinvali: the legacy of Operation Allied Force in Russia's relations with the West,,,International Affairs,85,3,575,,,0020-5850,10.1111/j.1468-2346.2009.00815.x,,2009,,0,False,,False,False,,,,,,False,
10006840,21,,3220936,A,The Political Economy of European Social Democracy: A Critical Realist Perspective,,Routledge,,,,,,9780415462136,,,,2009,,0,False,,False,False,,,,,,False,
10006840,21,,3220937,D,Misperceiving Matters: Elite Ideas and the Failure of the European Constitution,,,Comparative European Politics,6,1,33,,,1472-4790,10.1057/palgrave.cep.6110121,,2008,,0,False,,False,False,,,,,,False,
10006840,21,,3220938,D,Explaining the underdevelopment of 'Social Europe': a critical realization,,,Journal of European Social Policy,18,3,232,,,0958-9287,10.1177/0958928708091057,,2008,,0,False,,False,False,,,,,,False,
10006840,21,,3220939,D,"The European rescue, recommodification, and/or reterritorialisation of the (becoming-capitalist) state? Marx, Deleuze, Guattari, and the European Union",,,Journal of International Relations and Development,13,4,325,,,1408-6980,10.1057/jird.2010.14,,2010,,0,False,,False,False,,,,,,False,
10006840,21,,3220940,D,Re-Structuring Power,,,Polity,42,3,352,,,0032-3497,10.1057/pol.2010.9,,2010,,0,False,,False,False,,,,,,False,
10006840,21,,3220941,D,"How do we know it's not been done yet?! Trust, trust building and regulation of stem cell research",,,Science and Public Policy,37,9,703,,,0302-3427,,,2010,,3,False,,False,False,,,,,,False,
10006840,21,,3220942,D,Managing Dissent in a Post-genocide Environment: The Challenge of Political Space in Rwanda,,,Development and Change,41,2,225,,,0012-155X,10.1111/j.1467-7660.2010.01640.x,,2010,,0,False,,False,False,,,,,,False,
10006840,21,,3220943,D,Aiding State Building and Sacrificing Peace Building? The Rwanda-UK relationship 1994-2011,,,Third World Quarterly,32,10,1911,,,0143-6597,10.1080/01436597.2011.610593,,2011,,0,False,,False,False,,,,,,False,
