UKPRN,UnitOfAssessment,MultipleSubmission,Profile,FourStar,ThreeStar,TwoStar,OneStar,Unclassified
10007760,21,,Environment,37.5,25,37.5,0,0
10007760,21,,Impact,40,50,10,0,0
10007760,21,,Outputs,25,43.2,25,6.8,0
10007760,21,,Overall,30,42,24,4,0
10006840,21,,Environment,62.5,37.5,0,0,0
10006840,21,,Impact,40,40,13.3,6.7,0
10006840,21,,Outputs,10.6,39.1,37.9,11.8,0.6
10006840,21,,Overall,24,39,28,9,0
10007785,21,,Environment,37.5,62.5,0,0,0
10007785,21,,Impact,60,40,0,0,0
10007785,21,,Outputs,6.4,38.3,34,19.2,2.1
10007785,21,,Overall,22,42,22,13,1
10007786,21,,Environment,37.5,12.5,50,0,0
10007786,21,,Impact,10,90,0,0,0
10007786,21,,Outputs,13.3,36.7,38.9,11.1,0
10007786,21,,Overall,16,44,33,7,0
10000961,21,,Environment,0,37.5,50,12.5,0
10000961,21,,Impact,26.7,73.3,0,0,0
10000961,21,,Outputs,20.3,39.2,36.7,3.8,0
10000961,21,,Overall,19,45,32,4,0
10007788,21,,Environment,37.5,62.5,0,0,0
10007788,21,,Impact,40,40,20,0,0
10007788,21,,Outputs,28.7,34.3,32.4,3.7,0.9
10007788,21,,Overall,32,40,25,2,1
10001143,21,,Environment,0,0,50,50,0
10001143,21,,Impact,0,0,80,20,0
10001143,21,,Outputs,2.3,16.3,41.9,30.2,9.3
10001143,21,,Overall,1,11,51,31,6
10001478,21,,Environment,0,62.5,12.5,25,0
10001478,21,,Impact,0,80,20,0,0
10001478,21,,Outputs,16.7,40.4,35.8,7.1,0
10001478,21,,Overall,11,51,30,8,0
10001726,21,,Environment,0,12.5,62.5,25,0
10001726,21,,Impact,0,86.7,13.3,0,0
10001726,21,,Outputs,3.2,16.2,38.7,38.7,3.2
10001726,21,,Overall,2,30,37,29,2
10007143,21,,Environment,37.5,62.5,0,0,0
10007143,21,,Impact,26.7,73.3,0,0,0
10007143,21,,Outputs,13.5,41.6,38.2,6.7,0
10007143,21,,Overall,20,51,25,4,0
10007789,21,,Environment,25,37.5,37.5,0,0
10007789,21,,Impact,0,90,10,0,0
10007789,21,,Outputs,25,40,27.5,7.5,0
10007789,21,,Overall,20,50,25,5,0
10007791,21,,Environment,87.5,12.5,0,0,0
10007791,21,,Impact,80,10,10,0,0
10007791,21,,Outputs,59.4,23.9,15.7,1,0
10007791,21,,Overall,68,19,12,1,0
10007792,21,,Environment,50,50,0,0,0
10007792,21,,Impact,40,60,0,0,0
10007792,21,,Outputs,22.2,53.4,23.3,1.1,0
10007792,21,,Overall,30,54,15,1,0
10002718,21,,Environment,0,50,50,0,0
10002718,21,,Impact,0,20,70,10,0
10002718,21,,Outputs,11.4,45.7,37.2,5.7,0
10002718,21,,Overall,7,42,45,6,0
10007149,21,,Environment,0,62.5,37.5,0,0
10007149,21,,Impact,0,76.7,23.3,0,0
10007149,21,,Outputs,0,19.4,55.6,25,0
10007149,21,,Overall,0,37,47,16,0
10007767,21,,Environment,0,62.5,37.5,0,0
10007767,21,,Impact,70,30,0,0,0
10007767,21,,Outputs,14.3,30.6,44.9,10.2,0
10007767,21,,Overall,23,36,34,7,0
10007150,21,,Environment,0,62.5,37.5,0,0
10007150,21,,Impact,40,60,0,0,0
10007150,21,,Outputs,11.7,40.6,42.3,5.4,0
10007150,21,,Overall,16,47,33,4,0
10003645,21,,Environment,50,50,0,0,0
10003645,21,,Impact,63.6,25.5,10.9,0,0
10003645,21,,Outputs,21.5,36.4,34.5,7,0.6
10003645,21,,Overall,34,36,25,5,0
10007795,21,,Environment,0,62.5,37.5,0,0
10007795,21,,Impact,66.7,33.3,0,0,0
10007795,21,,Outputs,17.4,39.1,36.3,7.2,0
10007795,21,,Overall,25,41,29,5,0
10007796,21,,Environment,0,37.5,62.5,0,0
10007796,21,,Impact,0,80,20,0,0
10007796,21,,Outputs,12.3,36.8,40.4,10.5,0
10007796,21,,Overall,8,46,39,7,0
10007151,21,,Environment,0,12.5,75,12.5,0
10007151,21,,Impact,0,10,50,40,0
10007151,21,,Outputs,4,40,44,12,0
10007151,21,,Overall,3,29,50,18,0
10006842,21,,Environment,0,25,75,0,0
10006842,21,,Impact,50,10,20,20,0
10006842,21,,Outputs,15,20,45,20,0
10006842,21,,Overall,20,19,44,17,0
10003956,21,,Environment,0,0,0,62.5,37.5
10003956,21,,Impact,0,0,70,30,0
10003956,21,,Outputs,0,36.8,31.6,31.6,0
10003956,21,,Overall,0,24,34,36,6
10007784,21,,Environment,62.5,37.5,0,0,0
10007784,21,,Impact,50,50,0,0,0
10007784,21,,Outputs,33.3,50,14.5,1.1,1.1
10007784,21,,Overall,41,48,10,0,1
10004063,21,,Environment,87.5,12.5,0,0,0
10004063,21,,Impact,61.4,38.6,0,0,0
10004063,21,,Outputs,43.8,43.9,11,1.3,0
10004063,21,,Overall,54,38,7,1,0
10004048,21,,Environment,0,0,50,50,0
10004048,21,,Impact,0,0,20,80,0
10004048,21,,Outputs,0,26.7,60,13.3,0
10004048,21,,Overall,0,17,51,32,0
10007798,21,,Environment,50,50,0,0,0
10007798,21,,Impact,16,76,8,0,0
10007798,21,,Outputs,14,48.3,35.1,2.6,0
10007798,21,,Overall,20,54,24,2,0
10007799,21,,Environment,25,50,25,0,0
10007799,21,,Impact,0,63.3,36.7,0,0
10007799,21,,Outputs,15.1,28.7,49.4,6.8,0
10007799,21,,Overall,14,38,44,4,0
10007154,21,,Environment,0,62.5,37.5,0,0
10007154,21,,Impact,30,50,20,0,0
10007154,21,,Outputs,15.5,50,28.5,5.1,0.9
10007154,21,,Overall,16,52,28,3,1
10007780,21,,Environment,25,25,37.5,12.5,0
10007780,21,,Impact,53.3,46.7,0,0,0
10007780,21,,Outputs,19.6,38.1,38.2,3.1,1
10007780,21,,Overall,27,38,30,4,1
10007774,21,,Environment,100,0,0,0,0
10007774,21,,Impact,86.7,13.3,0,0,0
10007774,21,,Outputs,32.7,37.3,23.5,6.1,0.4
10007774,21,,Overall,54,27,15,4,0
10004930,21,,Environment,0,25,50,25,0
10004930,21,,Impact,40,10,30,20,0
10004930,21,,Outputs,4.7,41.8,39.5,11.7,2.3
10004930,21,,Overall,11,33,39,16,1
10007775,21,,Environment,0,87.5,12.5,0,0
10007775,21,,Impact,13.3,60,26.7,0,0
10007775,21,,Outputs,14.9,56.7,27,1.4,0
10007775,21,,Overall,12,62,25,1,0
10007802,21,,Environment,37.5,12.5,50,0,0
10007802,21,,Impact,13.3,66.7,20,0,0
10007802,21,,Outputs,26.8,39.3,32.1,1.8,0
10007802,21,,Overall,26,40,33,1,0
10005553,21,,Environment,0,87.5,12.5,0,0
10005553,21,,Impact,26.7,50,23.3,0,0
10005553,21,,Outputs,10.8,56.7,27.7,4.8,0
10005553,21,,Overall,12,60,25,3,0
10007157,21,,Environment,62.5,25,12.5,0,0
10007157,21,,Impact,73.3,26.7,0,0,0
10007157,21,,Outputs,43.1,43.1,12.1,1.7,0
10007157,21,,Overall,52,37,10,1,0
10007158,21,,Environment,37.5,50,12.5,0,0
10007158,21,,Impact,0,60,40,0,0
10007158,21,,Outputs,34.9,41.8,18.6,2.4,2.3
10007158,21,,Overall,28,47,22,2,1
10007160,21,,Environment,0,12.5,75,12.5,0
10007160,21,,Impact,0,0,40,60,0
10007160,21,,Outputs,14.8,22.2,40.8,22.2,0
10007160,21,,Overall,10,16,46,28,0
10007806,21,,Environment,25,75,0,0,0
10007806,21,,Impact,50,50,0,0,0
10007806,21,,Outputs,23.4,42.2,28.2,6.2,0
10007806,21,,Overall,29,49,18,4,0
10007163,21,,Environment,100,0,0,0,0
10007163,21,,Impact,56.7,36.6,6.7,0,0
10007163,21,,Outputs,25.7,45.2,23.4,5.7,0
10007163,21,,Overall,43,37,16,4,0
10007164,21,,Environment,0,0,12.5,62.5,25
10007164,21,,Impact,20,20,40,20,0
10007164,21,,Outputs,3.1,37.5,40.7,18.7,0
10007164,21,,Overall,6,28,37,25,4
10007165,21,,Environment,12.5,75,12.5,0,0
10007165,21,,Impact,0,70,30,0,0
10007165,21,,Outputs,8.2,48.9,38.8,4.1,0
10007165,21,,Overall,7,57,33,3,0
10007167,21,,Environment,50,50,0,0,0
10007167,21,,Impact,60,26.7,13.3,0,0
10007167,21,,Outputs,27.4,46.6,24.6,1.4,0
10007167,21,,Overall,37,43,19,1,0
10007783,21,,Environment,0,62.5,37.5,0,0
10007783,21,,Impact,0,10,70,20,0
10007783,21,,Outputs,11.4,47.7,27.3,13.6,0
10007783,21,,Overall,7,43,37,13,0
10007852,21,,Environment,0,12.5,75,12.5,0
10007852,21,,Impact,0,0,50,50,0
10007852,21,,Outputs,8.7,26.1,60.9,4.3,0
10007852,21,,Overall,6,18,61,15,0
10007790,21,,Environment,100,0,0,0,0
10007790,21,,Impact,50,50,0,0,0
10007790,21,,Outputs,19.8,38.8,35.1,6.3,0
10007790,21,,Overall,38,35,23,4,0
10007794,21,,Environment,25,62.5,12.5,0,0
10007794,21,,Impact,0,86.7,13.3,0,0
10007794,21,,Outputs,14.9,50.6,31.1,3.4,0
10007794,21,,Overall,13,60,25,2,0
10005500,21,,Environment,0,12.5,87.5,0,0
10005500,21,,Impact,0,20,80,0,0
10005500,21,,Outputs,8.3,50,33.4,8.3,0
10005500,21,,Overall,5,39,51,5,0
10007803,21,,Environment,50,50,0,0,0
10007803,21,,Impact,50,40,10,0,0
10007803,21,,Outputs,17.3,42.7,32.7,6.4,0.9
10007803,21,,Overall,29,43,23,4,1
10007805,21,,Environment,37.5,62.5,0,0,0
10007805,21,,Impact,60,40,0,0,0
10007805,21,,Outputs,16.9,47.7,32.3,3.1,0
10007805,21,,Overall,29,48,21,2,0
10007856,21,,Environment,87.5,12.5,0,0,0
10007856,21,,Impact,40,40,20,0,0
10007856,21,,Outputs,35.1,34,27.8,3.1,0
10007856,21,,Overall,44,32,22,2,0
10007814,21,,Environment,37.5,62.5,0,0,0
10007814,21,,Impact,30,70,0,0,0
10007814,21,,Outputs,22,48,22,8,0
10007814,21,,Overall,26,55,14,5,0
10007855,21,,Environment,0,37.5,62.5,0,0
10007855,21,,Impact,40,50,10,0,0
10007855,21,,Outputs,17.1,54.3,25.7,2.9,0
10007855,21,,Overall,19,51,28,2,0
10005343,21,,Environment,12.5,75,12.5,0,0
10005343,21,,Impact,50,40,10,0,0
10005343,21,,Outputs,14.5,35.1,44.4,6,0
10005343,21,,Overall,21,42,33,4,0
10008026,21,,Overall,0,0,20,67,13
10007807,21,,Environment,0,50,37.5,12.5,0
10007807,21,,Impact,10,50,40,0,0
10007807,21,,Outputs,8.1,48.7,37.8,5.4,0
10007807,21,,Overall,7,49,39,5,0
