UKPRN,UnitOfAssessment,MultipleSubmission,Source,Income2008,Income2009,Income2010,Income2011,Income2012
10007760,21,,1,61245,73221,76197,6817,88889
10007760,21,,2,61842,54975,89668,63451,44509
10007760,21,,6,0,0,8280,0,0
10007760,21,,7,0,35000,0,0,0
10007760,21,,12,18852,1832,0,0,7076
10006840,21,,1,491662,268118,367053,325539,486622
10006840,21,,2,36732,25899,4331,63179,11506
10006840,21,,3,4345,8800,0,32200,0
10006840,21,,4,979483,899155,453079,178223,122024
10006840,21,,5,154323,15993,25144,0,454112
10006840,21,,6,138770,6030,13735,105988,74942
10006840,21,,8,8220,0,6365,0,0
10006840,21,,9,0,0,0,0,20329
10006840,21,,11,0,0,0,0,647
10006840,21,,12,0,0,16086,6879,1789
10006840,21,,13,135974,75688,97541,17750,85418
10007785,21,,1,222411,170219,124818,86746,31435
10007785,21,,2,130169,142272,176387,126529,56964
10007785,21,,4,164675,32274,15536,5649,20303
10007785,21,,5,14253,33170,3465,7252,0
10007785,21,,6,106116,88304,108165,98102,89765
10007785,21,,7,3517,484,0,0,0
10007785,21,,9,30043,51687,22222,5,0
10007785,21,,10,23633,3725,0,0,0
10007785,21,,12,76680,-4201,67481,8962,3354
10007785,21,,13,92,0,0,0,0
10007786,21,,1,101323,318795,303376,212399,53205
10007786,21,,2,90339,88689,32544,0,0
10007786,21,,7,24000,0,0,0,0
10007786,21,,10,17227,0,0,0,0
10007786,21,,13,-1,0,0,0,0
10000961,21,,1,8081,18842,21820,4973,3524
10000961,21,,2,5050,0,0,0,5748
10000961,21,,4,0,0,3571,1446,0
10000961,21,,6,0,0,2389,1291,4294
10000961,21,,11,12558,11401,4596,0,324
10000961,21,,13,1058,0,7375,0,0
10007788,21,,1,78445,89972,14914,115550,267926
10007788,21,,2,23784,74463,118571,49555,54192
10007788,21,,3,23784,3345,1489,76444,89172
10007788,21,,4,530,4752,27246,14684,21401
10007788,21,,6,12456,29012,57566,131780,166586
10007788,21,,9,12463,-2496,0,0,31094
10007788,21,,10,15319,0,0,0,0
10007788,21,,12,6421,3579,0,0,1537
10007788,21,,13,-2640,-1201,-434,-4037,23124
10001143,21,,1,58965,0,0,0,0
10001143,21,,2,2187,4348,3487,0,2135
10001143,21,,4,4153,14664,0,0,0
10001143,21,,5,0,0,5329,1272,0
10001143,21,,6,0,0,0,0,179241
10001143,21,,13,0,0,14728,5682,0
10001478,21,,1,22210,22210,6282,9562,10929
10001478,21,,2,0,4354,270,0,0
10001478,21,,9,0,86,1941,0,0
10001726,21,,1,15954,17070,-18692,0,48232
10001726,21,,2,185483,283121,197298,94213,33563
10001726,21,,3,0,0,0,7465,25221
10001726,21,,4,750109,447011,47760,9404,46391
10001726,21,,5,0,0,0,32575,1213
10001726,21,,6,0,0,25350,109035,207965
10001726,21,,7,0,66208,17193,-6276,0
10001726,21,,9,70716,-57702,0,0,0
10001726,21,,10,0,0,21341,5299,6822
10001726,21,,11,0,0,0,906,-906
10001726,21,,12,0,0,14565,7542,63000
10007143,21,,1,203667,236409,243716,121084,18308
10007143,21,,2,29937,6116,3719,22994,66115
10007143,21,,6,9891,0,0,20095,53868
10007143,21,,7,-482,1477,0,0,0
10007143,21,,11,55176,12613,0,0,0
10007143,21,,12,15984,110401,84898,47396,45093
10007143,21,,13,0,473,528,0,0
10007789,21,,1,144133,209002,162824,165070,163856
10007789,21,,2,256,0,3379,21787,0
10007789,21,,3,0,0,0,3000,0
10007789,21,,4,0,26821,25725,27024,3773
10007789,21,,6,0,0,5958,119035,76886
10007789,21,,9,0,0,143,18996,1955
10007789,21,,12,0,1466,0,0,0
10007789,21,,13,0,0,0,0,250
10007791,21,,1,396406,1035933,1137037,861573,373833
10007791,21,,3,502,5,3680,5213,7721
10007791,21,,5,0,0,0,0,8500
10007791,21,,6,19775,28096,9172,75376,213806
10007791,21,,9,19201,27538,27445,50848,8361
10007791,21,,12,354,3337,335,186,0
10007792,21,,1,344184,454925,511859,514639,267132
10007792,21,,2,2318,6558,0,0,0
10007792,21,,3,36422,2731,890,17966,0
10007792,21,,4,252667,218031,239986,230826,156953
10007792,21,,5,64154,15016,3709,0,0
10007792,21,,6,87278,340202,395711,407419,420253
10007792,21,,8,0,0,0,777,1428
10007792,21,,9,2707,0,29289,70787,8400
10007792,21,,12,0,17019,22748,824,22640
10007792,21,,13,21719,18348,0,0,0
10002718,21,,1,45781,18931,7276,51898,113733
10002718,21,,2,60,7847,0,368,0
10002718,21,,3,0,0,0,0,12524
10002718,21,,6,0,0,0,5500,0
10002718,21,,10,0,0,0,1960,0
10007149,21,,1,10951,6359,21705,18126,13719
10007149,21,,2,25903,26856,21541,19038,19810
10007149,21,,4,2104,1443,0,7148,55243
10007149,21,,6,13952,-5096,383,429,2548
10007149,21,,9,0,0,31593,0,4026
10007149,21,,12,-2532,25194,35205,19175,1841
10007149,21,,13,2816,1016,1351,0,0
10007767,21,,1,90471,74068,71359,105826,81246
10007767,21,,2,0,0,30665,44055,16971
10007767,21,,4,5861,0,652,13786,29918
10007767,21,,6,30477,0,0,0,0
10007767,21,,12,45841,62272,0,0,0
10007767,21,,13,-139,418,0,193,0
10007150,21,,1,85467,112106,136520,129266,55747
10007150,21,,2,130063,56354,11986,20117,15671
10007150,21,,3,0,0,0,0,-23
10007150,21,,4,0,-3496,0,0,7070
10007150,21,,6,44712,43050,34182,-1092,0
10007150,21,,9,2133,352,0,0,0
10007150,21,,12,0,12412,21384,12393,2647
10003645,21,,1,320843,264440,410327,377649,275343
10003645,21,,2,40966,41010,79074,117032,83213
10003645,21,,3,136368,141369,127440,-56937,0
10003645,21,,4,1919459,1881973,2108955,1803206,1849371
10003645,21,,5,3727441,3778504,3941849,4413624,4590200
10003645,21,,6,229115,360488,491649,270220,278546
10003645,21,,8,4777,5758,0,0,34821
10003645,21,,10,183439,366409,233320,168113,318700
10003645,21,,12,135988,75563,377447,841173,604149
10003645,21,,13,4000,2053,1264,0,0
10007795,21,,1,139573,167018,171440,209113,23301
10007795,21,,2,902,4077,37453,48978,51496
10007795,21,,3,0,0,0,2218,782
10007795,21,,4,1960,-7,0,0,7216
10007795,21,,5,14600,0,0,0,0
10007795,21,,6,0,0,0,0,67044
10007795,21,,9,0,0,40068,8669,11926
10007795,21,,10,0,0,0,6309,5100
10007795,21,,12,60984,50639,51267,40041,1778
10007795,21,,13,0,10000,0,409,1080
10007796,21,,1,1301,671,6380,15715,1307
10007796,21,,2,2709,47202,46967,2835,0
10007796,21,,3,0,0,1567,1518,4038
10007796,21,,4,4070,17096,610,640,0
10007796,21,,6,0,0,0,40713,213973
10007796,21,,7,346,10370,945,0,0
10007796,21,,9,0,0,0,2132,732
10007796,21,,10,1,0,0,0,0
10007151,21,,1,2303,0,0,0,4712
10007151,21,,2,0,28156,37318,37049,6620
10007151,21,,4,0,22613,17425,0,0
10006842,21,,1,2232,37275,21723,3391,90749
10006842,21,,2,0,0,3766,11222,59174
10006842,21,,6,0,0,0,0,29817
10006842,21,,12,48528,9868,2235,0,0
10006842,21,,13,0,0,0,4000,0
10003956,21,,1,0,0,0,0,6150
10003956,21,,2,0,0,0,0,765
10003956,21,,4,0,0,0,900,0
10007784,21,,1,354000,467000,589000,418000,322000
10007784,21,,2,15000,74000,179000,265000,179000
10007784,21,,3,0,0,0,0,3000
10007784,21,,4,113000,45000,0,0,0
10007784,21,,6,40000,-7000,5000,5000,192000
10007784,21,,7,0,1000,0,0,0
10007784,21,,9,0,0,8000,0,0
10007784,21,,12,0,0,0,0,16000
10004063,21,,1,127839,262155,223110,102335,113238
10004063,21,,2,123376,14289,8515,2030,74927
10004063,21,,3,0,0,1000,0,0
10004063,21,,5,242514,204426,143313,140693,144770
10004063,21,,6,361328,526403,807758,852526,635961
10004063,21,,8,134005,61709,22711,83076,11111
10004063,21,,9,432,2531,37273,0,66599
10004063,21,,10,0,0,5515,0,0
10004063,21,,11,32891,9542,29785,26116,31394
10004063,21,,12,8201,177997,345777,323625,465920
10004063,21,,13,81385,57957,56479,102424,71359
10004048,21,,1,89306,50168,0,0,0
10004048,21,,2,5241,14775,-3750,0,0
