,A*,A,B,C,Av. Rank,Four Str
10000961,6,11,3,2,2.9545454545454546,14.7
10007788,28,29,10,7,3.054054054054054,22.0
10007143,21,31,7,5,3.0625,27.4
10007789,10,48,26,1,2.788235294117647,23.0
10002718,4,10,3,3,2.75,17.9
10007146,0,6,5,8,1.894736842105263,0.0
10007150,36,32,7,11,3.045977011494253,8.7
10003957,11,15,3,1,3.2,16.1
10007784,17,24,8,4,3.018867924528302,26.3
10004063,11,49,17,10,2.7011494252873565,20.8
10007798,7,63,34,5,2.5892857142857144,21.4
10007773,4,20,17,14,2.2142857142857144,12.5
10007780,8,46,35,16,2.4380952380952383,15.3
10007774,42,81,40,12,2.8579545454545454,23.3
10007776,6,7,7,8,2.392857142857143,16.3
10007806,9,20,12,3,2.7333333333333334,13.4
10007783,2,8,3,3,2.5625,12.5
10007790,12,24,14,5,2.7818181818181817,17.4
10005337,6,6,8,2,2.727272727272727,12.5
10007803,3,14,4,5,2.576923076923077,13.5
10005343,6,4,0,1,3.3636363636363638,19.0
