,2* + 1* Output (%),4* Output (%),Income per Submission (millions)
0,48.0,18.0,0.011532794117647058
1,26.0,31.0,0.06368883687943261
2,24.0,30.0,0.05140470212765958
3,26.0,36.0,0.08709719000000002
4,22.0,23.0,0.08736558974358974
5,49.0,6.0,0.12176159999999998
6,40.0,11.0,0.04308617475728155
7,39.0,18.0,0.021686935483870972
8,29.0,40.0,0.047168141592920355
9,19.0,31.0,0.08075488590604027
10,21.0,37.0,0.0801286449704142
11,31.0,24.0,0.04851754166666667
12,38.0,17.0,0.029908428571428575
13,21.0,40.0,0.12138001234567901
14,38.0,11.0,0.0017715116279069765
15,31.0,24.0,0.058730970149253735
16,42.0,23.0,0.037027475000000004
17,30.0,33.0,0.04074840366972477
18,48.0,8.0,0.023558875000000003
19,35.0,11.0,0.008775288461538463
20,32.0,42.0,0.04339545238095238
