UKPRN,UnitOfAssessment,MultipleSubmission,Source,Income2008,Income2009,Income2010,Income2011,Income2012
10000961,24,,1,64133,18292,18161,142434,89704
10000961,24,,2,0,0,0,13321,6954
10000961,24,,13,11825,216,10108,146,16821
10007788,24,,1,1229173,1085949,1022130,1019956,719959
10007788,24,,2,398354,267495,224429,180726,75869
10007788,24,,3,33993,116501,90784,197245,42940
10007788,24,,4,35167,35882,70937,111234,-230
10007788,24,,6,5995,61668,59643,428722,1100635
10007788,24,,10,11111,14622,0,16515,53512
10007788,24,,12,5080,15779,24783,78367,151096
10007788,24,,13,-13792,-5012,-11516,0,7700
10007788,24,,15,5040,6775,4910,0,0
10007143,24,,1,716585,676378,394439,363959,506564
10007143,24,,2,117612,130994,47225,83738,130718
10007143,24,,3,0,0,0,21114,0
10007143,24,,4,268044,367277,211737,159285,123127
10007143,24,,5,15566,9209,10110,5278,3656
10007143,24,,6,0,561,2440,77588,-10512
10007143,24,,7,0,0,0,0,39565
10007143,24,,8,17875,267,0,0,0
10007143,24,,10,13291,10844,27886,76012,79695
10007143,24,,12,20611,1535,7091,25059,50211
10007143,24,,13,0,0,0,3477,25931
10007789,24,,1,1210173,601779,795523,892353,500270
10007789,24,,2,96712,37709,14309,19470,22279
10007789,24,,3,8684,0,800,123012,88320
10007789,24,,4,193642,336134,356345,291461,305156
10007789,24,,5,149906,266012,98095,0,0
10007789,24,,6,147726,286819,297160,422273,145489
10007789,24,,7,0,11168,0,0,0
10007789,24,,8,901,0,3382,2207,0
10007789,24,,9,2014,0,9598,7393,14901
10007789,24,,11,13024,12904,27203,4800,1990
10007789,24,,12,208242,154449,83914,37074,226015
10007789,24,,13,62290,31485,11989,29655,45510
10002718,24,,1,355563,382355,224895,152059,38563
10002718,24,,2,32570,58117,-78065,50920,71873
10002718,24,,5,-108,238,0,0,0
10002718,24,,6,84042,277238,422094,680531,545274
10002718,24,,10,2291,26376,26693,19495,3618
10002718,24,,11,0,0,3853,83,0
10002718,24,,12,0,0,1227,6808,1171
10002718,24,,13,14986,2498,0,0,0
10007146,24,,1,55993,45619,-9359,13511,0
10007146,24,,2,35481,48806,120639,52956,26394
10007146,24,,3,20101,18600,6374,19125,30546
10007146,24,,4,68716,244368,143826,291044,48408
10007146,24,,5,87688,29674,0,34523,47727
10007146,24,,6,13173,69045,101390,204846,490935
10007146,24,,8,-7270,0,22668,0,0
10007146,24,,9,53828,98467,122508,43815,57341
10007146,24,,12,91801,132568,299151,380128,352244
10007146,24,,13,0,3370,8159,97127,145602
10007150,24,,1,98590,37533,112514,100211,49701
10007150,24,,2,124270,141518,104808,90720,77529
10007150,24,,3,171342,83578,38128,11304,4503
10007150,24,,4,146050,576998,795329,429898,394067
10007150,24,,5,0,87,14982,31616,5677
10007150,24,,6,1785,68183,52354,38928,69637
10007150,24,,7,0,9233,7979,5753,4149
10007150,24,,9,10856,0,0,0,0
10007150,24,,10,59229,77942,58652,65141,38100
10007150,24,,12,3273,15250,2999,18478,20893
10007150,24,,13,0,0,757,28824,5944
10007150,24,,15,17582,31346,42400,33792,7464
10003957,24,,1,74282,27422,5078,0,0
10003957,24,,2,77668,105196,0,1363,53242
10003957,24,,3,0,0,58791,2040,-136
10003957,24,,4,3925,4890,1503,6557,0
10003957,24,,5,23404,23566,9031,7720,0
10003957,24,,6,14264,4809,21039,5816,9538
10003957,24,,7,0,-151,1212,1235,0
10003957,24,,10,0,0,3830,8121,0
10003957,24,,11,899,0,-390,0,0
10003957,24,,12,0,0,0,0,4857
10003957,24,,13,0,0,1500,0,1289
10003957,24,,15,41420,41253,18913,4019,3280
10007784,24,,1,388000,430000,619000,519000,398000
10007784,24,,2,139000,150000,133000,197000,570000
10007784,24,,3,0,22000,0,0,0
10007784,24,,4,1000,1000,3000,1000,0
10007784,24,,6,134000,134000,245000,187000,963000
10007784,24,,8,0,0,0,0,24000
10007784,24,,10,24000,0,2000,0,1000
10007784,24,,12,0,0,0,0,45000
10004063,24,A,1,461094,533557,558854,103407,183205
10004063,24,A,2,3973,11690,607,0,37522
10004063,24,A,3,0,1900,0,0,0
10004063,24,A,6,0,0,0,55416,153796
10004063,24,A,8,1400,0,0,0,1628
10004063,24,A,9,0,0,0,27506,0
10004063,24,A,11,0,0,9815,837,1659
10004063,24,A,12,947,0,0,493,364
10004063,24,A,13,73999,43397,94585,71856,69181
10004063,24,B,1,370751,330861,47742,27744,21367
10004063,24,B,2,94489,11615,0,1094,26684
10004063,24,B,3,102142,38923,0,1316,0
10004063,24,B,4,679099,555789,249987,799716,475096
10004063,24,B,6,25510,113015,148497,472192,495903
10004063,24,B,7,30022,36664,90,0,0
10004063,24,B,8,11541,0,0,0,32805
10004063,24,B,9,130782,198932,77374,39934,0
10004063,24,B,10,50102,54624,476869,0,0
10004063,24,B,11,82764,4067,7506,934,12105
10004063,24,B,12,7232,755726,521105,768080,725836
10004063,24,B,13,382382,13118,15149,4515,0
10007798,24,A,1,239235,446863,607616,466552,313380
10007798,24,A,2,16190,91054,182225,163096,158389
10007798,24,A,4,2283,529,0,0,6787
10007798,24,A,5,0,0,0,0,11619
10007798,24,A,6,0,2667,28310,2034,858
10007798,24,A,8,8558,0,0,0,361
10007798,24,A,9,0,0,30360,20240,-14544
10007798,24,A,10,4000,9169,27015,30217,-7631
10007798,24,A,12,11504,10359,0,0,0
