,A*,A,B,C,Av. Rank,Four Str
10006841,0,5,3,10,1.631578947368421,2.9
10007139,1,1,15,12,1.6896551724137931,11.5
10007159,1,4,6,7,1.75,0.0
10007138,0,10,7,16,1.8181818181818181,3.8
10007811,1,2,6,4,1.8571428571428572,9.5
10007843,1,0,2,2,2.0,10.3
10004797,3,10,15,14,2.0476190476190474,9.9
10000291,2,4,3,7,2.0625,0.0
10000571,2,5,7,7,2.0952380952380953,8.2
10007799,2,14,16,12,2.1363636363636362,21.7
10007166,4,5,16,8,2.1515151515151514,7.1
10003861,2,4,13,4,2.1739130434782608,6.0
10007805,11,19,24,23,2.2051282051282053,9.8
10007807,2,8,16,5,2.225806451612903,12.2
10002718,4,4,11,6,2.24,23.1
10007851,4,1,1,6,2.25,14.3
10007776,4,10,13,9,2.25,31.0
10007762,2,7,4,6,2.263157894736842,13.0
10007832,3,4,6,5,2.2777777777777777,16.7
10007792,13,13,31,13,2.3714285714285714,37.6
10007140,2,4,8,2,2.375,16.7
10008010,2,4,8,2,2.375,30.0
10007801,6,18,30,7,2.377049180327869,13.4
10007163,18,32,33,22,2.392523364485981,23.1
10001143,7,18,13,12,2.4,7.1
10007773,13,40,43,16,2.4035087719298245,16.8
10007144,2,9,6,4,2.4285714285714284,12.1
10007783,1,13,7,4,2.44,6.1
10007823,7,8,17,5,2.4594594594594597,2.1
10000961,7,15,12,9,2.4651162790697674,19.7
10003957,4,13,16,2,2.4722222222222223,16.0
10007157,8,14,14,8,2.5,22.6
10007149,1,17,16,1,2.5142857142857142,15.1
10007794,12,42,31,13,2.515151515151515,17.1
10007152,3,7,6,3,2.526315789473684,18.8
10007802,7,16,19,5,2.5319148936170213,24.6
10007154,12,21,28,8,2.536231884057971,31.2
10005343,19,14,15,16,2.5625,25.3
10007713,5,4,10,2,2.5714285714285716,5.0
10007796,12,24,27,5,2.5942028985507246,18.3
10006566,1,5,3,1,2.6,7.7
10007790,27,34,31,20,2.607142857142857,19.4
10000886,1,6,6,0,2.6153846153846154,13.8
10007795,24,26,31,14,2.6315789473684212,17.4
10005790,9,15,12,6,2.642857142857143,15.4
10003956,6,11,7,3,2.642857142857143,11.4
10007848,2,7,5,1,2.6666666666666665,16.7
10004048,2,1,2,1,2.6666666666666665,10.5
10003614,5,8,4,4,2.6666666666666665,18.9
10003645,26,21,29,13,2.6741573033707864,34.1
10007784,131,169,148,73,2.676864244741874,13.8
10007768,5,12,8,3,2.6785714285714284,24.4
10007804,10,7,12,4,2.696969696969697,25.0
10007148,7,17,9,3,2.7027027027027026,8.3
10007814,18,19,24,7,2.7058823529411766,32.1
10007164,7,11,10,3,2.7096774193548385,18.6
10007786,24,27,27,11,2.7191011235955056,29.9
10007146,7,8,6,4,2.72,4.9
10007798,22,19,18,11,2.742857142857143,31.3
10007143,25,24,17,14,2.75,26.0
10007806,10,12,10,4,2.7777777777777777,24.6
10006840,20,38,17,7,2.7976190476190474,38.2
10007852,7,11,11,1,2.8,13.5
10004930,9,11,11,2,2.8181818181818183,16.3
10004180,17,22,20,4,2.8253968253968256,20.5
10007158,18,31,11,9,2.8405797101449277,17.9
10007789,10,17,8,4,2.8461538461538463,22.0
10007167,23,13,29,2,2.8507462686567164,27.6
10007774,37,34,30,9,2.9,50.6
10007151,4,8,3,1,2.9375,12.5
10007800,16,11,9,4,2.975,6.4
10007788,36,42,23,7,2.990740740740741,38.1
10007842,4,2,0,2,3.0,0.0
10006299,11,10,3,3,3.074074074074074,25.0
10004113,13,11,2,2,3.25,22.9
