UKPRN,UnitOfAssessment,MultipleSubmission,Source,Income2008,Income2009,Income2010,Income2011,Income2012
10000291,25,,1,14451,42788,0,0,11221
10000291,25,,2,0,0,3332,8166,0
10000291,25,,4,33657,20020,12545,137892,26977
10000291,25,,6,39634,0,0,0,47475
10000291,25,,9,0,0,0,0,4669
10000571,25,,1,1443,416,122,1250,12028
10000571,25,,2,40491,19105,52696,48045,72304
10000571,25,,4,4061,11823,39246,23946,86909
10000571,25,,5,0,24837,50279,0,0
10000571,25,,6,0,0,0,0,11858
10000571,25,,13,18242,4332,26154,12148,28563
10007152,25,,1,0,0,0,0,10702
10007152,25,,2,8178,16982,24952,17179,11628
10007152,25,,3,0,0,0,714,0
10007152,25,,4,23515,45084,75759,10898,2159
10007152,25,,5,45,7311,0,0,0
10007152,25,,9,1966,1800,0,0,0
10007152,25,,13,5309,6284,32249,0,0
10006840,25,,1,262596,49339,60269,66531,107550
10006840,25,,2,226269,156690,212767,228041,389216
10006840,25,,3,93684,96601,55383,33929,198993
10006840,25,,4,821336,605948,88886,3610,35617
10006840,25,,5,0,0,5000,0,0
10006840,25,,6,4846,108664,39122,-336,-21089
10006840,25,,9,0,15160,73196,69590,5885
10006840,25,,11,0,0,0,12923,0
10006840,25,,12,0,0,18493,192235,1366983
10006840,25,,13,20027,187863,192871,31076,20829
10007140,25,,2,20919,0,0,0,13058
10007140,25,,3,19472,19849,40511,26105,0
10007140,25,,4,69245,97622,23314,7420,45153
10007140,25,,5,90080,44438,0,5283,26514
10007140,25,,6,7405,41532,53891,-50947,-4234
10007140,25,,9,0,0,0,4699,0
10007140,25,,11,0,0,0,258,0
10007140,25,,12,0,0,0,7131,17274
10007140,25,,13,59120,3023,1328,1750,63872
10007811,25,,9,0,0,0,0,88000
10006841,25,,4,1069744,1045934,828853,1013703,751595
10006841,25,,5,26457,31836,2983,19781,15000
10006841,25,,6,0,20743,153142,196233,145231
10006841,25,,13,8573,11926,501,0,0
10000886,25,,1,12674,7055,1226,8103,3782
10000886,25,,2,0,13024,55266,3880,19307
10000886,25,,4,125237,123964,50398,8964,33702
10000886,25,,5,0,5524,0,0,0
10000886,25,,6,0,0,0,5261,40519
10000886,25,,9,0,2831,0,0,46965
10000886,25,,10,6876,63308,0,0,0
10000886,25,,12,0,0,0,7568,34232
10007786,25,,1,753023,822307,644296,665907,556776
10007786,25,,2,294973,220629,171753,114247,97883
10007786,25,,3,-676,0,0,0,0
10007786,25,,4,314396,505409,168197,56133,55667
10007786,25,,5,14959,10466,12562,13259,4167
10007786,25,,6,67702,184277,212288,275081,94771
10007786,25,,10,10603,0,23963,0,33307
10007786,25,,12,0,0,0,11132,4407
10007786,25,,13,1762,34062,10096,5349,9257
10000961,25,,1,0,0,0,0,57959
10000961,25,,2,122158,126564,34713,8457,0
10000961,25,,3,13644,5603,0,6959,4269
10000961,25,,4,134470,134460,13121,5537,0
10000961,25,,5,28918,4747,2127,21,2742
10000961,25,,10,0,0,0,7748,66114
10000961,25,,13,14880,4650,5500,8473,2076
10007788,25,,1,503913,606437,334929,174911,320727
10007788,25,,2,223593,192186,160469,93811,62354
10007788,25,,3,216465,71889,108308,72830,17125
10007788,25,,4,773850,415873,171861,-35331,43964
10007788,25,,5,0,0,9319,-16133,0
10007788,25,,6,75788,73246,-23768,46137,114255
10007788,25,,8,39181,18809,0,0,0
10007788,25,,9,113,0,0,22127,38870
10007788,25,,11,0,0,19564,16426,-123865
10007788,25,,12,0,0,0,191667,576181
10007788,25,,13,0,-2207,5249,-2300,23519
10001143,25,,1,1041,1786,0,0,0
10001143,25,,2,96751,46502,48527,65162,102609
10001143,25,,4,244650,232516,108936,100414,71189
10001143,25,,5,220334,212795,124119,27910,0
10001143,25,,6,47551,45153,69133,25217,15008
10001143,25,,10,492816,483313,217181,0,0
10001143,25,,13,22205,43340,103404,12851,8296
10007848,25,,1,0,265,2397,5645,4978
10007848,25,,2,0,0,1462,773,0
10007848,25,,4,0,0,9800,7000,11614
10007848,25,,5,0,0,1000,2000,2240
10007842,25,,2,28000,42000,0,0,0
10007842,25,,3,0,0,0,3000,0
10007842,25,,4,0,0,0,3000,2000
10007842,25,,5,0,0,0,0,96000
10007842,25,,13,0,0,6000,8000,2000
10007851,25,,1,4868,0,0,0,0
10007851,25,,3,0,0,39940,68371,102962
10007851,25,,4,0,0,55486,69023,67172
10007851,25,,5,0,0,26095,25071,50981
10007851,25,,6,0,0,0,47258,6069
10007851,25,,7,0,0,0,0,2224
10007851,25,,11,0,0,13000,0,0
10007851,25,,13,0,0,22024,2602,4930
10007143,25,,1,54288,213333,317757,269074,479749
10007143,25,,2,97698,85771,477049,639400,618578
10007143,25,,3,0,0,38000,78845,168453
10007143,25,,4,5348036,5570475,5352564,4958771,5260294
10007143,25,,5,101828,75201,45876,72118,90082
10007143,25,,6,26063,22136,58218,39393,77670
10007143,25,,11,0,0,109244,102246,-34969
10007143,25,,12,19164,821,0,0,29543
10007143,25,,13,0,0,3687,4314,0
10007789,25,,1,29836,20712,18095,5257,11853
10007789,25,,2,0,0,6983,45908,17186
10007789,25,,3,1463,0,0,0,0
10007789,25,,4,6649,19829,20829,25579,44515
10007789,25,,6,1324,0,0,0,0
10007789,25,,12,0,1214,0,0,0
10007789,25,,13,24129,383,0,0,11001
10007144,25,,1,14045,46067,58026,60856,102720
10007144,25,,2,27453,10579,8660,13599,13970
10007144,25,,4,11000,110100,1200,108708,8991
10007144,25,,5,0,13225,1500,0,0
10007144,25,,6,0,13577,82957,41365,11904
10007144,25,,8,0,0,0,3001,0
10007144,25,,9,0,28782,0,10608,5950
10007144,25,,10,0,0,0,0,11592
10007144,25,,13,2449,1224,11935,2164,42117
10007823,25,,1,124913,31483,0,0,0
10007823,25,,2,0,46119,12372,21569,0
10007823,25,,4,47600,4978,12760,12983,5153
10007823,25,,5,0,12100,14550,18050,13875
10007792,25,,1,229528,319610,230506,206777,101618
10007792,25,,2,121783,146564,279533,2016,72608
10007792,25,,3,36291,20420,45545,251656,397702
