UKPRN,UnitOfAssessment,MultipleSubmission,Profile,FourStar,ThreeStar,TwoStar,OneStar,Unclassified
10000291,25,,Environment,0,50,50,0,0
10000291,25,,Impact,0,0,50,50,0
10000291,25,,Outputs,0,28.6,42.8,23.8,4.8
10000291,25,,Overall,0,26,45,26,3
10000571,25,,Environment,0,0,50,50,0
10000571,25,,Impact,0,40,60,0,0
10000571,25,,Outputs,8.2,32.6,36.8,18.3,4.1
10000571,25,,Overall,5,30,43,19,3
10007152,25,,Environment,0,0,37.5,62.5,0
10007152,25,,Impact,0,0,60,40,0
10007152,25,,Outputs,18.8,37.5,34.3,9.4,0
10007152,25,,Overall,12,25,40,23,0
10006840,25,,Environment,100,0,0,0,0
10006840,25,,Impact,36.7,50,13.3,0,0
10006840,25,,Outputs,38.2,38.3,19.6,3.9,0
10006840,25,,Overall,47,35,15,3,0
10007140,25,,Environment,0,12.5,87.5,0,0
10007140,25,,Impact,0,0,70,30,0
10007140,25,,Outputs,16.7,40,33.3,10,0
10007140,25,,Overall,11,28,49,12,0
10007811,25,,Environment,0,0,12.5,75,12.5
10007811,25,,Impact,0,0,40,50,10
10007811,25,,Outputs,9.5,33.4,38.1,19,0
10007811,25,,Overall,6,22,35,33,4
10006841,25,,Environment,0,12.5,75,12.5,0
10006841,25,,Impact,0,40,60,0,0
10006841,25,,Outputs,2.9,22.8,48.6,17.1,8.6
10006841,25,,Overall,2,25,54,13,6
10000886,25,,Environment,0,25,75,0,0
10000886,25,,Impact,0,50,50,0,0
10000886,25,,Outputs,13.8,34.5,41.4,10.3,0
10000886,25,,Overall,9,36,48,7,0
10007786,25,,Environment,100,0,0,0,0
10007786,25,,Impact,50,50,0,0,0
10007786,25,,Outputs,29.9,39.6,29.2,0.7,0.6
10007786,25,,Overall,44,36,19,1,0
10000961,25,,Environment,0,50,50,0,0
10000961,25,,Impact,0,90,10,0,0
10000961,25,,Outputs,19.7,32.8,36,11.5,0
10000961,25,,Overall,13,47,33,7,0
10007788,25,,Environment,87.5,12.5,0,0,0
10007788,25,,Impact,80,10,10,0,0
10007788,25,,Outputs,38.1,31.3,27.9,2,0.7
10007788,25,,Overall,54,24,20,2,0
10001143,25,,Environment,0,87.5,12.5,0,0
10001143,25,,Impact,0,63.3,36.7,0,0
10001143,25,,Outputs,7.1,37.8,35.7,19.4,0
10001143,25,,Overall,5,50,32,13,0
10007848,25,,Environment,0,0,0,75,25
10007848,25,,Impact,0,0,30,70,0
10007848,25,,Outputs,16.7,27.7,55.6,0,0
10007848,25,,Overall,11,18,42,25,4
10007842,25,,Environment,0,0,0,87.5,12.5
10007842,25,,Impact,0,20,50,30,0
10007842,25,,Outputs,0,29.4,64.7,5.9,0
10007842,25,,Overall,0,23,52,23,2
10007851,25,,Environment,0,0,62.5,37.5,0
10007851,25,,Impact,0,0,80,20,0
10007851,25,,Outputs,14.3,33.3,33.4,14.2,4.8
10007851,25,,Overall,9,22,47,19,3
10007143,25,,Environment,87.5,12.5,0,0,0
10007143,25,,Impact,100,0,0,0,0
10007143,25,,Outputs,26,44.8,27.1,2.1,0
10007143,25,,Overall,50,31,18,1,0
10007789,25,,Environment,0,87.5,12.5,0,0
10007789,25,,Impact,0,80,10,10,0
10007789,25,,Outputs,22,52,22,0,4
10007789,25,,Overall,14,63,18,2,3
10007144,25,,Environment,0,25,75,0,0
10007144,25,,Impact,10,50,40,0,0
10007144,25,,Outputs,12.1,51.5,18.2,18.2,0
10007144,25,,Overall,10,47,31,12,0
10007823,25,,Environment,0,0,75,25,0
10007823,25,,Impact,40,20,40,0,0
10007823,25,,Outputs,2.1,35.4,31.2,31.3,0
10007823,25,,Overall,9,27,40,24,0
10007792,25,,Environment,87.5,12.5,0,0,0
10007792,25,,Impact,30,60,10,0,0
10007792,25,,Outputs,37.6,40.6,21.8,0,0
10007792,25,,Overall,44,40,16,0,0
10002718,25,,Environment,0,62.5,37.5,0,0
10002718,25,,Impact,0,50,50,0,0
10002718,25,,Outputs,23.1,41,30.8,5.1,0
10002718,25,,Overall,15,46,36,3,0
10007146,25,,Environment,0,0,50,50,0
10007146,25,,Impact,0,0,10,50,40
10007146,25,,Outputs,4.9,17.1,60.9,14.7,2.4
10007146,25,,Overall,3,11,49,27,10
10007148,25,,Environment,0,75,25,0,0
10007148,25,,Impact,40,0,50,10,0
10007148,25,,Outputs,8.3,45.9,39.5,6.3,0
10007148,25,,Overall,13,41,40,6,0
10007149,25,,Environment,0,0,75,25,0
10007149,25,,Impact,0,20,60,20,0
10007149,25,,Outputs,15.1,32.1,43.4,7.5,1.9
10007149,25,,Overall,10,25,51,13,1
10003645,25,,Environment,87.5,12.5,0,0,0
10003645,25,,Impact,92,8,0,0,0
10003645,25,,Outputs,34.1,49.2,14.4,2.3,0
10003645,25,,Overall,54,35,10,1,0
10007768,25,,Environment,37.5,62.5,0,0,0
10007768,25,,Impact,20,50,30,0,0
10007768,25,,Outputs,24.4,51.2,22,2.4,0
10007768,25,,Overall,25,53,20,2,0
10007795,25,,Environment,0,87.5,12.5,0,0
10007795,25,,Impact,60,30,10,0,0
10007795,25,,Outputs,17.4,49.5,30.6,2.5,0
10007795,25,,Overall,23,52,23,2,0
10003861,25,,Environment,0,0,75,25,0
10003861,25,,Impact,0,70,30,0,0
10003861,25,,Outputs,6,18,52,22,2
10003861,25,,Overall,4,26,51,18,1
10007796,25,,Environment,0,75,25,0,0
10007796,25,,Impact,0,66.7,33.3,0,0
10007796,25,,Outputs,18.3,37.6,34.4,9.7,0
10007796,25,,Overall,12,49,33,6,0
10007151,25,,Environment,0,25,75,0,0
10007151,25,,Impact,20,20,10,50,0
10007151,25,,Outputs,12.5,33.3,41.7,12.5,0
10007151,25,,Overall,12,30,40,18,0
10003956,25,,Environment,0,37.5,62.5,0,0
10003956,25,,Impact,40,0,30,30,0
10003956,25,,Outputs,11.4,48.6,28.6,11.4,0
10003956,25,,Overall,15,38,34,13,0
10003957,25,,Environment,0,50,50,0,0
10003957,25,,Impact,0,40,60,0,0
10003957,25,,Outputs,16,54,26,0,4
10003957,25,,Overall,10,51,36,0,3
10007784,25,A,Environment,100,0,0,0,0
10007784,25,A,Impact,73.9,22.6,3.5,0,0
10007784,25,A,Outputs,28.1,39.8,26,5,1.1
10007784,25,A,Overall,48,30,18,3,1
10007784,25,B,Environment,0,50,50,0,0
10007784,25,B,Impact,40,40,20,0,0
10007784,25,B,Outputs,13.8,27.6,44.8,6.9,6.9
10007784,25,B,Overall,17,33,41,5,4
10004048,25,,Environment,0,37.5,62.5,0,0
10004048,25,,Impact,40,60,0,0,0
10004048,25,,Outputs,10.5,31.6,52.6,5.3,0
10004048,25,,Overall,15,38,44,3,0
10004113,25,,Environment,50,50,0,0,0
10004113,25,,Impact,30,70,0,0,0
10004113,25,,Outputs,22.9,54.2,22.9,0,0
10004113,25,,Overall,28,57,15,0,0
10007798,25,,Environment,50,50,0,0,0
10007798,25,,Impact,40,60,0,0,0
10007798,25,,Outputs,31.3,35.1,28.3,5.3,0
10007798,25,,Overall,36,42,19,3,0
10004180,25,,Environment,12.5,62.5,25,0,0
10004180,25,,Impact,36.7,63.3,0,0,0
10004180,25,,Outputs,20.5,35.2,40.9,3.4,0
10004180,25,,Overall,23,44,31,2,0
10007799,25,,Environment,12.5,87.5,0,0,0
10007799,25,,Impact,26.7,73.3,0,0,0
10007799,25,,Outputs,21.7,33.4,39.1,5.8,0
10007799,25,,Overall,21,50,25,4,0
10007832,25,,Environment,0,12.5,75,12.5,0
10007832,25,,Impact,0,0,90,10,0
10007832,25,,Outputs,16.7,36.6,36.7,10,0
10007832,25,,Overall,11,26,53,10,0
10007138,25,,Environment,0,25,62.5,12.5,0
10007138,25,,Impact,0,80,20,0,0
10007138,25,,Outputs,3.8,7.5,43.4,45.3,0
10007138,25,,Overall,2,25,42,31,0
10007154,25,,Environment,100,0,0,0,0
10007154,25,,Impact,100,0,0,0,0
10007154,25,,Outputs,31.2,44.1,22.5,1.1,1.1
10007154,25,,Overall,55,29,15,0,1
10004797,25,,Environment,0,0,87.5,12.5,0
10004797,25,,Impact,0,0,33.3,66.7,0
10004797,25,,Outputs,9.9,22.5,39.4,18.3,9.9
10004797,25,,Overall,6,15,45,28,6
10007773,25,,Environment,100,0,0,0,0
10007773,25,,Impact,60,20,20,0,0
10007773,25,,Outputs,16.8,41.6,33.2,8.4,0
10007773,25,,Overall,38,31,26,5,0
10007774,25,,Environment,100,0,0,0,0
10007774,25,,Impact,84,16,0,0,0
10007774,25,,Outputs,50.6,36.4,12.4,0.6,0
10007774,25,,Overall,65,27,8,0,0
10004930,25,,Environment,0,25,62.5,12.5,0
10004930,25,,Impact,0,0,60,40,0
10004930,25,,Outputs,16.3,34.9,37.2,9.3,2.3
10004930,25,,Overall,11,26,46,16,1
10007801,25,,Environment,0,62.5,37.5,0,0
10007801,25,,Impact,0,63.3,36.7,0,0
10007801,25,,Outputs,13.4,35.4,34.1,17.1,0
10007801,25,,Overall,9,45,35,11,0
10007802,25,,Environment,12.5,62.5,25,0,0
10007802,25,,Impact,53.3,10,36.7,0,0
10007802,25,,Outputs,24.6,55.7,18.1,1.6,0
10007802,25,,Overall,29,47,23,1,0
