,A*,A,B,C,Av. Rank,Four Str
10007760,15,6,0,0,3.5454545454545454,37.5
10006840,24,7,0,0,3.65625,37.0
10007786,16,9,7,0,3.28125,21.1
10007788,30,27,26,9,2.817204301075269,28.7
10007143,13,18,6,4,2.975609756097561,12.9
10007789,6,2,2,0,3.4,17.4
10007791,6,5,1,2,3.0714285714285716,28.6
10007147,6,7,3,0,3.1875,18.4
10007149,7,5,4,3,2.8421052631578947,3.3
10007767,2,7,0,1,3.0,0.0
10007150,9,8,2,1,3.25,13.3
10003645,21,19,4,0,3.3863636363636362,34.4
10003678,2,0,3,1,2.5,25.0
10007795,41,6,6,2,3.5636363636363635,29.3
10006842,4,12,4,0,3.0,26.7
10007784,20,15,5,1,3.1627906976744184,34.1
10004063,35,15,4,0,3.574074074074074,26.7
10007798,22,8,2,1,3.5454545454545454,16.0
10004180,2,7,4,4,2.411764705882353,6.7
10007154,19,12,2,1,3.4411764705882355,13.7
10007773,4,7,3,0,3.0714285714285716,6.7
10007774,58,34,14,6,3.2280701754385963,40.9
10004930,2,4,4,1,2.6363636363636362,14.3
10007802,9,8,1,1,3.3157894736842106,23.5
10007843,1,0,2,1,2.25,0.0
10007157,17,15,3,0,3.4,34.7
10007158,16,5,1,0,3.6818181818181817,25.7
10007806,13,5,1,0,3.45,33.3
10007163,24,14,0,0,3.6315789473684212,37.8
10007164,1,4,0,2,2.5714285714285716,5.0
10007167,19,19,0,1,3.35,17.2
10007783,21,14,2,1,3.275,36.8
10007852,3,1,2,0,3.1666666666666665,21.4
10007790,39,4,6,0,3.673469387755102,28.9
10007794,14,6,2,0,3.5454545454545454,12.5
10007803,35,12,1,0,3.4901960784313726,27.3
10007804,5,11,3,2,2.772727272727273,14.3
10007814,11,5,0,5,3.0476190476190474,9.7
10005343,6,7,0,1,3.2857142857142856,17.6
