UKPRN,UnitOfAssessment,MultipleSubmission,Source,Income2008,Income2009,Income2010,Income2011,Income2012
10007760,32,,2,12618,0,0,0,0
10007760,32,,4,16431,33930,0,0,0
10007760,32,,6,48,41171,161242,192404,49592
10007760,32,,9,0,0,0,4063,0
10007760,32,,13,0,0,24741,0,45504
10006840,32,,1,116343,20342,13527,2469,43545
10006840,32,,2,34799,41144,7000,15645,9322
10006840,32,,4,21787,18403,6923,1,0
10006840,32,,6,60572,135362,157728,202703,36513
10006840,32,,9,0,0,0,263,1577
10006840,32,,12,0,5541,10271,6444,25190
10006840,32,,13,2466,8441,1203,0,0
10007786,32,,1,634652,474480,325125,215955,50436
10007786,32,,2,0,36591,26253,17209,0
10007786,32,,6,75995,17581,0,24479,209843
10007786,32,,10,0,0,687,4993,8262
10007788,32,A,1,3022,45952,0,22343,48418
10007788,32,A,2,43016,93461,67842,26913,59584
10007788,32,A,3,0,12744,24465,9487,38142
10007788,32,A,5,23000,0,23000,23000,0
10007788,32,A,6,976,72539,61119,6428,5523
10007788,32,B,1,259775,432834,684490,687793,503831
10007788,32,B,2,307971,327238,494989,562160,451583
10007788,32,B,3,69864,92307,78868,52969,59966
10007788,32,B,4,-2355,13804,19561,128,0
10007788,32,B,6,24346,0,10511,94457,371032
10007788,32,B,10,0,10967,88468,138249,149270
10007788,32,B,12,5204,0,0,0,2862
10007788,32,B,13,-235,-3050,11445,0,1431
10007143,32,,1,79901,175628,222087,219192,40443
10007143,32,,2,89439,124330,74392,88531,32873
10007143,32,,3,0,0,23215,0,0
10007143,32,,6,0,0,171246,192947,131067
10007789,32,,1,0,0,0,38396,0
10007789,32,,2,12065,200,800,602,5261
10007789,32,,3,935,0,425,855,2122
10007789,32,,12,0,0,0,0,395
10007791,32,,1,22035,30147,210333,252410,204450
10007791,32,,9,0,12477,1364,0,0
10007147,32,,1,21870,219091,201499,174826,131024
10007147,32,,2,4277,531,0,0,1000
10007147,32,,4,3558,1373,1019,665,0
10007147,32,,5,28435,0,0,0,0
