,2* + 1* Output (%),4* Output (%),Income per Submission (millions)
0,27.0,32.0,0.012377531914893618
1,17.0,49.0,0.018620814814814816
2,18.0,31.0,0.03723756140350877
3,19.0,41.0,0.03533530000000001
4,30.0,20.0,0.02378987142857143
5,33.0,21.0,0.002698086956521739
6,15.0,34.0,0.026186285714285714
7,34.0,19.0,0.03798092105263159
8,65.0,2.0,0.0006661666666666667
9,43.0,16.0,0.0081263125
10,43.0,18.0,0.010628244444444445
11,20.0,44.0,0.022763708333333337
12,37.0,24.0,0.005101
13,21.0,34.0,0.01632494565217391
14,38.0,17.0,0.0026313000000000005
15,25.0,46.0,0.010951219512195121
16,17.0,38.0,0.031047950000000005
17,24.0,20.0,0.0099241
18,61.0,4.0,0.0005627666666666668
19,31.0,11.0,0.011607843137254902
20,63.0,6.0,0.0013999999999999998
21,18.0,51.0,0.03399536842105263
22,70.0,9.0,8.75e-05
23,42.0,17.0,0.0025753529411764705
24,86.0,4.0,0.0150052
25,15.0,33.0,0.014702374999999998
26,31.0,17.0,0.0076217428571428575
27,23.0,25.0,0.006094636363636364
28,9.0,34.0,0.013818202702702701
29,57.0,11.0,0.00266315
30,36.0,14.0,0.001433671875
31,38.0,31.0,0.013447192982456136
32,45.0,14.0,0.0051669285714285714
33,16.0,37.0,0.01410353947368421
34,49.0,8.0,0.00960505
35,17.0,39.0,0.025478868686868685
36,38.0,13.0,0.014468142857142856
37,31.0,20.0,0.008853548387096776
38,25.0,23.0,0.009657764705882354
