UKPRN,UnitOfAssessment,MultipleSubmission,Identifier,OutputType,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsNonEnglishOutput,IsInterdisciplinary,ProposeDoubleWeighting,IsReserveOutput,DoubleWeightingStatement,EnglishAbstract,ResearchGroup,CitedByCount,CrossReferToUoa,CitationsApplicable,AdditionalInformation
10007760,32,,493087,D,Counterfactuals,,Wiley,Proceedings of the Aristotelian Society,108,1,1,,,0066-7374,10.1111/j.1467-9264.2008.00233.x,,2008,http://eprints.bbk.ac.uk/2695/,0,False,,False,False,,,,,,False,
10007760,32,,493088,C,"Conditionals, truth, and assertion",,Oxford University Press,"Minds, Ethics, and Conditionals",,,283,,9780199267989,,10.1093/acprof:oso/9780199267989.003.0013,,2009,http://eprints.bbk.ac.uk/2928/,0,False,,False,False,,,,,,False,
10007760,32,,493089,D,Possible knowledge of unknown truth,,Springer,Synthese,173,1,41,,,0039-7857,10.1007/s11229-009-9675-9,,2010,http://eprints.bbk.ac.uk/2696/,0,False,,False,False,,,,,,False,
10007760,32,,493091,C,Knowledge of meaning and epistemic interdependence,,De Gruyter,Prospects for Meaning,,3,383,,9783110196238,,10.1515/9783110216882.383,,2012,http://eprints.bbk.ac.uk/1658/,0,False,,False,False,,,,,,False,
10007760,32,,493092,C,Ryle’s Knowing how and knowing how to act,,Oxford University Press,"Knowing How: Essays on Knowledge, Mind, and Action",,,80,,9780195389364,,10.1093/acprof:oso/9780195389364.003.0003,,2011,http://eprints.bbk.ac.uk/3167/,0,False,,False,False,,,,,,False,
10007760,32,,493093,C,Actions in their circumstances,,Harvard University Press,Essays on Anscombe's Intention,,,,,9780674051027,,,,2011,http://eprints.bbk.ac.uk/3165/,0,False,,False,False,,,,,,False,Hornsby is co-editor of the volume in which this output appears.
10007760,32,,493094,C,Concept and content,,Ashgate,"Reason, Faith and History: Philosophical Essays for Paul Helm",,,205,,9780754609261,,,,2008,http://eprints.bbk.ac.uk/7185/,0,False,,False,False,,,,,,False,
10007760,32,,493095,D,Replies to comments,,Wiley Blackwell,Dialectica,65,1,125,,,0012-2017,10.1111/j.1746-8361.2010.01250.x,,2011,http://eprints.bbk.ac.uk/3646/,0,False,,False,False,,,,,,False,
10007760,32,,493096,D,A correspondence theory of exemplification,,Springer,Axiomathes,23,2,365,,,1122-1151,10.1007/s10516-012-9193-0,,2013,http://eprints.bbk.ac.uk/7186/,0,False,,False,False,,,,,,False,
10007760,32,,493097,D,Sets and Plural Comprehension,,,Journal of Philosophical Logic,N/A,,N/A,N/A,,1573-0433,10.1007/s10992-013-9278-2,,2013,http://eprints.bbk.ac.uk/7187/,0,False,,False,False,,,,,,False,
10007760,32,,493098,D,Hierarchies Ontological and Ideological,,,Mind,121,482,269,,,1460-2113,10.1093/mind/fzs050,,2012,http://eprints.bbk.ac.uk/3174/,1,False,,False,False,,,,,,False,
10007760,32,,493099,D,Pluralities and sets,,Journal of Philosophy,Journal of Philosophy,107,3,144,,,0022-362X,,,2010,http://eprints.bbk.ac.uk/3177/,0,False,,False,False,,,,,,False,
10007760,32,,493100,D,Structuralism and the notion of dependence,,Wiley,The Philosophical Quarterly,58,230,59,,,0031-8094,10.1111/j.1467-9213.2007.529.x,,2008,http://eprints.bbk.ac.uk/3175/,0,False,,False,False,,,,,,False,
10007760,32,,493101,D,The potential hierarchy of sets,,Cambridge Journals,The Review of Symbolic Logic,6,2,205,,,1755-0203,10.1017/S1755020313000014,,2013,http://eprints.bbk.ac.uk/7048/,0,False,,False,False,,,,,,False,
10007760,32,,493102,D,Verisimilitude: a causal approach,,Springer,Synthese,190,9,1471,,,0039-7857,10.1007/s11229-011-9895-7,,2013,http://eprints.bbk.ac.uk/4994/,0,False,,False,False,,,,,,False,
10007760,32,,493103,D,Degree of explanation,,,Synthese,N/A,,N/A,N/A,,0039-7857,10.1007/s11229-012-0124-9,,2012,http://eprints.bbk.ac.uk/4995/,0,False,,False,False,,,,,,False,
10007760,32,,493104,D,Causation and contrast classes,,Springer,Philosophical Studies,139,1,111,,,0031-8116,10.1007/s11098-007-9105-0,,2008,http://eprints.bbk.ac.uk/7047/,0,False,,False,False,,,,,,False,
10007760,32,,493105,D,Natural-born determinists: a new defense of causation as probability-raising,,Springer,Philosophical Studies,150,1,1,,,0031-8116,10.1007/s11098-009-9392-8,,2010,http://eprints.bbk.ac.uk/7046/,0,False,,False,False,,,,,,False,
10007760,32,,493106,A,Contextuality in practical reason,,Oxford University Press,,,,,,9780199534791,,,,2008,http://eprints.bbk.ac.uk/1374/,0,False,,True,False,"Contextuality in Practical Reason (OUP 2008, 208 pp.) treats of four topics related by the feature of contextuality: the nature of inference for the sake of action, and whether it has a special logic; the interpretation of practical uses of modals such as ‘ought’ and ‘must’; reasoning with conditionals, with attention to differences of scope and the question of detachment (with much discussion of John Broome); reasons for action, and their relation to desires (with discussion of Bernard Williams), and to contexts (with discussion of Jonathan Dancy).",,,,,False,
10007760,32,,493107,A,Virtue and reason in Plato and Aristotle,,Oxford University Press,,,,,,9780199609611,,,,2011,http://eprints.bbk.ac.uk/7045/,0,False,,True,False,"Virtue and Reason in Plato and Aristotle (OUP 2011, 356 pp.) is a comprehensive study of their moral psychology.  As a reviewer said ‘The four parts cover eudaimonia in Plato and Aristotle, virtue in Plato and Aristotle, practical reasoning in Plato and Aristotle, and akrasia in Plato and Aristotle. So the book is not lying in its title.’  The second half of the book itself draws on seven earlier pieces, of which five have been published since 2008.  The books attends closely to six dialogues of Plato, both Aristotelian Ethics, and other relevant Aristotelian writings.",,,,,False,
10007760,32,,499855,D,"Assertion, telling, and epistemic norms",,,Australasian Journal of Philosophy,N/A,,N/A,N/A,,0004-8402,10.1080/00048402.2013.798340,,2013,http://eprints.bbk.ac.uk/7258/,0,False,,False,False,,,,,,False,
10007760,32,,499857,D,"Exactness, inexactness, and the non-transitivity of perceptual indiscriminability",,Springer,Synthese,164,2,289,,,0039-7857,10.1007/s11229-007-9227-0,,2008,http://eprints.bbk.ac.uk/7257/,0,False,,False,False,,,,,,False,
10007760,32,,587963,D,"I-Descartes on nature, habit and the corporeal world",,Wiley,Aristotelian Society Supplementary Volume,87,1,235,,,0309-7013,10.1111/j.1467-8349.2013.00228.x,,2013,http://eprints.bbk.ac.uk/7235/,0,False,,False,False,,,,,,False,
10007760,32,,587964,D,Doubt and human nature in Descartes's Meditations,,Taylor & Francis,Royal Institute of Philosophy Supplement,70,,189,,,1358-2461,10.1017/S1358246112000100,,2012,http://eprints.bbk.ac.uk/7334/,0,False,,False,False,,,,,,False,
10007760,32,,587965,D,Characterizing hallucination epistemically,,Taylor & Francis,Synthese,178,3,437,,,0039-7857,10.1007/s11229-009-9651-4,,2011,http://eprints.bbk.ac.uk/7256/,0,False,,False,False,,,,,,False,
10007760,32,,1528349,A,"Spinoza on Philosophy, Religion and Politics: The Theologico-Political Treatise",,Oxford University Press,,,,,,9780199698127,,,,2012,,0,False,,True,False,"Spinoza on Philosophy, Religion and Politics (OUP 2012, 360pp.) offers an unusually comprehensive interpretation of Spinoza’s Tractatus Theologico-Politicus.  It offers a distinctive interpretation of the role of the TT-P in Spinoza’s work, providing what one reviewer describes as a ‘definitive refutation’ of the standard view that Spinoza’s political writings were marginal to his philosophical project. James’ interpretation draws on a large body of primary and secondary sources. She uses them to provide both a complex picture of the intellectual and historical circumstances in which Spinoza was writing, and of his aspirations in writing the TT-P.",,,,,False,
10007760,32,,1528507,D,Creating Rational Understanding: Spinoza as a Social Epistemologist,,,Aristotelian Society Supplementary Volume,85,1,181,,,0309-7013,10.1111/j.1467-8349.2011.00202.x,,2011,,0,False,,False,False,,,,,,False,
10007760,32,,1528509,C,Narrative as the Means to Freedom,,Cambridge University Press,Spinoza's 'Theological-Political Treatise',,,,,9781107636927,,,,2010,,0,False,,False,False,,,,,,False,
10007760,32,,1528518,C,Causation First: Why Causation is Prior to Counterfactuals,,Oxford University Press,"Understanding Counterfactuals, Understanding Causation",,,,,9780199590698,,10.1093/acprof:oso/9780199590698.003.0012,,2011,,0,False,,False,False,,,,,,False,
10007760,32,,1528521,D,Values of Art and the Ethical Question,,,The British Journal of Aesthetics,48,4,376,,,1468-2842,10.1093/aesthj/ayn045,,2008,,0,False,,False,False,,,,,,False,
10007760,32,,1528523,C,"Reproduction, Partiality, and the Non-identity Problem",,Springer Verlag,Harming Future Persons,,,,,978-1-4020-5697-0,,10.1007/978-1-4020-5697-0_11,,2009,,0,False,,False,False,,,,,,False,
10007760,32,,1528527,D,Methods of ethics and the descent of man: Darwin and Sidgwick on ethics and evolution,,,Biology & Philosophy,25,3,361,,,1572-8404,10.1007/s10539-010-9204-8,,2010,,0,False,,False,False,,,,,,False,
10007760,32,,1528529,D,The Epistemology of Ethical Intuitions,,,Philosophy,86,02,175,,,1469-817X,10.1017/S0031819111000027,,2011,,0,False,,False,False,,,,,,False,
10007760,32,,1549361,C,Stoic Ontology and Plato's Sophist,,Institute of Classical Studies,Aristotle and the Stoics Reading Plato,,,,,978-1905670277 ,,,,2010,,0,False,,False,False,,,,,,False,
10007760,32,,1550710,D,Is God a Mindless Vegetable? Cudworth on Stoic Theology,,,Intellectual History Review,21,2,121,,,1749-6985,10.1080/17496977.2011.574339,,2011,,0,False,,False,False,,,,,,False,
10007760,32,,1551997,D,Stoics Against Stoics In Cudworth'sA Treatise of Freewill,,,British Journal for the History of Philosophy,20,5,935,,,1469-3526,10.1080/09608788.2012.718870,,2012,,0,False,,False,False,,,,,,False,
10007760,32,,1762946,C,Life's Perspectives,,Oxford University Press,The Oxford Handbook of Nietzsche,,,,,9780199534647 ,,,,2013,,0,False,,False,False,,,,,,False,"Gemes is co-editor of the volume in which this output appears, and co-author of the volume's introduction"
10007760,32,,1764146,C,Life-Denial versus Life-Affirmation,,Blackwell Press,A Companion to Schopenhauer,,,,,9781405171038,,,,2012,,1,False,,False,False,,,,,,False,
10007760,32,,1764154,D,Freud and Nietzsche on Sublimation,,,Journal of Nietzsche Studies,38,,38,,,09688005,10.1353/nie.0.0048,,2009,http://www.jstor.org/stable/20717974,0,False,,False,False,,,,,,False,
10007760,32,,1841522,C,Fictional Branching Time?,,Springer,Around the Tree: Semantic and Metaphysical Issues Concerning Branching and the Open Future,,,,,9789400751668,,,,2013,,1,False,,False,False,,,,,,False,"Synthese Library Volume 361, pp 81-94"
10007760,32,,1849382,C,Seneca’s Philosophical Predecessors and Contemporaries,,Brill,Brill’s Companion to Seneca,,,,,9789004154612,,,,2013,http://www.brill.com/brills-companion-seneca,0,False,,False,False,,,,,,False,
10007760,32,,1891861,D,"A vindication of a refutation of global scepticism, a refutation of global perceptual scepticism and a refutation of global existential scepticism",,,Analysis,70,1,63,,,1467-8284,10.1093/analys/anp129,,2009,,0,False,,False,False,,,,,,False,
10007760,32,,1896652,D,IX-Against Requirements of Rationality,,,Proceedings of the Aristotelian Society (Hardback),108,1part2,157,,,00667374,10.1111/j.1467-9264.2008.00241.x,,2008,,0,False,,False,True,,,,,,False,
10007760,32,,1947401,C,"Freedom, Slavery and the Passions",,Cambridge University Press,The Cambridge Companion to Spinoza’s ‘Ethics’ ,,,,,9780521618601,,,,2009,,0,False,,False,True,,,,,,False,
10007760,32,,2041449,D,Basic Activity,,,Aristotelian Society Supplementary Volume,87,1,1,,,03097013,10.1111/j.1467-8349.2013.00217.x,,2013,,0,False,,False,False,,,,,,False,
10007760,32,,2360847,C,Stable Harmony,,The Institute of Philosophy,The Logica Yearbook 2007,,,,,9788070072813,,,,2008,,0,False,,False,False,,,,,,False,
10007760,32,,2360864,D,"Proof-Theoretic Semantics, a Problem with Negation and Prospects for Modality",,,Journal of Philosophical Logic,42,n/a,n/a,n/a,,0022-3611,10.1007/s10992-013-9310-6,,2013,http://dx.doi.org/10.1007/s10992-013-9310-6,0,False,,False,False,,,,,,False,
10006840,32,,3221925,C,Double bookkeeping in delusions: explaining the gap between saying and doing,,Palgrave Macmillan,New Waves in the Philosophy of Action,,,,,0230230601,,,,2010,,3,False,,False,True,,,,,,False,
10006840,32,,3221926,D,The Knowledge Argument and Epiphenomenalism,,,Erkenntnis,72,1,37,,,0165-0106,10.1007/s10670-009-9192-8,,2010,,0,False,,False,True,,,,,,False,
10006840,32,,3221927,D,"Localized past, globalized future: towards an effective bioethical framework using examples from population genetics and medical tourism.",,,Bioethics,25,2,83,,,0269-9702,10.1111/j.1467-8519.2010.01868.x,,2011,,0,False,,False,True,,,,,,False,
10006840,32,,3221928,D,Pluralism In Logic,,,The Review of Symbolic Logic,2,02,342,,,1755-0203,10.1017/S1755020309090182,,2009,,0,False,,False,True,,,,,,False,
10006840,32,,3221929,D,The Epistemic Impact of the Etiology of Experience,,,Philosophical Studies,162,3,697,,,0031-8116,10.1007/s11098-012-0059-5,,2013,,0,False,,False,True,,,,,,False,
10006840,32,,3221930,D,"Agency, life extension, and the meaning of life",,,The Monist,93,1,38,,,0026-9662,10.5840/monist20109313,,2010,,0,False,,False,False,,,,,,False,
10006840,32,,3221931,D,Undermining Motivations for Universalism,,,Noûs,45,4,696,,,0029-4624,10.1111/j.1468-0068.2010.00779.x,,2011,,0,False,,False,False,,,,,,False,
