,A*,A,B,C,Av. Rank
10000291,0,5,5,3,2.1538461538461537
10000571,5,6,2,1,2.8666666666666667
10007152,2,2,7,3,1.9375
10007140,1,6,3,1,2.4166666666666665
10006841,0,1,7,4,1.5
10000824,3,14,15,5,2.4054054054054053
10000886,1,7,8,3,2.3157894736842106
10000961,1,9,9,3,2.260869565217391
10001143,0,2,3,1,1.8571428571428572
10007141,3,2,8,2,2.4
10001478,10,24,9,6,2.6153846153846154
10001883,1,7,3,0,2.3846153846153846
10007851,1,14,4,4,2.5217391304347827
10007789,1,11,10,0,2.590909090909091
10007144,0,10,6,4,2.0
10007823,2,3,2,0,2.1
10002718,5,21,10,1,2.5365853658536586
10003645,4,20,24,4,2.3703703703703702
10007795,5,20,13,5,2.522727272727273
10003861,9,13,20,3,2.5652173913043477
10003863,0,1,2,0,2.3333333333333335
10007796,4,19,13,3,2.4878048780487805
10007151,0,3,3,4,1.9
10006842,2,7,2,2,2.3333333333333335
10003957,1,10,8,3,2.3043478260869565
10007784,7,10,13,7,2.4594594594594597
10004063,7,16,3,3,2.9310344827586206
10004048,0,2,3,2,2.0
10004078,0,1,3,1,1.25
10004113,13,54,56,24,2.380952380952381
10004351,2,7,7,3,2.4210526315789473
10007799,2,14,10,1,2.6296296296296298
10001282,7,20,13,8,2.489795918367347
10007154,1,16,5,1,2.739130434782609
10004797,1,8,8,5,2.227272727272727
10004930,1,3,0,0,3.25
10007155,0,3,3,3,1.6363636363636365
10007776,2,4,4,3,2.3846153846153846
10005553,1,2,4,1,2.375
10007843,0,1,9,1,1.8333333333333333
10007156,6,12,8,4,2.6666666666666665
10007157,12,30,19,0,2.8852459016393444
10005790,3,14,14,7,2.3421052631578947
10006022,0,3,0,0,3.0
10006299,1,10,13,4,2.2857142857142856
10007159,2,4,5,3,2.2
10007806,4,18,8,5,2.4594594594594597
10007164,1,6,4,0,2.727272727272727
10006566,0,2,2,0,2.0
10007165,6,12,5,1,2.9583333333333335
10003614,2,5,5,1,2.6153846153846154
10007166,22,4,1,0,3.7777777777777777
10007713,0,2,1,3,1.8333333333333333
10007772,2,7,4,1,2.7142857142857144
10007794,5,13,16,1,2.6285714285714286
10007762,1,6,8,4,2.210526315789474
10005337,1,2,10,3,1.9411764705882353
10005500,2,9,6,16,1.9090909090909092
10007804,1,8,6,4,2.3157894736842106
10007800,0,6,4,2,2.3333333333333335
10007856,0,6,1,2,2.4444444444444446
10007814,3,14,5,1,2.7083333333333335
10007833,0,1,2,2,1.8
10007807,0,5,7,1,1.875
