UKPRN,UnitOfAssessment,MultipleSubmission,Identifier,OutputType,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsNonEnglishOutput,IsInterdisciplinary,ProposeDoubleWeighting,IsReserveOutput,DoubleWeightingStatement,EnglishAbstract,ResearchGroup,CitedByCount,CrossReferToUoa,CitationsApplicable,AdditionalInformation
10000291,36,,346956,D,"Policing the Irish: Whiteness, 'race' and British cultural studies",,,European Journal of Cultural Studies,16,2,135,,,1460-3551,10.1177/1367549412467179,,2013,,,False,,False,False,,,,,,False,
10000291,36,,1122747,A,"'Irish Blood, English Heart': Second-Generation Irish Musicians in England",,Cork University Press,,,,,,9781859184615,,,,2011,,,False,,True,False,"Research included a detailed address to the critical reception, and self-presentation, of musicians in the 1970s-80s, necessitating collation and analysis of a considerable body of material from the UK and Irish music press, as well as audio-visual and broadcast sources. The 65 pages of Notes/References, and 24 page Bibliography, provide evidence of this.  

The book drew on lengthy interviews that the author conducted with key musicians, such as Kevin Rowland, Johnny Marr, Shane MacGowan and Cait O'Riordan. Arranging and conducting these interviews was complex and time-consuming. 

The research involved: 

i. Collection and analysis of a considerable body of material
ii. Use of primary sources which were especially difficult to access",,,,,False,The book was named 'Music Book of the Year' in the Sunday Times (Ireland) and in Hot Press magazine. It led to Campbell being appointed Series Adviser on a TV documentary series  (Guth: Musical Sons of the Irish Diaspora) broadcast on TG4 in 2013. The book was also selected by the Irish Ambassador for a special launch at the Irish Embassy in London in June 2012. 
10000291,36,,1122753,C,From Shellshock Rock to Ceasefire Sounds: Popular Music,,Manchester University Press,Northern Ireland After the Troubles: A Society in Transition,,,,,9780719074417,,,,2008,,1,False,,False,True,,,,,,False,"Campbell and Smyth jointly co-wrote the chapter, making an equal contribution. "
10000291,36,,1122768,A,"@ is for Activism: Dissent, Resistance and Rebellion in a Digital Culture ",,Pluto,,,,,,9780745327006,,,,2011,,,False,,True,False,"This book gathers a full spectrum of thought on the philosophy of technology and the political philosophy of resistance. These are articulated with a complex reading of modern digital networks and computing, requiring the mastery of very distinct theories and bodies of work, alongside an analysis of extensive recent global social and political movements. The concept of the ‘quasi-autonomous recognition network’ is developed; this is ‘particularly extensive’ and ‘complex’, articulating interdisciplinary frameworks into a single original concept. There are seven distinct chapters all offering new elements, contributing to this theory, and exploring its implications. ",,,,,False,
10000291,36,,1122774,D,Platform Communism,,,Culture Machine ,14,,1,,,1465-4121,,,2013,http://www.culturemachine.net/index.php/cm/issue/current,,False,,False,False,,,,,,False,"This article was part of a special issue co-edited by Hands, for which he also wrote the Introduction. "
10000291,36,,1122782,D,"Does Twitter Think: Strange Loops, Collective Action and Social Media
",,,International Public Policy Review Journal,7,1,1,,,1748-5207,,,2012,https://www.ucl.ac.uk/ippr/journal/downloads/vol7no1/Does_Twitter_Think__Article_1__edited__U_.pdf,,False,,False,False,,,,,,False,
10000291,36,,1122789,B,The New Extremism in Cinema: From France to Europe,,Edinburgh University Press,,,,,,9780748641604,,10.3366/edinburgh/9780748641604.001.0001,,2011,,1,False,,False,False,,,,,,False,"Horeck and Kendall jointly co-edited the book and co-wrote the introduction, making an equal contribution. Horeck contributed a single-authored chapter, 'A ""Passion for the Real"": Sex, Affect and Performance in the films of Andrea Arnold' (pp. 169-179). "
10000291,36,,1122794,B,Rape in Stieg Larsson’s Millennium Trilogy and Beyond: Contemporary Scandinavian and Anglophone Crime Fiction,,Palgrave,,,,,,9780230308404,,,,2013,,2,False,,False,False,,,,,,False,"Horeck co-edited the book, co-wrote the introduction, and contributed a single-authored chapter. "
10000291,36,,1122798,C,Shame and the Sisters: Catherine Breillat's A Ma Soeur! (Fat Girl),,Continuum,Rape in Art Cinema ,,,,,9780826429674,,,,2010,,,False,,False,False,,,,,,False,
10000291,36,,1122807,D,Lost Girls: The Fiction of Joyce Carol Oates,,,Contemporary Women's Writing,4,1,24,,,1754-1476,10.1093/cww/vpp002,,2010,,,False,,False,False,,,,,,False,
10000291,36,,1122811,B,The New Extremism in Cinema: From France to Europe,,Edinburgh University Press,,,,,,9780748641604,,10.3366/edinburgh/9780748641604.001.0001,,2011,,1,False,,False,False,,,,,,False,"Kendall and Horeck jointly co-edited the book and co-wrote the introduction, making an equal contribution. Kendall contributed a single-authored chapter, 'Reframing Bataille: On Tacky Spectatorship in the New European Extremism' (pp. 43-54). "
10000291,36,,1122817,D,'The in-between of things’: intermediality in Ratcatcher,,,New Review of Film and Television Studies,8,2,179,,,1740-7923,10.1080/17400301003700327,,2010,,,False,,False,False,,,,,,False,
10000291,36,,1122820,D,'No God But Cinema': Bruno Dumont's Hadewijch,,,Contemporary French and Francophone Studies,17,4,405,,,1740-9306,10.1080/17409292.2013.817081,,2013,,,False,,False,False,,,,,,False,
10000291,36,,1122821,D,Cinematic affect and the ethics of waste,,,New Cinemas: Journal of Contemporary Film,10,1,45,,,20400578,10.1386/ncin.10.1.45_1,,2012,,,False,,False,False,,,,,,False,
10000291,36,,1122822,A,"Cinesexuality 
",,Ashgate,,,,,,9780754671756,,,,2008,,,False,,False,False,,,,,,False,
10000291,36,,1122824,A,Posthuman Ethics ,,Ashgate,,,,,,9781409434542,,,,2012,,,False,,False,False,,,,,,False,
10000291,36,,1122826,D,"Becoming Vulva: Flesh, Fold, Infinity",,,New Formations,68,1,93,,,17410789,10.3898/newf.68.06.2009,,2010,,,False,,False,False,,,,,,False,
10000291,36,,1122828,B,Deleuze and the Schizoanalysis of Cinema,,Continuum,,,,,,9781847061287,,,,2008,,1,False,,False,False,,,,,,False,MacCormack co-edited the book and contributed a single-authored chapter
10000291,36,,1122836,A,"La Conquista desbaratada. Identidad y alteridad en la novela, el cine y el teatro hispánicos contemporáneos  (The Conquest upside down. Identity and Otherness in the contemporary Hispanic novel, cinema and theatre) ",,Iberoamericana,,,,,,9788484894889,,,,2010,,,True,,False,False,,"This study explores key images of the conquest of America in contemporary Hispanic novels, theatre and film. It analyses in detail to what degree and how exactly fictional work deconstructs (neo-)colonial and indigenist discourses, which continue to shape perspectives on Spanish colonialism, cultural identities of modern Hispanic nations and the relations between Spain and Latin America. Main topics are the (de-)humanization of conquerors and discoverers, the portrayal of the Other and the focus on cultural hibridity in selected work by Alejo Carpentier, Juan José Armas Marcelo, Matilde Asensi, Gioconda Belli, José Sanchis Sinisterra and Nicolas Echevarría. ",,,,False,This monograph is in Spanish. 
10000291,36,,1122844,D,Questions of Identity: Cultural Encounters in Gurinder Chadha's Bend It Like Beckham,,,Journal of Popular Film and Television,39,3,114,,,1930-6458,10.1080/01956051.2010.541954,,2011,,,False,,False,False,,,,,,False,
10000291,36,,1122848,C,Madrid: Neo-colonial spacing in contemporary Spanish cinema?,,Peter Lang,The Cultural Identities of European Cities,,,,,978-3-03911-930-1,,,,2010,,,False,,False,False,,,,,,False,
10000291,36,,1122857,C,Möglichkeiten und Grenzen der Transkulturalität in Gregory Navas 'My family' (Possibilities and limits of transculturality in Gregory Nava's 'My family') ,,Düsseldorf University Press,México 2010 Kultur in Bewegung - Mythen auf dem Prüfstand,,,,,3940671878,,,,2012,,,True,,False,False,,"My family marks the international breakthrough of popular Chicano director Gregory Nava and serves as key example for the cinematic exploration of ‘artificial’ boundaries for Mexicans in the United States. My study addresses two main questions: 1. How does Nava’s critical interrogation of traditional US-American perspectives contribute to the blurring of boundaries? and 2. Where are the limits of Nava’s approach? The study concludes that My family ultimately supports assimilation tendencies, rather than the negotiation of identities. This enhances patterns of an imagined North American monoculturality and contradicts the director’s aim to develop transcultural alternatives based on the family concept.",,,,False,This chapter is in German. 
10000291,36,,1122858,C,"The Primacy of Movement: Variation, Intermediality and Biopolitics in Tero Saarinen’s Hunt",,I.B. Tauris ,Carnal Knowledge: Towards a 'New Materialism' through the Arts,,,,,9781780762661,,,,2013,,1,False,,False,False,,,,,,False,This chapter was co-authored with Jussi Parikka (of the Winchester School of Art). 
10000291,36,,1122860,C,"Corporeal Voices, Sexual Differentiations: New Materialist Perspectives on Music, Singing and Subjectivity",,Rodopi,Sonic Interventions,,,,,9042022949,,,,2008,,,False,,False,False,,,,,,False,
10000291,36,,1122863,C,Towards Intensive Audiovisual Encounters: Interactions of Opera and Cinema,,Cambridge Scholars Publishing,"Sonic Mediations: Body, Sound, Technology",,,,,9781847188397,,,,2008,,,False,,False,False,,,,,,False,
10000291,36,,1677435,D,Revisiting the Voice in Media and as Medium: New Materialist Propositions,,,NECSUS - European Journal of Media Studies,4,,n/a,,,2213-0217,,,2013,http://www.necsus-ejms.org/revisiting-the-voice-in-media-and-as-medium-new-materialist-propositions/#_edn3 ,,False,,False,False,,,,,,False,
10000291,36,,1677442,T,"Interventions in digital media, revolution and politics (Group of entries)",,Group of entries,,,,,,,,,,2011,,,False,,False,True,,,,,,False,"This group of entries is based on public engagement and interventions in policy debates. The pieces represent a cluster of work that shows how shorter form writing can still draw on original research, and in addition engage with current events and enrich policy and debates in the public sphere. These are often beyond the scope of strictly academic formats, yet these pieces maintain a high level of research integrity in the terms of the REF, while indicating a broader remit that allows for faster responses in line with the speed of modern digital media. 

1. Hands,  J (2011) Open 2011/No.21/(Im)Mobility ‘Social Media and the Mobilization of the Masses’
http://www.skor.nl/_files/Files/OPEN21EN_P106-109.pdf 

2. Hands, J (2011) ‘Digital Activism and the Anti-Cuts Agenda’ Open Democracy, 24 March 2011 http://tinyurl.com/4us92or

3. Hands J & Quinney, J (2010) ‘Activism in a Digital Culture’ Interview with the New Left Project, 21 Dec 2010 http://www.newleftproject.org/index.php/site/article_comments/activism_in_a_digital_culture/

4. 'Push to bring digital economy together will divide it', interview with Joss Hands, Times Higher Educational Supplement, 29 November 2009."
10000291,36,,1677559,A,"Sport, Difference and Belonging: Conceptions of Human Variation in British Sport",,Routledge,,,,,,978-0-415-62655-2,,,,2013,,,False,,False,False,,,,,,False,
10000291,36,,1677561,D,"Strangers on the Inside: Irish Women Servants in England, 1881",,,Immigrants & Minorities,27,2-3,279,,,1744-0521,10.1080/02619280903128160,,2009,,,False,,False,False,,,,,,False,
10000291,36,,1677563,D,"Whiteness and Diasporic Irishness: Nation, Gender and Class",,,Journal of Ethnic and Migration Studies,37,9,1295,,,1469-9451,10.1080/1369183X.2011.623584,,2011,,,False,,False,False,,,,,,False,
10000291,36,,1677566,D,Personal lives: narrative accounts of Irish women in the diaspora,,,Irish Studies Review,21,1,37,,,1469-9303,10.1080/09670882.2012.759711,,2013,,,False,,False,False,,,,,,False,
10000291,36,,2698135,A,Anti-Porn: The Resurgence of Anti-Pornography Feminism,,Zed Books,,,,,,978-1780320267,,,,2012,,,False,,False,False,,,,,,False,
10000291,36,,3040567,D,From 'Boys' to 'Lads': Masculinity and Irish Rock Culture,,,Popular Musicology Online,n/a,2,n/a,n/a,,1357-0951,,,2013,http://www.popular-musicology-online.com/issues/02/campbell.html,,False,,False,False,,,,,,False,
10000571,36,,3099460,D,Upgrading the self: technology and the self in the digital games perpetual innovation economy,,,Convergence: The International Journal of Research into New Media Technologies,17,3,307,,,1354-8565,10.1177/1354856511405758,,2011,http://researchspace.bathspa.ac.uk/577/,0,False,,False,False,,,,,,False,
10000571,36,,3099461,D,Pathways to creativity: self-learning and customising in/for the creative economy,,,Journal of Cultural Economy ,4,2,189,,,1753-0350,10.1080/17530350.2010.506325,,2011,http://researchspace.bathspa.ac.uk/579/,0,False,,False,False,,,,,,False,
10000571,36,,3099462,D,"Player, student, designer: games design students and  changing relationships with games",,,Games and Culture ,5,3,256,,,1555-4120,10.1177/1555412009359766,,2010,http://researchspace.bathspa.ac.uk/581/,0,False,,False,False,,,,,,False,
10000571,36,,3099463,D,Cultural workers in the making,,,European Journal of Cultural Studies,16,4,468,,,1367-5494,10.1177/1367549413484308,,2013,http://researchspace.bathspa.ac.uk/1536/,0,False,,False,False,,,,,,False,
10000571,36,,3099464,C,'Everything Louder than Everything Else': the contemporary metal music magazine and its cultural appeal,,Routledge,Mapping the Magazine: Comparative studies in magazine journalism,,,,,9780415451154,,,,2009,http://researchspace.bathspa.ac.uk/591/,0,False,,False,False,,,,,,False,
10000571,36,,3099465,D,"Suicide solutions? Or, how the emo class of 2008 were able to contest their media demonization, whereas the headbangers, burnouts or ‘children of ZoSo’ generation were not",,,Popular Music History,6,1,19,,,17431646,10.1558/pomh.v6i1/2.19,,2012,http://researchspace.bathspa.ac.uk/592/,0,False,,False,False,,,,,,False,
