,2* + 1* Output (%),4* Output (%),Income per Submission (millions)
0,42.0,12.0,0.003011787878787879
1,36.0,13.0,0.004747870967741936
2,45.0,9.0,0.005844309523809524
3,33.0,9.0,0.06155613333333333
4,72.0,2.0,0.04607791176470588
5,24.0,36.0,0.005781458823529411
6,32.0,27.0,0.01713628846153846
7,54.0,12.0,0.0023183582089552237
8,33.0,20.0,0.019124875
9,22.0,33.0,0.005137399999999999
10,16.0,36.0,0.012599439024390246
11,43.0,14.0,0.004979350649350649
12,18.0,35.0,0.011665378378378376
13,20.0,33.0,0.005979046153846154
14,46.0,11.0,0.00018670212765957447
15,12.0,55.0,0.024800917808219178
16,20.0,54.0,0.07443625210084034
17,18.0,48.0,0.019294500000000003
18,60.0,6.0,0.0011311071428571427
19,10.0,52.0,0.023041383838383837
20,33.0,12.0,0.02355771428571429
21,37.0,18.0,0.05016638461538462
22,42.0,12.0,0.002721520833333333
23,32.0,29.0,0.016733333333333333
24,6.0,65.0,0.09370757777777779
25,41.0,13.0,0.004294233333333333
26,39.0,1.0,0.007051478260869565
27,13.0,50.0,0.02209092270531401
28,40.0,7.0,0.0048223064516129035
29,18.0,42.0,0.032300999999999996
30,48.0,6.0,0.006273809523809524
31,17.0,40.0,0.01217543859649123
32,35.0,20.0,0.0019372608695652175
33,43.0,11.0,0.005363041666666666
34,31.0,31.0,0.028790847826086957
35,39.0,29.0,0.015890489361702127
36,17.0,45.0,0.022534044444444446
37,35.0,25.0,0.02171929411764706
38,28.0,38.0,0.0309776
39,35.0,24.0,0.04950583132530121
40,72.0,5.0,0.0009981636363636365
41,37.0,25.0,0.0041606481481481486
42,23.0,41.0,0.008245843137254903
43,26.0,27.0,0.025702776119402984
44,58.0,24.0,0.0020909090909090908
45,13.0,52.0,0.022690625
46,35.0,14.0,0.0021584399999999998
47,11.0,48.0,0.020950107142857142
48,28.0,24.0,0.04775862962962964
49,19.0,45.0,0.025507655172413792
50,45.0,17.0,0.004344525
51,41.0,16.0,0.0015131388888888892
52,42.0,15.0,0.014818642857142858
53,29.0,27.0,0.008113333333333334
54,42.0,7.0,0.0029574468085106385
55,66.0,6.0,0.07220033333333334
56,11.0,61.0,0.02137157894736842
57,34.0,21.0,0.019138875
