UKPRN,UnitOfAssessment,MultipleSubmission,Source,Income2008,Income2009,Income2010,Income2011,Income2012
10000291,36,,1,0,6301,36170,6116,1802
10000291,36,,2,0,0,4000,0,0
10000291,36,,4,45000,0,0,0,0
10000571,36,,1,0,329,13549,62594,32443
10000571,36,,2,4643,252,2777,2523,9221
10000571,36,,13,6080,186,12397,25,165
10007152,36,,1,83376,27113,3672,20783,52177
10007152,36,,2,0,0,0,0,4326
10007152,36,,4,9359,11644,-111,8261,0
10007152,36,,5,5688,0,356,5095,1600
10007152,36,,13,0,154,1036,0,10932
10007140,36,,1,214907,83559,0,0,13333
10007140,36,,4,512453,29573,102595,48723,69455
10007140,36,,5,7190,15070,31058,40612,13945
10007140,36,,6,32879,108932,139384,117329,66354
10007140,36,,7,2814,-2815,0,0,0
10007140,36,,11,0,0,0,665,0
10007140,36,,12,0,0,0,15430,27527
10007140,36,,13,24517,5000,5000,4535,116660
10006841,36,,1,38640,20718,27117,891,0
10006841,36,,4,108434,227753,239899,48846,16426
10006841,36,,5,4855,14680,8763,1730,361
10006841,36,,6,349403,100229,78641,97647,166097
10006841,36,,13,12827,2692,0,0,0
10000824,36,,1,61218,28318,3424,33629,4716
10000824,36,,2,2948,0,0,0,0
10000824,36,,3,0,3000,-52,0,0
10000824,36,,4,678,45574,30120,39305,6576
10000824,36,,5,19472,1309,74713,36609,14577
10000824,36,,6,0,0,44771,21886,0
10000824,36,,9,0,0,0,0,828
10000824,36,,12,0,0,0,0,785
10000824,36,,13,3022,0,2409,9560,2029
10000886,36,,1,0,0,0,0,3348
10000886,36,,4,0,32843,27998,6360,19471
10000886,36,,6,140372,161655,205777,185096,108167
10000961,36,,1,15149,66950,51138,15910,2404
10000961,36,,2,3779,0,0,0,0
10007141,36,,1,22162,110685,90906,203986,188336
10007141,36,,4,17148,15000,12479,3525,0
10007141,36,,5,0,0,0,21400,0
10007141,36,,8,447,166,0,0,0
10007141,36,,9,0,0,0,10716,39978
10007141,36,,12,0,11002,4997,62,0
10007141,36,,13,0,12000,0,0,0
10001478,36,,1,68092,84431,107781,22314,7369
10001478,36,,3,200,0,0,2811,82957
10001478,36,,6,0,0,0,48928,55856
10001478,36,,13,0,0,0,5047,2267
10001883,36,,1,30627,7538,33471,20850,37975
10001883,36,,2,12835,0,198,29902,48449
10001883,36,,3,0,1589,0,0,0
10001883,36,,4,56421,47134,12060,3515,42503
10001883,36,,5,8132,97319,10986,0,0
10001883,36,,13,0,0,1180,0,13893
10007851,36,,1,0,39481,114829,113500,104737
10007851,36,,3,0,0,0,0,5028
10007851,36,,4,2531,1704,0,0,0
10007851,36,,6,0,0,0,1600,0
10007789,36,,1,28586,4576,45407,127400,136445
10007789,36,,2,0,32051,4426,0,0
10007789,36,,3,1000,0,0,0,1034
10007789,36,,5,48664,0,0,0,0
10007789,36,,13,1015,15,0,0,1000
10007144,36,,1,68125,81250,20836,9446,64226
10007144,36,,2,0,5749,31330,59551,7484
10007144,36,,4,1464,0,0,0,11705
10007144,36,,10,0,0,12808,14312,352
10007823,36,,1,0,0,0,3177,-365
10007823,36,,4,0,0,0,0,5000
10007823,36,,5,0,963,0,0,0
10002718,36,,1,57556,56027,157997,330709,292975
10002718,36,,2,271862,251949,160242,107980,0
10002718,36,,4,0,28506,26488,5230,3560
10002718,36,,6,8074,0,0,0,0
10002718,36,,7,0,0,0,16955,25057
10002718,36,,10,0,0,8100,0,0
10002718,36,,13,1200,0,0,0,0
10003645,36,,1,462710,379084,557745,407370,517230
10003645,36,,2,231875,296050,207572,105573,96219
10003645,36,,3,3538,0,0,0,0
10003645,36,,4,516587,886235,960115,357820,232584
10003645,36,,6,130587,245882,169772,441790,663993
10003645,36,,7,0,0,19568,27608,43066
10003645,36,,10,15463,31206,54804,149995,70346
10003645,36,,11,41379,13538,0,0,0
10003645,36,,12,0,0,71079,184200,204389
10003645,36,,13,0,374,34718,8612,17238
10007795,36,,1,310809,125970,114629,182760,298289
10007795,36,,2,-39,0,0,0,0
10007795,36,,3,650,0,0,31034,0
10007795,36,,6,292989,56169,102021,128030,25121
10007795,36,,9,0,0,3560,14488,11436
10003861,36,,1,0,0,34210,0,9075
10003861,36,,2,1560,0,0,1590,4250
10003861,36,,4,17913,19648,30594,7844,0
10007796,36,A,1,10031,-86,44661,101389,279372
10007796,36,A,2,1950,0,0,0,0
10007796,36,A,4,96432,66146,0,0,68238
10007796,36,B,1,56313,44946,103409,60511,163981
10007796,36,B,2,143158,55904,49075,45487,162234
10007796,36,B,3,379,11070,25472,17625,18466
10007796,36,B,4,16933,2294,7797,40117,2355
10007796,36,B,5,0,706,3141,7565,6379
10007796,36,B,6,6089,14425,61888,255448,224453
10007796,36,B,9,0,0,0,1425,0
10007796,36,B,12,0,0,0,0,3919
10007151,36,,1,58407,74216,26446,127698,152667
10007151,36,,2,0,0,1014,1504,2662
10007151,36,,4,12133,21039,59939,39642,6660
10007151,36,,5,22532,0,25950,27107,0
10006842,36,,1,93095,162800,78777,6326,0
10006842,36,,4,0,0,1129,47017,27275
10006842,36,,6,288361,157970,152734,42402,246440
10003957,36,,1,0,0,0,20497,24178
10003957,36,,2,1,10215,0,0,-8802
10003957,36,,3,0,0,0,8802,0
10003957,36,,4,8960,22093,3435,4731,4052
10003957,36,,5,3608,24,1,0,0
10003957,36,,6,0,0,0,5712,11497
10003957,36,,13,0,0,0,1189,10440
10007784,36,,1,218000,78000,18000,84000,180000
10007784,36,,2,0,0,0,0,9000
10007784,36,,3,0,0,0,0,1000
10007784,36,,4,68000,52000,17000,-16000,1000
10007784,36,,6,0,0,0,1000,75000
10007784,36,,13,96000,66000,51000,5000,0
10004063,36,,1,378134,84891,73348,20605,97673
10004063,36,,2,0,0,0,15327,0
10004063,36,,5,29859,6221,35214,0,0
10004063,36,,6,580601,1478396,502932,278660,308931
10004063,36,,7,0,0,0,16756,14052
10004063,36,,8,805,1005,1674,3163,865
