UKPRN,UnitOfAssessment,MultipleSubmission,Profile,FourStar,ThreeStar,TwoStar,OneStar,Unclassified
10000291,36,,Environment,0,30,70,0,0
10000291,36,,Impact,0,40,60,0,0
10000291,36,,Outputs,18.2,51.5,30.3,0,0
10000291,36,,Overall,12,46,42,0,0
10000571,36,,Environment,0,70,20,10,0
10000571,36,,Impact,0,80,20,0,0
10000571,36,,Outputs,19.4,38.7,32.2,9.7,0
10000571,36,,Overall,13,51,28,8,0
10007152,36,,Environment,0,60,40,0,0
10007152,36,,Impact,0,60,40,0,0
10007152,36,,Outputs,14.3,38.1,33.3,14.3,0
10007152,36,,Overall,9,46,36,9,0
10007140,36,,Environment,0,80,20,0,0
10007140,36,,Impact,0,100,0,0,0
10007140,36,,Outputs,13.3,40,30,16.7,0
10007140,36,,Overall,9,58,22,11,0
10006841,36,,Environment,0,0,20,70,10
10006841,36,,Impact,0,0,30,30,40
10006841,36,,Outputs,2.9,20.6,23.6,47,5.9
10006841,36,,Overall,2,13,25,47,13
10000824,36,,Environment,60,30,10,0,0
10000824,36,,Impact,63.3,23.4,13.3,0,0
10000824,36,,Outputs,22.4,47,28.2,2.4,0
10000824,36,,Overall,36,40,22,2,0
10000886,36,,Environment,0,60,30,10,0
10000886,36,,Impact,60,30,10,0,0
10000886,36,,Outputs,23.1,40.4,30.7,5.8,0
10000886,36,,Overall,27,41,27,5,0
10000961,36,,Environment,0,40,60,0,0
10000961,36,,Impact,0,26.7,46.6,26.7,0
10000961,36,,Outputs,19.1,32.4,25,22,1.5
10000961,36,,Overall,12,33,34,20,1
10001143,36,,Environment,0,0,90,10,0
10001143,36,,Impact,0,30,70,0,0
10001143,36,,Outputs,8.3,37.5,37.5,14.6,2.1
10001143,36,,Overall,5,31,52,11,1
10007141,36,,Environment,0,60,30,10,0
10007141,36,,Impact,0,70,30,0,0
10007141,36,,Outputs,30,37.5,22.5,10,0
10007141,36,,Overall,20,47,25,8,0
10001478,36,,Environment,50,40,10,0,0
10001478,36,,Impact,53.3,46.7,0,0,0
10001478,36,,Outputs,22.1,45.3,27.3,3.2,2.1
10001478,36,,Overall,33,44,20,2,1
10001883,36,,Environment,30,60,10,0,0
10001883,36,,Impact,0,100,0,0,0
10001883,36,,Outputs,48.8,29.2,19.6,2.4,0
10001883,36,,Overall,36,48,14,2,0
10007851,36,,Environment,0,40,60,0,0
10007851,36,,Impact,0,80,20,0,0
10007851,36,,Outputs,20.8,33.7,32.5,13,0
10007851,36,,Overall,14,43,35,8,0
10007789,36,,Environment,70,10,10,10,0
10007789,36,,Impact,0,70,30,0,0
10007789,36,,Outputs,37.8,48.7,10.8,2.7,0
10007789,36,,Overall,35,47,15,3,0
10007144,36,,Environment,70,20,10,0,0
10007144,36,,Impact,20,80,0,0,0
10007144,36,,Outputs,29.2,43.1,23.1,4.6,0
10007144,36,,Overall,33,47,17,3,0
10007823,36,,Environment,0,50,40,10,0
10007823,36,,Impact,20,20,20,0,40
10007823,36,,Outputs,10.6,34.1,34,19.2,2.1
10007823,36,,Overall,11,34,32,14,9
10002718,36,,Environment,100,0,0,0,0
10002718,36,,Impact,86.7,13.3,0,0,0
10002718,36,,Outputs,34.2,46.6,19.2,0,0
10002718,36,,Overall,55,33,12,0,0
10003645,36,,Environment,100,0,0,0,0
10003645,36,,Impact,90,10,0,0,0
10003645,36,,Outputs,32.8,36.1,22.7,8.4,0
10003645,36,,Overall,54,26,15,5,0
10007795,36,,Environment,80,20,0,0,0
10007795,36,,Impact,63.3,36.7,0,0,0
10007795,36,,Outputs,35.2,37.5,21.6,5.7,0
10007795,36,,Overall,48,34,14,4,0
10003861,36,,Environment,0,10,70,10,10
10003861,36,,Impact,20,0,60,20,0
10003861,36,,Outputs,3.6,46.4,42.9,6.2,0.9
10003861,36,,Overall,6,32,50,10,2
10003863,36,,Environment,0,0,60,20,20
10003863,36,,Impact,0,0,0,10,90
10003863,36,,Outputs,20,40,33.3,6.7,0
10003863,36,,Overall,13,26,31,9,21
10007796,36,A,Environment,30,60,10,0,0
10007796,36,A,Impact,53.3,33.4,13.3,0,0
10007796,36,A,Outputs,33.9,44.1,18.6,3.4,0
10007796,36,A,Overall,37,45,16,2,0
10007796,36,B,Environment,60,40,0,0,0
10007796,36,B,Impact,100,0,0,0,0
10007796,36,B,Outputs,35,50,12.5,2.5,0
10007796,36,B,Overall,52,38,8,2,0
10007151,36,,Environment,0,80,20,0,0
10007151,36,,Impact,0,100,0,0,0
10007151,36,,Outputs,17.9,32.1,25,21.4,3.6
10007151,36,,Overall,12,53,19,14,2
10006842,36,,Environment,0,80,20,0,0
10006842,36,,Impact,40,50,10,0,0
10006842,36,,Outputs,15.4,34.6,26.9,23.1,0
10006842,36,,Overall,18,45,22,15,0
10003957,36,,Environment,0,30,50,20,0
10003957,36,,Impact,20,70,10,0,0
10003957,36,,Outputs,12.5,41.7,39.5,6.3,0
10003957,36,,Overall,12,46,35,7,0
10007784,36,,Environment,30,50,20,0,0
10007784,36,,Impact,40,36.7,23.3,0,0
10007784,36,,Outputs,25,38.3,20,16.7,0
10007784,36,,Overall,29,39,21,11,0
10004063,36,,Environment,100,0,0,0,0
10004063,36,,Impact,100,0,0,0,0
10004063,36,,Outputs,46.7,44.4,8.9,0,0
10004063,36,,Overall,65,29,6,0,0
10004048,36,,Environment,0,40,50,10,0
10004048,36,,Impact,20,30,10,0,40
10004048,36,,Outputs,13.3,40,36.7,10,0
10004048,36,,Overall,13,38,33,8,8
10004078,36,,Environment,0,60,30,10,0
10004078,36,,Impact,0,80,20,0,0
10004078,36,,Outputs,2.2,47.8,30.4,15.3,4.3
10004078,36,,Overall,1,57,28,11,3
10004113,36,A,Environment,50,40,10,0,0
10004113,36,A,Impact,60,40,0,0,0
10004113,36,A,Outputs,23.5,39.7,28,8.8,0
10004113,36,A,Overall,35,40,19,6,0
10004113,36,B,Environment,90,10,0,0,0
10004113,36,B,Impact,50,40,10,0,0
10004113,36,B,Outputs,41,41.7,14.4,2.9,0
10004113,36,B,Overall,50,37,11,2,0
10004351,36,,Environment,0,80,20,0,0
10004351,36,,Impact,0,76.7,23.3,0,0
10004351,36,,Outputs,11.3,38.7,30.6,19.4,0
10004351,36,,Overall,7,53,27,13,0
10007799,36,,Environment,70,30,0,0,0
10007799,36,,Impact,50,30,20,0,0
10007799,36,,Outputs,32.7,46.1,17.4,3.8,0
10007799,36,,Overall,42,40,16,2,0
10001282,36,A,Environment,50,40,10,0,0
10001282,36,A,Impact,0,60,40,0,0
10001282,36,A,Outputs,29.4,41.2,21.6,7.8,0
10001282,36,A,Overall,27,44,24,5,0
10001282,36,B,Environment,0,50,50,0,0
10001282,36,B,Impact,0,90,10,0,0
10001282,36,B,Outputs,8.8,32.4,38.2,20.6,0
10001282,36,B,Overall,6,46,35,13,0
10007154,36,,Environment,90,10,0,0,0
10007154,36,,Impact,26.7,60,13.3,0,0
10007154,36,,Outputs,33.3,43.9,22.8,0,0
10007154,36,,Overall,40,43,17,0,0
10004797,36,,Environment,0,50,40,10,0
10004797,36,,Impact,20,50,30,0,0
10004797,36,,Outputs,23.9,43.5,28.3,4.3,0
10004797,36,,Overall,20,45,31,4,0
10004930,36,,Environment,0,70,20,10,0
10004930,36,,Impact,0,0,40,60,0
10004930,36,,Outputs,16.7,50,25,4.1,4.2
10004930,36,,Overall,11,43,27,16,3
10007155,36,,Environment,40,50,10,0,0
10007155,36,,Impact,60,40,0,0,0
10007155,36,,Outputs,19.6,34.7,34.8,10.9,0
10007155,36,,Overall,31,38,24,7,0
10007776,36,,Environment,40,50,10,0,0
10007776,36,,Impact,40,20,40,0,0
10007776,36,,Outputs,22.9,31.3,27,18.8,0
10007776,36,,Overall,29,32,27,12,0
10005553,36,,Environment,70,30,0,0,0
10005553,36,,Impact,40,60,0,0,0
10005553,36,,Outputs,40,33.3,24.5,2.2,0
10005553,36,,Overall,45,38,16,1,0
10007843,36,,Environment,0,30,30,40,0
10007843,36,,Impact,0,20,40,0,40
10007843,36,,Outputs,16.7,43.3,36.7,0,3.3
10007843,36,,Overall,11,37,36,6,10
10007156,36,,Environment,40,50,10,0,0
10007156,36,,Impact,13.3,50,36.7,0,0
10007156,36,,Outputs,25,30.9,26.5,13.2,4.4
10007156,36,,Overall,25,37,27,8,3
10007157,36,,Environment,100,0,0,0,0
10007157,36,,Impact,60,40,0,0,0
10007157,36,,Outputs,16.3,41.2,30,12.5,0
10007157,36,,Overall,38,34,20,8,0
10005790,36,,Environment,60,40,0,0,0
10005790,36,,Impact,26.7,63.3,10,0,0
10005790,36,,Outputs,14.5,34.9,24.1,26.5,0
10005790,36,,Overall,24,41,18,17,0
10006022,36,,Environment,0,30,50,20,0
10006022,36,,Impact,0,0,50,10,40
10006022,36,,Outputs,8.3,29.2,25,20.8,16.7
10006022,36,,Overall,5,24,34,18,19
10006299,36,,Environment,0,30,50,20,0
10006299,36,,Impact,0,20,20,60,0
10006299,36,,Outputs,7.3,20,29.1,40,3.6
10006299,36,,Overall,5,21,31,41,2
10007159,36,,Environment,10,80,10,0,0
10007159,36,,Impact,40,10,50,0,0
10007159,36,,Outputs,24.1,37,33.3,5.6,0
10007159,36,,Overall,25,38,33,4,0
10007806,36,,Environment,80,20,0,0,0
10007806,36,,Impact,60,40,0,0,0
10007806,36,,Outputs,25.5,39.2,34.3,1,0
10007806,36,,Overall,41,36,22,1,0
10007164,36,,Environment,70,20,10,0,0
10007164,36,,Impact,13.3,86.7,0,0,0
10007164,36,,Outputs,20.9,40.3,29.8,7.5,1.5
10007164,36,,Overall,27,46,21,5,1
10006566,36,,Overall,24,11,34,24,7
10007165,36,,Environment,50,50,0,0,0
10007165,36,,Impact,86.7,13.3,0,0,0
10007165,36,,Outputs,42.2,37.5,17.2,3.1,0
10007165,36,,Overall,52,35,11,2,0
10003614,36,,Environment,0,60,30,10,0
10003614,36,,Impact,0,80,20,0,0
10003614,36,,Outputs,22,34,28,10,6
10003614,36,,Overall,14,47,27,8,4
10007166,36,,Environment,70,20,10,0,0
10007166,36,,Impact,60,40,0,0,0
10007166,36,,Outputs,39.3,46.4,14.3,0,0
10007166,36,,Overall,48,41,11,0,0
10007713,36,,Environment,0,0,10,70,20
10007713,36,,Impact,0,20,40,40,0
10007713,36,,Outputs,8.3,37.5,29.2,12.5,12.5
10007713,36,,Overall,5,29,28,27,11
10007772,36,,Environment,30,60,10,0,0
10007772,36,,Impact,0,50,50,0,0
10007772,36,,Outputs,29.6,44.5,22.2,3.7,0
10007772,36,,Overall,24,48,26,2,0
10007794,36,,Environment,100,0,0,0,0
10007794,36,,Impact,40,46.7,13.3,0,0
10007794,36,,Outputs,33.3,40.3,23,2.3,1.1
10007794,36,,Overall,45,35,18,1,1
10007762,36,,Environment,0,30,60,10,0
10007762,36,,Impact,20,60,20,0,0
10007762,36,,Outputs,19.5,34.2,36.5,9.8,0
10007762,36,,Overall,17,38,37,8,0
10005337,36,,Environment,0,30,40,30,0
10005337,36,,Impact,0,20,50,30,0
10005337,36,,Outputs,25,52.8,13.9,8.3,0
10005337,36,,Overall,16,43,25,16,0
10005500,36,,Environment,0,40,60,0,0
10005500,36,,Impact,20,60,20,0,0
10005500,36,,Outputs,16.7,38.1,33.3,11.9,0
10005500,36,,Overall,15,43,34,8,0
10007804,36,,Environment,40,60,0,0,0
10007804,36,,Impact,40,60,0,0,0
10007804,36,,Outputs,19.3,36.8,31.6,12.3,0
10007804,36,,Overall,27,44,21,8,0
10007800,36,,Environment,0,60,40,0,0
10007800,36,,Impact,30,70,0,0,0
10007800,36,,Outputs,2.1,38.3,40.5,14.8,4.3
10007800,36,,Overall,7,48,33,9,3
10007856,36,,Environment,0,40,30,30,0
