,A*,A,B,C,Av. Rank,Four Str
10000291,7,12,0,3,3.0454545454545454,0.0
10007850,45,27,4,1,3.5064935064935066,31.3
10007760,47,25,9,2,3.4096385542168677,36.8
10006840,94,39,2,0,3.6814814814814816,35.0
10007786,165,61,7,4,3.632911392405063,26.1
10007788,448,179,38,1,3.6017964071856285,36.1
10003324,77,11,2,3,3.7419354838709675,47.6
10007851,5,16,12,3,2.638888888888889,0.0
10007143,84,49,11,3,3.4324324324324325,15.0
10007789,111,39,4,3,3.643312101910828,27.6
10007791,39,33,0,4,3.4078947368421053,3.9
10007792,141,39,3,1,3.718918918918919,26.7
10007148,17,14,4,6,2.9523809523809526,14.6
10003270,284,56,3,3,3.7301136363636362,38.9
10007767,12,24,8,4,2.9166666666666665,4.2
10007150,40,39,7,2,3.3295454545454546,21.3
10003645,179,64,19,3,3.581132075471698,29.9
10007795,149,59,6,1,3.655813953488372,21.9
10007796,83,52,2,2,3.553956834532374,26.1
10006842,42,14,0,2,3.6551724137931036,19.0
10007784,470,111,30,5,3.698051948051948,36.8
10007798,300,164,25,8,3.5070140280561124,25.6
10007799,71,22,1,0,3.74468085106383,46.6
10007154,214,125,12,7,3.5153203342618387,13.8
10007774,547,128,10,7,3.744956772334294,35.6
10004930,39,29,7,0,3.3815789473684212,11.4
10007775,60,15,0,2,3.727272727272727,32.1
10007802,45,23,1,1,3.6,17.7
10005553,52,24,2,1,3.607594936708861,18.5
10007156,20,40,28,4,2.765957446808511,7.1
10007157,128,25,0,0,3.7870967741935484,37.7
10005790,19,20,6,3,3.1458333333333335,7.8
10007158,56,44,7,2,3.4128440366972477,16.1
10007806,143,21,1,0,3.860606060606061,45.7
10007163,108,31,4,11,3.5324675324675323,28.5
10007139,7,19,6,2,2.911764705882353,8.8
10007167,133,30,2,5,3.711764705882353,32.2
10007783,177,129,22,8,3.4035608308605343,19.0
10007849,13,9,9,6,2.7837837837837838,3.7
10007852,168,55,8,3,3.658119658119658,42.8
10007790,268,89,9,7,3.6470588235294117,38.7
10007794,123,65,6,4,3.5505050505050506,21.8
10007803,114,47,5,2,3.625,22.9
10007814,153,49,4,4,3.6714285714285713,31.1
