UKPRN,UnitOfAssessment,MultipleSubmission,Profile,FourStar,ThreeStar,TwoStar,OneStar,Unclassified
10000291,5,,Environment,0,0,0,87.5,12.5
10000291,5,,Impact,0,10,70,20,0
10000291,5,,Outputs,0,34.8,39.1,4.4,21.7
10000291,5,,Overall,0,25,39,20,16
10007850,5,,Environment,0,75,25,0,0
10007850,5,,Impact,13.3,86.7,0,0,0
10007850,5,,Outputs,31.3,51.8,15.7,0,1.2
10007850,5,,Overall,23,62,14,0,1
10007760,5,,Environment,87.5,12.5,0,0,0
10007760,5,,Impact,44,38,14,0,4
10007760,5,,Outputs,36.8,40.9,19.8,1.5,1
10007760,5,,Overall,46,36,16,1,1
10006840,5,,Environment,50,50,0,0,0
10006840,5,,Impact,10,66,24,0,0
10006840,5,,Outputs,35,59.3,2.8,0.8,2.1
10006840,5,,Overall,32,59,7,1,1
10007786,5,,Environment,75,25,0,0,0
10007786,5,,Impact,22.9,67.1,10,0,0
10007786,5,,Outputs,26.1,52.6,20.5,0,0.8
10007786,5,,Overall,33,51,15,0,1
10007788,5,,Environment,100,0,0,0,0
10007788,5,,Impact,70,24,6,0,0
10007788,5,,Outputs,36.1,46,16.5,0.6,0.8
10007788,5,,Overall,52,35,12,0,1
10003324,5,,Environment,75,25,0,0,0
10003324,5,,Impact,80,20,0,0,0
10003324,5,,Outputs,47.6,48.5,3.9,0,0
10003324,5,,Overall,58,39,3,0,0
10007851,5,,Environment,0,0,37.5,62.5,0
10007851,5,,Impact,0,0,60,0,40
10007851,5,,Outputs,0,13.3,51.1,31.2,4.4
10007851,5,,Overall,0,9,50,30,11
10007143,5,,Environment,12.5,87.5,0,0,0
10007143,5,,Impact,68,24,8,0,0
10007143,5,,Outputs,15,47.7,32.7,1.3,3.3
10007143,5,,Overall,25,49,23,1,2
10007789,5,,Environment,12.5,87.5,0,0,0
10007789,5,,Impact,40,60,0,0,0
10007789,5,,Outputs,27.6,52.2,19.6,0.6,0
10007789,5,,Overall,28,59,13,0,0
10007791,5,,Environment,0,75,25,0,0
10007791,5,,Impact,0,60,40,0,0
10007791,5,,Outputs,3.9,62.3,31.2,2.6,0
10007791,5,,Overall,3,63,32,2,0
10007792,5,,Environment,12.5,87.5,0,0,0
10007792,5,,Impact,50,50,0,0,0
10007792,5,,Outputs,26.7,55.1,16.6,0,1.6
10007792,5,,Overall,29,59,11,0,1
10007148,5,,Environment,0,37.5,62.5,0,0
10007148,5,,Impact,0,0,60,0,40
10007148,5,,Outputs,14.6,20.8,50,8.4,6.2
10007148,5,,Overall,9,20,54,5,12
10003270,5,,Environment,100,0,0,0,0
10003270,5,,Impact,53.6,39.1,7.3,0,0
10003270,5,,Outputs,38.9,50,9.5,1.1,0.5
10003270,5,,Overall,51,40,8,1,0
10007767,5,,Environment,0,12.5,75,12.5,0
10007767,5,,Impact,40,20,40,0,0
10007767,5,,Outputs,4.2,39.6,52,4.2,0
10007767,5,,Overall,11,31,53,5,0
