,2* + 1* Output (%),4* Output (%),Average Citations per Submission,Income per Submission (millions)
0,59.0,0.0,77.14285714285714,0.008467380952380952
1,14.0,23.0,25.576923076923077,0.2149580128205128
2,17.0,46.0,20.955555555555556,0.23484289999999994
3,8.0,32.0,21.971223021582734,0.25554941007194254
4,15.0,33.0,25.32,0.20939066799999997
5,12.0,52.0,33.31571218795889,0.40990958443465486
6,3.0,58.0,50.13725490196079,0.9090199215686274
7,80.0,0.0,6.238095238095238,0.0006304047619047619
8,24.0,25.0,22.40268456375839,0.1397923691275168
9,13.0,28.0,32.36942675159236,0.18288063694267517
10,34.0,3.0,16.105263157894736,0.13004168421052634
11,11.0,29.0,26.0752688172043,0.24304519354838708
12,59.0,9.0,20.32608695652174,0.006920913043478262
13,9.0,51.0,39.536986301369865,0.31799253698630137
14,58.0,11.0,15.891304347826088,0.11541791304347825
15,12.0,19.0,19.21590909090909,0.15675405681818186
16,16.0,30.0,26.0,0.2586286296296297
17,16.0,38.0,28.871559633027523,0.29736796788990827
18,11.0,30.0,24.035971223021583,0.22106912230215825
19,19.0,16.0,21.017857142857142,0.12410016071428567
20,17.0,46.0,36.386837881219904,0.23984442054574637
21,21.0,37.0,28.98865784499055,0.28231449338374287
22,7.0,50.0,29.408695652173915,0.2864272782608695
23,24.0,23.0,28.855153203342617,0.1511887103064067
24,7.0,47.0,33.750354609929076,0.3769507035460992
25,41.0,13.0,18.486842105263158,0.05247114473684211
26,16.0,31.0,36.6578947368421,0.23902486842105264
27,18.0,17.0,25.25,0.14594063157894735
28,24.0,15.0,29.487179487179485,0.20053816666666668
29,53.0,5.0,15.585106382978724,0.01713208510638298
30,8.0,48.0,36.67878787878788,0.3344329878787879
31,54.0,5.0,22.58823529411765,0.049013607843137255
32,18.0,18.0,27.375,0.1647041339285714
33,10.0,48.0,29.324175824175825,0.280376510989011
34,15.0,22.0,32.76875,0.3018167437499999
35,57.0,6.0,16.3125,0.04129378125
36,10.0,47.0,26.517241379310345,0.3451888563218391
37,16.0,30.0,27.71301775147929,0.33687896449704147
38,69.0,2.0,9.166666666666666,0.03962692857142856
39,7.0,58.0,38.57959183673469,0.6523491020408162
40,8.0,56.0,39.35924932975871,0.33193240750670244
41,21.0,22.0,22.65,0.184675115
42,16.0,33.0,26.23076923076923,0.29441223668639055
43,15.0,42.0,26.863636363636363,0.23163835000000002
