Rank,Title,Type,Issn,SJR,SJR Best Quartile,H index,Total Docs. (2014),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Categories
1,Nature Reviews Genetics,journal,"ISSN 14710056, 14710064",29.06,Q1,292,227,618,8016,9482,227,39.14,35.31,United Kingdom,Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)
2,Nature Reviews Immunology,journal,ISSN 14741733,27.41,Q1,316,184,595,8289,8431,206,38.88,45.05,United Kingdom,Immunology (Q1); Medicine (miscellaneous) (Q1)
3,Nature Reviews Cancer,journal,ISSN 1474175X,24.713,Q1,355,195,565,9726,9282,231,39.99,49.88,United Kingdom,Cancer Research (Q1); Oncology (Q1)
4,Nature Reviews Molecular Cell Biology,journal,"ISSN 14710072, 14710080",24.474,Q1,352,171,568,8884,8008,260,31.3,51.95,United Kingdom,Cell Biology (Q1); Molecular Biology (Q1)
5,Nature Genetics,journal,ISSN 10614036,23.792,Q1,496,303,988,9836,22029,742,27.96,32.46,United Kingdom,Genetics (Q1)
6,Journal of Finance,journal,"ISSN 15406261, 00221082",21.621,Q1,233,74,193,3508,1621,190,6.81,47.41,United Kingdom,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)
7,Econometrica,journal,"ISSN 00129682, 14680262",20.791,Q1,152,62,196,2713,1079,187,4.81,43.76,United Kingdom,Economics and Econometrics (Q1)
8,Nature,journal,"ISSN 14764687, 00280836",18.64,Q1,1011,2673,8165,41707,119115,4446,26.35,15.6,United Kingdom,Multidisciplinary (Q1)
9,Nature Nanotechnology,journal,ISSN 17483387,17.133,Q1,242,273,622,6554,14342,489,27.13,24.01,United Kingdom,"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
10,Nature Biotechnology,journal,ISSN 10870156,16.443,Q1,361,385,1075,6113,13487,525,25.11,15.88,United Kingdom,Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)
11,Nature Cell Biology,journal,ISSN 14657392,15.826,Q1,313,187,665,7092,9637,543,16.3,37.93,United Kingdom,Cell Biology (Q1)
12,Nature Methods,journal,"ISSN 15487105, 15487091",15.179,Q1,224,432,1049,7013,15113,591,27.14,16.23,United Kingdom,Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)
13,Academy of Management Annals,journal,"ISSN 19416520, 19416067",15.065,Q1,35,12,33,2671,481,28,14.42,222.58,United Kingdom,Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)
14,Nature Materials,journal,"ISSN 14764660, 14761122",14.946,Q1,356,253,862,6927,18093,685,23.08,27.38,United Kingdom,Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)
