UKPRN,UnitOfAssessment,MultipleSubmission,Source,Income2008,Income2009,Income2010,Income2011,Income2012
10000291,5,,2,2442,20558,0,124008,5000
10000291,5,,4,0,10300,10527,2933,2047
10007850,5,,1,2055047,1701843,1075646,859729,1237451
10007850,5,,2,764477,642032,842129,798848,771851
10007850,5,,3,580,0,68831,11937,21125
10007850,5,,4,67872,142638,118109,45223,43335
10007850,5,,5,206562,176140,196077,323322,212699
10007850,5,,6,510603,869244,506998,554825,207600
10007850,5,,8,0,0,0,38672,7245
10007850,5,,10,10254,78595,7107,0,0
10007850,5,,11,28534,12638,146296,32919,19564
10007850,5,,12,175718,218217,86496,33126,5823
10007850,5,,13,51643,0,0,679,0
10007850,5,,15,190208,94512,95505,313146,87055
10007760,5,,1,2045977,1678267,1909163,1664537,2059843
10007760,5,,2,1316192,1767514,1227297,823572,979995
10007760,5,,4,164498,86725,53606,226,0
10007760,5,,5,122132,157543,74677,126225,134214
10007760,5,,6,213475,195946,59703,274192,547910
10007760,5,,8,0,0,11069,0,0
10007760,5,,10,51870,63732,47562,49426,115409
10007760,5,,11,265380,185604,9167,10000,833
10007760,5,,12,0,0,87786,65840,1295
10007760,5,,13,1253,0,-200,0,0
10007760,5,,15,770866,583628,480422,412418,239072
10006840,5,,1,3739783,3712923,3397108,3465624,3377123
10006840,5,,2,1674605,1528077,1728988,1718187,1549827
10006840,5,,3,162329,68460,94947,12124,9949
10006840,5,,4,101829,663275,612516,665089,556694
10006840,5,,5,162101,101405,210803,134582,129268
10006840,5,,6,683393,685477,547874,844950,698149
10006840,5,,8,1586,33011,20183,8794,1972
10006840,5,,9,0,0,29869,43611,29117
10006840,5,,10,634,0,0,0,0
10006840,5,,11,124659,202810,238671,173994,156075
10006840,5,,12,51991,65018,37952,62157,81709
10006840,5,,13,747,9158,6122,27351,58808
10006840,5,,15,120124,155952,217464,403189,121181
10007786,5,,1,4910035,5621129,5244626,5260666,5183054
10007786,5,,2,2386350,2275186,2327249,1919229,1854237
10007786,5,,3,18551,825396,825346,879905,861950
10007786,5,,4,529320,598033,778392,1020081,869375
10007786,5,,5,130193,98982,86815,77120,42269
10007786,5,,6,466211,464374,919418,1286042,1942596
10007786,5,,7,150843,119430,60206,147088,2681
10007786,5,,8,6739,1649,0,14371,880
10007786,5,,10,0,0,0,0,8859
10007786,5,,11,55087,64249,0,0,0
10007786,5,,12,0,0,0,0,51383
10007786,5,,13,15014,0,4786,0,0
10007786,5,,15,387808,206977,534832,534524,278131
10007788,5,,1,17128471,16370871,14925323,14218969,16009641
10007788,5,,2,19835236,21865645,27563897,30784736,30598008
10007788,5,,3,1791398,1514740,903515,686762,3175315
10007788,5,,4,352169,316068,258513,160792,113355
10007788,5,,5,1349802,2393054,1860827,1884494,849626
10007788,5,,6,4410151,4048359,5520342,7179512,9091311
10007788,5,,7,211627,327229,501696,0,0
10007788,5,,8,32757,78338,20835,-20262,33155
10007788,5,,9,25209,25416,24017,31742,2000
10007788,5,,10,783886,1781124,2177944,2013470,2142319
10007788,5,,11,383798,53641,108059,110870,178962
10007788,5,,12,958827,1223883,1503851,1657307,2235588
10007788,5,,13,45840,221373,193602,-2470,-81848
10007788,5,,14,0,6,162,143,9279
10007788,5,,15,876285,681993,597884,645118,192870
10003324,5,,1,939616,864562,797521,516155,573282
10003324,5,,2,16335752,14955738,15710908,16040243,15055568
10003324,5,,3,-18006,310111,110118,204844,444429
10003324,5,,4,94839,108919,121039,247391,907235
10003324,5,,5,14066,108059,326196,384615,152929
10003324,5,,6,108718,210345,118235,324288,350779
10003324,5,,8,4912,0,-547,35412,66758
10003324,5,,9,11187,17402,68310,86343,84267
10003324,5,,10,87106,421769,510719,439193,851953
10003324,5,,11,0,34456,125629,181500,-6584
10003324,5,,12,430391,367381,56238,50684,48941
10003324,5,,13,43577,34135,287943,0,0
10003324,5,,15,478393,481810,423616,408370,170274
10007851,5,,5,20114,0,0,0,0
10007851,5,,7,6363,0,0,0,0
10007143,5,,1,2892783,2334153,2063068,2178552,1914559
10007143,5,,2,774860,747150,598253,563847,449926
10007143,5,,3,0,9269,39229,21873,562
10007143,5,,4,730208,619715,295519,149825,420769
10007143,5,,5,521797,383596,516315,416804,263731
10007143,5,,6,84810,174514,151223,71635,246051
10007143,5,,7,849,9519,36,24,0
10007143,5,,8,22037,8805,11072,655,11092
10007143,5,,9,12794,9277,0,0,0
10007143,5,,10,454716,134123,61338,213,-53
10007143,5,,11,13584,309,0,596,861
10007143,5,,12,118729,44701,21749,37697,138687
10007143,5,,13,0,0,0,8123,7490
10007143,5,,15,7521,14282,14002,18299,11340
10007789,5,,1,3406269,3850555,3593735,3164318,3623832
10007789,5,,2,1552363,1515323,1446439,1395362,1156103
10007789,5,,3,96079,89759,315901,313138,329880
10007789,5,,4,12019,130183,124566,138509,18850
10007789,5,,5,55846,48331,11470,8393,12586
10007789,5,,6,243662,223652,96127,233766,181981
10007789,5,,7,2316,18906,24287,35673,12085
10007789,5,,8,16388,9642,16799,1652,0
10007789,5,,9,24326,36138,21919,64269,51318
10007789,5,,10,0,9716,0,0,14898
10007789,5,,11,0,0,0,3979,3209
10007789,5,,12,33904,51044,94127,111592,155153
10007789,5,,13,33675,65662,25536,12410,24757
10007789,5,,14,0,15696,26774,10637,19621
10007789,5,,15,115319,50445,46986,36802,25603
10007791,5,,1,1513983,1343079,1266876,838272,1058517
10007791,5,,2,134934,160576,214887,313828,419697
10007791,5,,3,0,137,2233,8717,720
10007791,5,,4,111989,151518,127407,146967,30346
10007791,5,,5,12650,6871,1735,986,0
10007791,5,,6,248420,153636,105196,146778,122206
10007791,5,,8,0,0,0,0,32816
10007791,5,,9,0,0,0,3270,2393
10007791,5,,11,5427,0,0,0,0
10007791,5,,12,49697,47646,11534,169780,313267
10007791,5,,13,8601,1615,19990,44488,76002
10007791,5,,15,26155,44474,45944,265188,71720
10007792,5,,1,3395230,4087091,4237949,5312998,5695878
10007792,5,,2,248237,235355,416382,301814,305546
10007792,5,,3,275514,68223,8584,113501,97563
10007792,5,,4,1011744,768741,744630,871605,1345437
10007792,5,,5,1988213,1612177,1730383,1194289,647061
10007792,5,,6,421918,748405,1049115,1116405,1253916
10007792,5,,7,0,0,32163,0,0
10007792,5,,8,0,0,0,30,5121
10007792,5,,9,9112,53055,39142,184508,156387
10007792,5,,10,0,0,0,0,8240
10007792,5,,11,0,1975,88881,103412,50737
10007792,5,,12,475537,728334,528714,305927,238751
10007792,5,,13,9669,0,0,0,0
10007792,5,,14,0,0,0,6577,0
10007792,5,,15,151909,160492,220019,248991,94819
10007148,5,,1,0,0,0,72145,94492
10007148,5,,2,0,0,0,25739,60632
10007148,5,,4,0,8355,0,322,17961
10007148,5,,5,0,1002,4980,7573,25161
10003270,5,,1,11819445,11577875,10480167,10518668,10286109
10003270,5,,2,4877613,5068154,5268770,4499537,4434022
10003270,5,,3,362796,385460,336037,316260,325745
10003270,5,,4,911189,491743,561746,482863,269858
10003270,5,,5,211723,538344,574924,752118,564262
10003270,5,,6,1329898,2668383,2671137,2746956,2609018
10003270,5,,7,0,0,0,45725,136596
10003270,5,,8,8147,24374,18818,160696,143515
10003270,5,,9,10173,11105,31764,28702,69102
10003270,5,,10,675938,643767,729401,1261099,1687294
10003270,5,,11,669825,605344,586104,411878,458349
10003270,5,,12,1134374,1113572,1171707,552987,562239
10003270,5,,13,72511,0,0,4643,13174
10003270,5,,14,0,5747,91257,12584,9612
10003270,5,,15,785183,1165841,986032,1543994,483283
10007767,5,,1,157894,144291,294630,451193,346763
10007767,5,,2,460032,321777,432574,562831,409897
10007767,5,,4,2639,3242,58400,38554,22998
10007767,5,,5,106178,19532,4816,5777,6743
10007767,5,,6,46944,304814,369061,217911,156768
10007767,5,,12,1460,524,390,6599,8507
10007767,5,,13,1224,2479,3858,-34,1301
10007767,5,,14,0,0,0,0,1030
10007767,5,,15,188532,76183,33301,23173,14438
10007150,5,,1,2414622,1753778,1267883,1077204,1310962
10007150,5,,2,725629,602429,705237,588753,554624
10007150,5,,3,49528,49767,43921,39036,34843
10007150,5,,4,21869,-33164,8184,3569,292903
10007150,5,,5,305355,444496,476377,388476,235003
10007150,5,,6,0,0,0,0,11342
10007150,5,,8,119404,17583,1969,0,0
10007150,5,,11,38972,0,61437,84567,18513
10007150,5,,12,32404,14494,13075,4633,14680
10003645,5,,1,5699030,5647556,6015659,6500385,5778979
10003645,5,,2,5323838,5770055,5531762,5425041,5252501
10003645,5,,3,157975,120857,122622,203992,193763
10003645,5,,4,75339,1317,0,0,0
10003645,5,,5,438046,502079,597901,726822,575394
10003645,5,,6,693800,970116,693641,720400,1271425
10003645,5,,7,30372,62413,73402,58697,49028
10003645,5,,8,258628,420822,420356,179361,47004
10003645,5,,10,149811,64256,7480,33905,77097
10003645,5,,11,500522,249299,152979,89197,151333
10003645,5,,12,7603,9212,0,44411,75838
10003645,5,,13,13244,11062,6880,0,0
10003645,5,,14,0,3801,6463,98437,85467
10003645,5,,15,372880,358211,297169,276045,76750
10007795,5,,1,7683726,7059296,5179544,5201222,4739352
10007795,5,,2,2974727,2856197,3101614,3838777,3876179
10007795,5,,3,-50778,21614,-26767,40220,77829
10007795,5,,4,549948,322721,187119,262787,303137
10007795,5,,5,248110,232223,394103,257093,326759
10007795,5,,6,1364815,1228778,1269564,1816458,1996831
10007795,5,,8,22,7874,46420,31273,82763
10007795,5,,9,0,48791,18951,21786,3402
10007795,5,,10,38210,78485,91522,174047,159156
10007795,5,,11,166798,447321,391605,505316,401910
10007795,5,,12,282899,338588,270708,149245,152810
10007795,5,,13,409419,178301,239351,44603,71073
10007795,5,,14,0,0,0,0,9912
10007795,5,,15,518082,314208,667237,739782,391149
10007796,5,,1,2565408,2559159,2724669,1884823,2244709
10007796,5,,2,3562497,2813480,2649607,2233821,2207678
10007796,5,,3,28874,16049,37703,53465,123569
10007796,5,,4,131448,172950,79364,103467,203386
10007796,5,,5,382009,492230,436728,495010,270941
10007796,5,,6,291848,65564,76066,94948,59679
10007796,5,,8,7617,37515,30829,225949,42662
10007796,5,,9,0,3390,42217,1828,0
10007796,5,,11,0,4422,29018,36938,200570
10007796,5,,12,136274,138614,104011,15595,1604
10007796,5,,13,0,1688,0,0,0
10007796,5,,14,0,0,12959,0,1552
10007796,5,,15,77374,143019,76616,212453,82745
10006842,5,,1,998563,882140,740235,955374,1709955
10006842,5,,2,151716,103424,155602,159424,202755
10006842,5,,3,0,3743,5710,3712,3344
10006842,5,,4,34061,24065,24430,32882,10929
10006842,5,,5,38039,14527,0,0,1875
10006842,5,,6,12021,32536,37108,66873,84786
10006842,5,,9,0,0,0,4016,25986
10006842,5,,11,0,0,2500,2088,3505
10006842,5,,12,5233,0,3758,41426,46749
10006842,5,,13,0,0,23244,31041,37277
10006842,5,,15,79429,49505,25532,44327,34164
10007784,5,,1,11456000,11861000,11669000,12529000,13711000
10007784,5,,2,10462000,11848000,11494000,13159000,14348000
10007784,5,,3,667000,657000,488000,47000,57000
10007784,5,,4,148000,196000,183000,28000,79000
10007784,5,,5,239000,392000,251000,223000,273000
10007784,5,,6,2131000,2523000,2861000,3393000,5165000
10007784,5,,7,285000,100000,99000,78000,74000
10007784,5,,8,3000,0,0,78000,211000
10007784,5,,9,0,207000,377000,434000,521000
10007784,5,,10,32000,160000,103000,36000,74000
10007784,5,,11,29000,42000,95000,103000,86000
10007784,5,,12,532000,441000,435000,389000,461000
10007784,5,,13,64000,3000,31000,25000,32000
10007784,5,,14,35000,56000,128000,87000,69000
10007784,5,,15,105488,164772,91090,433263,75461
10007798,5,,1,15524440,15554129,15215733,13691986,13969286
10007798,5,,2,11836607,11364397,11559026,11486130,10733451
10007798,5,,3,617718,538187,390439,71079,31299
10007798,5,,4,161625,295411,506061,476109,363371
10007798,5,,5,310375,426614,580992,569132,904781
10007798,5,,6,899498,982575,1119291,1351190,1864801
10007798,5,,7,49063,60697,78166,71399,82684
10007798,5,,8,45468,105699,185519,174659,238354
10007798,5,,9,104053,62295,-2560,-2074,21305
10007798,5,,10,29285,298311,289194,344804,267697
10007798,5,,11,250317,194658,260985,233399,59802
10007798,5,,12,145420,72909,89392,109105,66480
10007798,5,,13,317,0,947,7177,0
10007798,5,,15,583956,515359,285704,365472,203217
10007799,5,,1,4007634,4022718,3481210,2519053,2314396
10007799,5,,2,720230,790554,1023195,1801538,1741497
10007799,5,,3,144189,186331,16466,13249,39053
10007799,5,,4,212650,69146,57724,13350,5188
10007799,5,,5,364795,423044,1140447,79574,68885
10007799,5,,6,851494,900014,1070095,1363964,1743751
10007799,5,,7,394,4565,579,0,0
10007799,5,,8,2682,89360,123030,60987,-318
10007799,5,,9,4074,7422,4493,3,16451
10007799,5,,11,0,0,6306,46262,12724
10007799,5,,13,500,2167,0,0,20161
10007799,5,,14,0,0,0,32091,251070
10007799,5,,15,225745,196067,250859,279987,116042
10007154,5,,1,5087000,5844000,5661000,4779000,5094000
10007154,5,,2,2882000,2506000,2154000,1747000,1553000
10007154,5,,3,438000,435000,312000,306000,368000
10007154,5,,4,228000,249000,278000,319000,254000
10007154,5,,5,472000,400000,427000,654000,805000
10007154,5,,6,947000,1034000,715000,904000,1069000
10007154,5,,7,3000,2000,0,1000,0
10007154,5,,8,380000,462000,447000,395000,299000
10007154,5,,9,51000,20000,42000,154000,106000
10007154,5,,10,115000,70000,2000,6000,73000
10007154,5,,11,294000,425000,375000,559000,498000
10007154,5,,12,202000,151000,277000,190000,295000
10007154,5,,13,0,0,13000,32000,52000
10007154,5,,14,10000,6000,17000,15000,21000
10007154,5,,15,27107,54935,101002,45830,66873
10007774,5,,1,16286113,16052070,15740921,15360448,15664411
10007774,5,,2,19483624,20658435,21101667,25375683,21833892
10007774,5,,3,4018984,1475301,1677812,1860480,2332820
10007774,5,,4,1000598,894977,946317,984593,976614
10007774,5,,5,471040,482417,711436,437453,776839
10007774,5,,6,2838811,4060110,4972022,6139054,7154008
10007774,5,,7,84261,80084,135990,206378,169872
10007774,5,,8,61006,167677,496002,300673,834168
10007774,5,,9,0,24686,246,1708,0
10007774,5,,10,1206791,940438,1097807,1025208,1349855
10007774,5,,11,1170241,1105178,1266844,1967831,1603260
10007774,5,,12,2391901,2807525,2795964,2589556,3438188
10007774,5,,13,4351,4028,92076,188085,260461
10007774,5,,14,0,0,0,31639,179774
10007774,5,,15,746407,818098,1147779,862505,326755
10004930,5,,1,515309,379433,255330,359114,353233
10004930,5,,2,120953,185493,160219,166771,100187
10004930,5,,3,0,371,25299,38423,41507
10004930,5,,4,0,0,0,0,4299
10004930,5,,5,0,0,414,0,0
10004930,5,,6,72564,148397,129216,214041,224089
10004930,5,,9,0,0,13626,11374,0
10004930,5,,10,8250,-82,0,8231,358
10004930,5,,12,0,41154,11505,14274,1616
10004930,5,,13,45020,16177,35490,3642,510
10004930,5,,15,0,57000,57000,126000,42000
10007775,5,,1,2061404,2288655,2532231,2672277,2466707
10007775,5,,2,91926,166676,245213,299045,272095
10007775,5,,4,163346,177209,190701,278344,147329
