,A*,A,B,C,Av. Rank,Four Str
10007148,13,20,4,4,3.024390243902439,9.5
10007147,29,81,5,8,3.065040650406504,8.5
10007150,4,10,0,0,3.066666666666667,23.5
10007155,5,32,0,0,3.135135135135135,21.6
10007855,29,44,1,6,3.2,13.4
10007796,80,81,21,9,3.2146596858638743,9.0
10007141,26,54,1,0,3.308641975308642,9.5
10007856,21,16,2,3,3.3095238095238093,2.1
10007767,13,29,0,0,3.3095238095238093,23.3
10004113,34,29,8,1,3.3333333333333335,6.7
10007794,73,58,20,0,3.3509933774834435,13.7
10007143,101,151,7,0,3.362934362934363,21.8
10007806,33,53,0,0,3.383720930232558,20.0
10003957,33,49,0,0,3.402439024390244,22.4
10007798,113,102,12,3,3.4130434782608696,17.6
10007775,30,39,1,0,3.414285714285714,23.1
10007792,67,65,3,1,3.4306569343065694,21.9
10007786,96,59,18,0,3.4310344827586206,18.8
10007768,84,33,0,13,3.4461538461538463,27.6
10007784,235,157,15,13,3.461904761904762,18.6
10007795,41,42,1,0,3.4761904761904763,13.6
10007774,239,160,19,0,3.4928909952606637,33.2
10006842,67,34,11,0,3.5,17.4
10007160,54,43,1,1,3.515151515151515,15.8
10007788,268,179,16,1,3.538793103448276,23.9
10003270,244,136,18,1,3.543640897755611,23.6
10007814,42,25,3,0,3.557142857142857,21.6
10007158,68,41,0,2,3.5765765765765765,25.0
10007154,108,72,2,0,3.5824175824175826,20.7
10007167,86,40,3,3,3.5833333333333335,18.2
10003645,57,30,0,2,3.595505617977528,22.7
10005553,60,28,3,1,3.597826086956522,17.8
10007157,62,33,2,0,3.618556701030928,23.6
10007790,135,75,3,0,3.619718309859155,26.8
10005343,94,51,1,0,3.636986301369863,25.3
10006840,101,36,7,0,3.6527777777777777,22.9
10007805,73,32,1,1,3.6542056074766354,27.0
10007764,52,13,3,1,3.681159420289855,21.5
10007803,86,30,1,0,3.7264957264957266,26.8
10007163,148,49,2,0,3.7336683417085426,24.1
10007850,63,12,2,0,3.792207792207792,15.5
