,2* + 1* Output (%),4* Output (%),Average Citations per Submission,Income per Submission (millions)
0,9.0,25.0,28.0,0.17524263855421687
1,16.0,23.0,56.57333333333333,0.44593990666666666
2,15.0,23.0,35.02116402116402,0.28591868253968256
3,9.0,38.0,42.76113360323887,0.41136248785425095
4,41.0,6.0,14.175,0.044023887500000004
5,4.0,31.0,42.75684931506849,0.31021191095890405
6,10.0,23.0,36.55244755244755,0.19380831468531468
7,34.0,7.0,27.1953125,0.1796324921875
8,59.0,6.0,9.512195121951219,0.05123258536585366
9,8.0,35.0,47.58165548098434,0.5167047651006711
10,22.0,15.0,46.651162790697676,0.245475
11,25.0,27.0,30.9375,0.42127081250000004
12,14.0,18.0,35.28421052631579,0.0889333052631579
13,19.0,24.0,48.45454545454545,0.3070077651515151
14,9.0,25.0,21.54022988505747,0.30572402298850576
15,19.0,21.0,25.596938775510203,0.7203417295918367
16,10.0,17.0,45.0735294117647,0.7203004117647057
17,19.0,23.0,39.9375,0.1161426375
18,10.0,23.0,33.97940503432494,0.5233821510297483
19,50.0,4.0,12.506666666666666,0.06930599999999999
20,8.0,38.0,48.31325301204819,0.4967176224899598
21,4.0,37.0,32.515625,0.18948607812500004
22,8.0,43.0,64.6092715231788,0.4464268013245033
23,11.0,17.0,67.0,0.16352
24,10.0,17.0,61.0,0.20770193975903614
25,14.0,14.0,29.161290322580644,0.35006962365591404
26,10.0,23.0,54.17272727272727,0.5554259090909092
27,6.0,31.0,55.65546218487395,0.43085505042016803
28,16.0,25.0,16.88888888888889,0.3524558888888889
29,22.0,17.0,54.76923076923077,0.36579745054945056
30,6.0,29.0,37.1588785046729,0.40241405607476644
31,23.0,21.0,20.340740740740742,0.262654162962963
32,4.0,37.0,41.2262443438914,0.48919631674208136
33,12.0,22.0,43.20886075949367,0.6254264556962025
34,10.0,25.0,31.53846153846154,0.18940703846153847
35,4.0,37.0,52.62204724409449,0.3004530393700787
36,4.0,40.0,28.763636363636362,0.2606856909090909
37,52.0,1.0,11.127659574468085,0.13255699999999998
38,1.0,31.0,56.567567567567565,0.4393022972972973
39,21.0,10.0,16.44871794871795,0.11621734615384617
40,12.0,23.0,26.03048780487805,0.3218384329268293
