"JointSubmissionId","Institution","UnitOfAssessment","MultipleSubmission","StaffIdentifier","OutputNumber","Year","OutputType","LongTitle","ShortTitle","Pagination","Publisher","Editors","ISBN","PublicationDate","EndDate","URL","DOI","OtherDetails","EnglishAbstract","ResearchGroup","IsInterdisciplinary","NumberofAdditionalAuthors","CoAuthor1","CoAuthor1External","CoAuthor2","CoAuthor2External","CoAuthor3","CoAuthor3External"
,"0110",34,,796157,1,,"D","Generalised Linear Mixed Models for Ordered Responses in Complex Multilevel Structures: Effects Beneath the School or College in Education","168","159-183","Journal of the Royal Statistical Society, Series A (Statistics in Society)",,"1467-985X",2004-Dec-01,,,"10.1111/j.1467-985X.2004.00342.x",,,,False,0,"Yang, M",True,,,,
,"0110",34,,796157,2,,"D","Scaling for Residual Variance Components of Ordered Category Responses in Generalised Linear Mixed Multilevel Models","38","425-433","Quality and Quantity: The European Journal of Methodology",,"1573-7845",2004-Aug-01,,,"10.1023/B:QUQU.0000043118.19835.6c",,,,False,0,,,,,,
,"0110",34,,796157,3,,"D","Multilevel Ordinal Models for Examination Grades","3","127-153","Statistical Modelling",,"1477-0342",2003-Jul-01,,,"10.1191/1471082X03st052oa",,,,False,0,"Goldstein, H",True,"Yang, M",True,,
,"0110",34,,796157,4,,"D","Measuring the relationship between resources and outcomes in higher education in the UK","20","589-602","Economics of Education Review",,"0272-7757",2001-Sep-01,,,"10.1016/S0272-7757(00)00037-6",,,,False,0,"Belfield, CR",False,,,,
,"0110",34,,796178,1,,"D","The Real Effects of Monetary Policy in China: An Empirical Analysis","18","87-111","China Economic Review",,"1043-951X",2006-May-01,,,"10.1016/j.chieco.2005.11.002",,,,False,0,"Liu, J",True,,,,
,"0110",34,,796178,2,2002,"B","Monetary Policy, Capital Flows and Exchange Rates: Essays in Honour of Professor Maxwell Fry",,"1-290","Routledge",,"0415251354",,,,,"please assess authored chapters as well as the overall book",,,False,0,"Allen, W",True,,,,
,"0110",34,,796178,3,2001,"B","Financial and Monetary Integration in the New Europe",,"1-474","Edward Elgar",,"1840642467",,,,,"please assess authored chapters as well as the overall book",,,False,0,"Mullineux, AW",False,,,,
,"0110",34,,796178,4,,"D","Lessons from the East Asian financial crisis: A financial sector perspective","32","133-42","Geoforum",,"0016-7185",2001-Feb-01,,,"10.1016/S0016-7185(00)00042-7",,,,False,0,"Mullineux, AW",False,,,,
,"0110",34,,796156,1,,"D","The Rise of Free Market Economics: Economists and the Role of the State Since 1970","37","355-392","History of Political Economy",,"1527-1919",2005-Jan-01,,,"10.1215/00182702-37-Suppl_1-355",,,,False,0,,,,,,
,"0110",34,,796156,2,,"D","What Was Lost with IS-LM","36(Supplement)","25-56","History of Political Economy",,"0018-2702",2003-Apr-01,,,,,,,False,0,"Laidler, DW",True,,,,
