UKPRN,UnitOfAssessment,MultipleSubmission,Identifier,OutputType,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsNonEnglishOutput,IsInterdisciplinary,ProposeDoubleWeighting,IsReserveOutput,DoubleWeightingStatement,EnglishAbstract,ResearchGroup,CitedByCount,CrossReferToUoa,CitationsApplicable,AdditionalInformation
10007850,12,,3348981,D,The use of prior knowledge to accelerate the determination of the permissible operating envelope of an internal combustion engine,,,"Proceedings of the Institution of Mechanical Engineers, Part D: Journal of Automobile Engineering",225,2,206,,,0954-4070,10.1243/09544070JAUTO1582,,2011,http://dx.doi.org/10.1243/09544070JAUTO1582,2,False,,False,False,,,A,,,False,"An output from a 5-year programme of research funded by Cosworth Technology (now Mahle Powertrain), which was also supported by the Akehurst's EPSRC Advanced Research Fellowship (EP/C540883/1 and EP/C540891/1). The success of this work resulted in the techniques being applied to low CO2 engine development in the £4.2M TSB ‘Ultraboost’ project (TP BN008E 400135, with £589k to Bath ), aiming to reduce engine CO2 emissions by 35%. The project partners include Jaguar Land Rover, Lotus, and Shell."
10007850,12,,3348982,D,Modelling the performance of a continuously variable supercharger drive system,,,"Proceedings of the Institution of Mechanical Engineers, Part D: Journal of Automobile Engineering",225,10,1399,,,0954-4070,10.1177/0954407011406320,,2011,http://dx.doi.org/10.1177/0954407011406320,2,False,,False,False,,,A,,,False,"This is the first study into the performance benefits of a CVT system applied to a supercharger drive as an engine downsizing enabling technology. This work originated from a 5-year programme of research funded by Intersyn Technologies & Orbital Traction (USA) and it was also supported by Akehurst’s EPSRC Advanced Research Fellowship (EP/C540883/1 and EP/C540891/1). The research has led to interest from Jaguar Land Rover and further analysis is being undertaken under a current £4.2M TSB funded programme (TP BN008E 400135, with £589k to Bath). Project partners include Jaguar Land Rover, Shell and Lotus."
10007850,12,,3348979,D,Systems approach to the improvement of engine warm-up behaviour,,,"Proceedings of the Institution of Mechanical Engineers, Part D: Journal of Automobile Engineering",225,2,190,,,0954-4070,10.1243/09544070JAUTO1595,,2011,http://dx.doi.org/10.1243/09544070JAUTO1595,6,False,,False,False,,,A,,,False,"A collaborative paper on work funded by the TSB on ’engine optimisation for reduced parasitic losses’ project (TP/9/LCV/6/1/S0052K) with Ford, BP, Mahle and academic partners. Results from a novel and complex configuration of engine and cooling oil arrangements were subject to extensive experimental and statistical evaluations. This highlighted previous unknown system interactions affecting the fuel economy of diesel engines during warm up. The work is being exploited by Ford in the implementation of hardware and lubricant technologies in the ECOnetic range of vehicles which made up half of European sales in 2012 (Mr Scarisbrick, former Ford Technical Specialist - andy@adscol.co.uk)."
10007850,12,,3348995,D,Steady-state steering of a tilting three-wheeled vehicle,,,Vehicle System Dynamics,48,7,815,,,0042-3114,10.1080/00423110903147474,,2010,http://dx.doi.org/10.1080/00423110903147474,4,False,,False,False,,,A,,,False,"The unique nature of tilting vehicle dynamics requires a controller that combines both active steering and body tilt control. This paper builds on experimental measurements undertaken by the authors to propose a controller that will help prevent roll-over without compromising the path following capabilities of the vehicle. This controller has subsequently been implemented on a prototype vehicle. The vehicle, originally designed as part of an EU funded project, was shown at a Royal Society Summer Science Exhibition and received publicity in Eureka Magazine (07/09) as well as international TV coverage."
10007850,12,,3348996,D,Prediction of the pressure-flow characteristic of a Belleville washer-based damper valve,,,"Proceedings of the Institution of Mechanical Engineers, Part D: Journal of Automobile Engineering",225,8,1033,,,0954-4070,10.1177/0954407011403977,,2011,http://dx.doi.org/10.1177/0954407011403977,2,False,,False,False,,,A,,,False,"This extensive simulation and experimental study into the flow dynamics of vehicle damper valves identifies a new approach for the design of components that were previously selected by industry on a trial and error basis. The work was undertaken with Horstman Defence, which has adopted the analysis method in its product design process."
10007850,12,,3348997,D,The vibration control of speed-dependent flexible rotor/magnetic bearing systems using linear matrix inequality gain-scheduled H-∞ design,,,"Proceedings of the Institution of Mechanical Engineers, Part I: Journal of Systems and Control Engineering",222,2,97,,,0959-6518,10.1243/09596518jsce445,,2008,http://dx.doi.org/10.1243/09596518jsce445,1,False,,False,False,,,A,,,False,"The first implementation of magnetic bearing control under the LMI structure, which enables rigorously stable operation to be guaranteed, is derived. It has led to further collaboration with researchers (Ulbrich, Thümmel, Ginzinger and Heckmann) at the Technical University of Munich in the magnetic bearing control field. Dr Ginzinger spent 6 months in Bath over 2009-2010 in this process. The research content was a leading reason for Keogh to be nominated as Convenor of ISO/TC108/SC2/WG7 in 2009."
10007850,12,,3348998,D,Hydraulic actuation of multi-body structures through large-scale motions. Part 1: development and validation of system model,,,"Proceedings of the Institution of Mechanical Engineers, Part C: Journal of Mechanical Engineering Science",222,2,181,,,0954-4062,10.1243/09544062JMES530,,2008,http://dx.doi.org/10.1243/09544062JMES530,2,False,,False,False,,,A,,,False,"The controlled actuation of flexible structures through large motions and with high dynamic precision is originated. The fundamental results led to the concepts incorporated into the £492k EPSRC grant EP/D060478/1 ‘Integrated systems for high bandwidth ultra high precision actuation’. This paper was associated with Part 2: Controller design and performance (222, 3, p. 365-375). The combination received the 2008 PE Publishing Award by the Editorial Board of the Proceedings of the Institution of Mechanical Engineers, Part C: Journal of Mechanical Engineering Science."
10007850,12,,3348999,D,Contact dynamic phenomena in rotating machines: active/passive considerations,,,Mechanical Systems and Signal Processing,29,,19,,,0888-3270,10.1016/j.ymssp.2011.06.024,,2012,http://dx.doi.org/10.1016/j.ymssp.2011.06.024,0,False,,False,False,,,A,,,False,"This is the first published work to express rub induced dynamic thermal bending of a rotor in terms of a Nyquist formulation, hence to enable rigorous stability assessments to be made. The research was funded by the £314k EPSRC grant EP/D031389/1 ‘Controlled escape from trapped contact modes in magnetic bearing systems’. It was originally delivered as a Keynote paper at the 8th IFToMM International Conference on Rotordynamics in Seoul, Korea in 2010. Further opportunities have arisen through the design and manufacture of a bespoke rotor/magnetic bearing facility for GE Global Research (Munich)."
10007850,12,,3349029,D,Measured dynamic properties of flexible hoses,,,Journal of Vibration and Acoustics-Transactions of the Asme,132,2,,021011,,1048-9002,10.1115/1.4000774,,2010,http://asmedl.aip.org/VibrationAcoustics/,2,False,,False,False,,,A,,,False,"This paper is the first to quantify rigorously the dynamic properties of a wide range of flexible hoses, enabling the modelling of a wide range of essential hydraulic systems with confidence, such as safety-critical aircraft and submarine systems. It arose from an industrially funded project (Eaton, £154k), an EPSRC studentship and other industrial collaboration. The hose model and data are used in Bath’s Prasp and Tune software programs, used by several companies in the UK, Europe and USA including John Deere, GM, Nexteer, Tofas, Eaton and Airbus."
10007850,12,,3349030,D,Piezoelectrically actuated hydraulic valve design for high bandwidth and flow performance,,,"Proceedings of the Institution of Mechanical Engineers, Part I: Journal of Systems and Control Engineering",225,3,345,,,0959-6518,10.1177/09596518JSCE1037,,2011,http://dx.doi.org/10.1177/09596518JSCE1037,5,False,,False,False,,,A,,,False,"This paper was awarded the 2011 IMechE Donald Julius Groen Prize. It was the major output from EPSRC project EP/D060478/1 (£492k). The valve is based on a unique combination of piezoelectric actuation and ultra-high flow gain using multiple grooves, to give the invaluable characteristics of high bandwidth and high flow needed for modern high performance control systems. The valve has facilitated a PhD project on active control of fluid-borne noise."
10007850,12,,3349031,D,On the use of actively controlled auxiliary bearings in magnetic bearing systems,,,Journal of Engineering for Gas Turbines and Power: Transactions of the ASME,131,2,,022507,,0742-4795,10.1115/1.2982159,,2009,http://dx.doi.org/10.1115/1.2982159,3,False,,False,False,,,A,,,False,"This paper resulted from research funded by the EPSRC (EP/D031389/1, value £314k). A novel strategy was designed to control the contact modes of a magnetic bearing/rotor system through active auxiliary bearings. The reduction of contact force levels and contact durations leads to longer operational life of rotating machinery; hence the research has significant positive impact on the efficiency and cost of conventional and renewable energy/power generation plants."
10007850,12,,3349032,D,Experiments on the transient performance of an adaptive multi-objective controller for rotating machinery,,,Journal of Engineering for Gas Turbines and Power: Transactions of the ASME,133,2,,022503,,0742-4795,10.1115/1.4002016,,2011,http://dx.doi.org/10.1115/1.4002016,3,False,,False,False,,,A,,,False,"The work covered in this paper received great interest from academic and industrial participants at the ASME Turbo 2010 conference. One of the journal referees commented: ‘This is a great paper, of both immediate and continuing value’. The paper was pivotal in setting up industrial links with Calnetix Inc (Larry Hawkins, Director of Technology, lhawkins@calnetix.com) and Capstone Turbine Corporation (Dan Lubell, Manager, recently moved to Calnetix dlubell@calnetix.com) in the USA, both of which have significant interest in energy generation/recovery and distributed power systems. The visit to these companies was supported by the EPSRC (EP/J003034/1, value £11k)."
10007850,12,,3349033,D,A multiobjective adaptive controller for magnetic bearing systems,,,Journal of Engineering for Gas Turbines and Power: Transactions of the ASME,132,12,,122503,,0742-4795,10.1115/1.4001060,,2010,http://dx.doi.org/10.1115/1.4001060,3,False,,False,False,,,A,,,False,"A key factor in smart machines is the ability to reconfigure when a fault has been diagnosed. This paper introduces a novel adaptive control technique to be used with controllable elements, such as active magnetic bearings, as a significant step towards achieving autonomous smart rotating machines. This work has led to increased capabilities and more robust operation of turbomachinery, and to collaboration with GE Global Research, Munich (Kunal Goray, kunal.goray@ge.com) through the design and commissioning of a magnetic bearing rig for oil and gas technology development."
10007850,12,,3349034,D,An adaptive multi-objective controller for flexible rotor and magnetic bearing systems,,,Journal of Dynamic Systems Measurement and Control - Transactions of the ASME,133,3,,031003,,0022-0434,10.1115/1.4003421,,2011,http://dx.doi.org/10.1115/1.4003421,2,False,,False,False,,,A,,,False,"This is the first paper to tackle three interrelated problems associated with rotating machinery to automatically cater for changes in the system dynamics and external disturbances. This greatly improves fault tolerance capability and safety of rotating machinery with active elements. This paper led to the securing of a funded project from the British Heart Foundation (PG/12/17/29448, value £122k) to investigate the use of magnetically levitated pumps, integrated with conducting polymers, to introduce pulsatile pumping action and overcome current limitations of heart assist pumps for children."
