UKPRN,UnitOfAssessment,MultipleSubmission,TotalCategoryAFte,TotalCategoryCHeadCount,TotalHeadCount
10007850,12,,61,0,62
10006840,12,A,21,0,21
10006840,12,B,32.5,0,33
10007785,12,,16.8,0,17
10000886,12,,8.5,0,9
10000961,12,,63.27,0,67
10007788,12,,32.3,0,33
10007822,12,,156.7,0,160
10007146,12,,9,0,9
10003270,12,,172.8,0,185
10007795,12,,31.55,0,34
10003957,12,,13,0,13
10007784,12,,54.16,0,55
10004113,12,,127.4,0,130
10007798,12,A,33.9,0,37
10007798,12,B,34.38,0,38
10007799,12,,43.45,0,45
10007138,12,,6.75,0,8
10007155,12,,18,0,18
10007157,12,A,44.6,0,45
10007157,12,B,30,0,30
10007159,12,,12.25,0,13
10007166,12,,12,0,12
10007805,12,,67.2,0,68
10005343,12,,49.5,0,50
