UKPRN,UnitOfAssessment,MultipleSubmission,Identifier,OutputType,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsNonEnglishOutput,IsInterdisciplinary,ProposeDoubleWeighting,IsReserveOutput,DoubleWeightingStatement,EnglishAbstract,ResearchGroup,CitedByCount,CrossReferToUoa,CitationsApplicable,AdditionalInformation
10000961,24,,100208,D,"Things that don't come by the road: Folktales, fosterage, and memories of slavery in the Cameroon grassfields",,,Comparative Studies in Society and History,52,02,224,,,0010-4175,10.1017/S0010417510000034,,2010,http://journals.cambridge.org/action/displayFulltext?type=1&fid=7577080&jid=CSS&volumeId=52&issueId=02&aid=7577072&bodyId=&membershipNumber=&societyETOCSession=,0,False,,False,False,,,,,,False,
10000961,24,,100215,D,Will mass drug administration eliminate lymphatic filariasis? Evidence from northern coastal Tanzania,,,Journal of Biosocial Science,45,4,517,,,1469-7599,10.1017/S0021932012000466,,2012,http://journals.cambridge.org/action/displayFulltext?type=1&fid=8700073&jid=JBS&volumeId=-1&issueId=-1&aid=8700071&bodyId=&membershipNumber=&societyETOCSession=,1,False,,False,False,,,,,,False,
10000961,24,,132530,D,The tell-tale heart: Conversion and emotion in Nias,,,Ethnos: Journal of Anthropology,77,3,295,,,1469-588X,10.1080/00141844.2011.609943,,2012,http://www.tandfonline.com/doi/pdf/10.1080/00141844.2011.609943,0,False,,False,False,,,,,,False,
10000961,24,,132537,D,"Counterparts: Clothing, value and the sites of otherness in Panapompom ethnographic encounters",,,Anthropological Forum,18,1,17,,,1469-2902,10.1080/00664670701858927,,2008,http://www.tandfonline.com/doi/pdf/10.1080/00664670701858927,0,False,,False,False,,,,,,False,
10000961,24,,132538,D,"‘Go on, just try some!’: Meat and meaning-making among South Indian Christians",,,South Asia: Journal of South Asian Studies,31,1,36,,,0085-6401,10.1080/00856400701874700,,2008,http://www.tandfonline.com/doi/pdf/10.1080/00856400701874700,0,False,,False,False,,,,,,False,
10000961,24,,161233,D,To know or not to know? Practices of knowledge and ignorance among Bidayuhs in an ‘impurely’ Christian world,,,Journal of the Royal Anthropological Institute,15,2,332,,,1467-9655,10.1111/j.1467-9655.2009.01556.x,,2009,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-9655.2009.01556.x/pdf,0,False,,False,False,,,,,,False,
10000961,24,,161762,D,"Working out abjection in the Panapompom bêche-de-mer fishery: Race, economic change and the future in Papua New Guinea",,,The Australian Journal of Anthropology,21,2,149,,,1035-8811,10.1111/j.1757-6547.2010.00076.x,,2010,http://onlinelibrary.wiley.com/doi/10.1111/j.1757-6547.2010.00076.x/pdf,0,False,,False,False,,,,,,False,
10000961,24,,194186,D,Does mass drug administration for the integrated treatment of neglected tropical diseases really work? Assessing evidence for the control of schistosomiasis and soil-transmitted helminths in Uganda,,,Health Research Policy and Systems,9,3,1,,,1478-4505,10.1186/1478-4505-9-3,,2011,http://www.health-policy-systems.com/content/pdf/1478-4505-9-3.pdf,1,False,,False,False,,,,,,False,
10000961,24,,292415,D,"Children's moral reasoning about illness in Chhattisgarh, central India",,,Childhood,18,3,367,,,1461-7013,10.1177/0907568211407530,,2011,http://chd.sagepub.com/content/18/3/367.full.pdf,0,False,,False,False,,,,,,False,
10000961,24,,346929,D,"How did it feel for you? Emotion, narrative, and the limits of ethnography",,,American Anthropologist,112,3,430,,,0002-7294,10.1111/j.1548-1433.2010.01250.x,,2010,http://onlinelibrary.wiley.com/doi/10.1111/j.1548-1433.2010.01250.x/pdf,0,False,,False,False,,,,,,False,
