UKPRN,UnitOfAssessment,MultipleSubmission,TotalCategoryAFte,TotalCategoryCHeadCount,TotalHeadCount
10000961,24,,9,0,9
10007788,24,,35.88,0,39
10007143,24,,24.75,0,28
10007789,24,,23.8,0,28
10002718,24,,12.5,0,13
10007146,24,,8.7,0,10
10007150,24,,27.27,0,29
10003957,24,,13.2,0,14
10007784,24,,31.37,0,33
10004063,24,A,19.05,0,23
10004063,24,B,22.5,0,23
10007798,24,A,15.94,0,18
10007798,24,B,26.25,0,28
10007773,24,,22.1,0,24
10007780,24,A,18,0,18
10007780,24,B,38.65,0,42
10007774,24,A,55.8,0,58
10007774,24,B,44.13,1,48
10007776,24,,11,0,11
10007806,24,,18.5,0,19
10007783,24,,11,0,11
10007790,24,,34.45,0,37
10005337,24,,8.6,0,10
10007803,24,,14.66,0,15
10005343,24,,14.5,0,15
