UKPRN,UnitOfAssessment,MultipleSubmission,Identifier,OutputType,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsNonEnglishOutput,IsInterdisciplinary,ProposeDoubleWeighting,IsReserveOutput,DoubleWeightingStatement,EnglishAbstract,ResearchGroup,CitedByCount,CrossReferToUoa,CitationsApplicable,AdditionalInformation
10000291,5,,2158843,D,Signal diffusion and the mitigation of social exploitation in pneumococcal competence signalling,,,Proceedings of the Royal Society B: Biological Sciences,277,1696,2991,,,1471-2954,10.1098/rspb.2010.0659,,2010,,2,False,,False,False,,,,9,,True,
10000291,5,,2163599,D,Significant variation in transformation frequency in Streptococcus pneumoniae,,,The ISME Journal,7,4,791,,,1751-7370,10.1038/ismej.2012.170,,2013,,1,False,,False,False,,,,1,,True,
10000291,5,,2164182,D,Transient Activation of Meox1 Is an Early Component of the Gene Regulatory Network Downstream of Hoxa2,,,Molecular and Cellular Biology,31,6,1301,,,0270-7306,10.1128/MCB.00705-10,,2011,,5,False,,False,False,,,,3,,True,
10000291,5,,2164934,D,Structural and Functional Analysis of the Tandem β-Zipper Interaction of a Streptococcal Protein with Human Fibronectin,,,Journal of Biological Chemistry,286,44,38311,,,1083-351X,10.1074/jbc.M111.276592,,2011,,7,False,,False,False,,,,10,,True,The author made a substantial contribution to the conception and design of the study; and to the organisation and the conduct of the study; and to carrying out the study (including acquisition of study data); and to analysis and interpretation of study data. The author helped draft the output; and critique the output for important intellectual content.
10000291,5,,2165883,D,Multiple Loss-of-Function Mechanisms Contribute to SCN5A-Related Familial Sick Sinus Syndrome,,,PLoS ONE,5,6,e10985,,,1932-6203,10.1371/journal.pone.0010985,,2010,,5,False,,False,False,,,,12,,True,
10000291,5,,2166409,D,Fibulin 5 Forms a Compact Dimer in Physiological Solutions,,,Journal of Biological Chemistry,284,38,25938,,,1083-351X,10.1074/jbc.M109.011627,,2009,,11,False,,False,False,,,,5,,True,
10000291,5,,2167954,D,Synergism between platelet collagen receptors defined using receptor-specific collagen-mimetic peptide substrata in flowing blood,,,Blood,115,24,5069,,,1528-0020,10.1182/blood-2010-01-260778,,2010,,5,False,,False,False,,,,24,,True,
10000291,5,,2169015,D,Putative GTPase GIMAP1 is critical for the development of mature B and T lymphocytes,,,Blood,115,16,3249,,,1528-0020,10.1182/blood-2009-08-237586,,2010,,9,False,,False,False,,,,9,,True,The author made a substantial contribution to carrying out the study (including acquisition of study data) and to the analysis and interpretation of study data. The author critiqued the output for important intellectual content.
10000291,5,,2268619,D,Targeted Allele Replacement Mutagenesis of Corynebacterium pseudotuberculosis,,,Applied and Environmental Microbiology,77,10,3532,,,0099-2240,10.1128/AEM.01740-10,,2011,http://aem.asm.org/content/77/10/3532,3,False,,False,False,,,,0,,True,
10000291,5,,2268701,D,"TetAB(46), a predicted heterodimeric ABC transporter conferring tetracycline resistance in Streptococcus australis isolated from the oral cavity",,,Journal of Antimicrobial Chemotherapy,68,1,17,,,1460-2091,10.1093/jac/dks351,,2012,http://jac.oxfordjournals.org/content/68/1/17,6,False,,False,False,,,,2,,True,
10000291,5,,2269455,D,"Genetic Organisation, Mobility and Predicted Functions of Genes on Integrated, Mobile Genetic Elements in Sequenced Strains of Clostridium difficile",,,PLoS ONE,6,8,e23014,,,1932-6203,10.1371/journal.pone.0023014,,2011,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0023014,4,False,,False,False,,,,13,,True,
10000291,5,,2986642,D,The need for transparency and good practices in the qPCR literature,,,Nature Methods,10,11,1063,,,1548-7105,10.1038/nmeth.2697,,2013,http://www.nature.com/nmeth/journal/v10/n11/full/nmeth.2697.html,83,False,,False,False,,,,,,True,
10000291,5,,2988887,D,Primer Sequence Disclosure: A Clarification of the MIQE Guidelines,,,Clinical Chemistry,57,6,919,,,1530-8561,10.1373/clinchem.2011.162958,,2011,http://www.clinchem.org/content/57/6/919.long,11,False,,False,False,,,,12,,True,
10000291,5,,2988894,D,The MIQE Guidelines: Minimum Information for Publication of Quantitative Real-Time PCR Experiments,,,Clinical Chemistry,55,4,611,,,1530-8561,10.1373/clinchem.2008.112797,,2009,http://www.ncbi.nlm.nih.gov/pubmed/19246619,11,False,,False,False,,,,1465,,True,
10000291,5,,2988896,D,Intracellular expression profiles measured by real-time PCR tomography in the Xenopus laevis oocyte,,,Nucleic Acids Research,36,2,387,,,1362-4962,10.1093/nar/gkm1024,,2008,,4,False,,False,False,,,,12,,True,
10000291,5,,2988900,D,CD74-dependent deregulation of the tumor suppressor scribble in human epithelial and breast cancer cells,,,Neoplasia (United States),15,6,660,,,15228002,10.1593/neo.13464,,2013,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3664998/pdf/neo1506_0660.pdf,6,False,,False,False,,,,0,,True,The author made a substantial contribution to the organisation of the conduct of the study and in carrying out the study (including acquisition of study data). The author critiqued the output for important intellectual content.
10000291,5,,3017780,D,Stat1 and CD74 overexpression is co-dependent and linked to increased invasion and lymph node metastasis in triple-negative breast cancer,,,Journal of Proteomics,75,10,3031,,,18743919,10.1016/j.jprot.2011.11.033,,2012,,8,False,,False,False,,,,13,,True,
10000291,5,,3017858,D,A peptide-centric approach to breast cancer biomarker discovery utilizing label-free multiple reaction monitoring mass spectrometry,,,PROTEOMICS - CLINICAL APPLICATIONS,3,1,78,,,18628354,10.1002/prca.200800072,,2009,,4,False,,False,False,,,,2,,True,
10000291,5,,3026495,D,Proteome Profiling of Breast Tumors by Gel Electrophoresis and Nanoscale Electrospray Ionization Mass Spectrometry,,,Journal of Proteome Research,7,4,1458,,,1535-3907,10.1021/pr7007829,,2008,,6,False,,False,False,,,,26,,True,
10000291,5,,3040525,A,Truth Machine: The Contentious History of DNA Fingerprinting.,,The University of Chicago Press,,,,,,9780226498072,,10.1080/00033790902981254,,2008,http://press.uchicago.edu/ucp/books/book/chicago/T/bo5885903.html,3,False,,False,False,,,,,23,False,
10000291,5,,3040547,D,Living Multiples: How Large-scale Scientific Data-mining Pursues Identity and Differences,,,"Theory, Culture & Society",30,4,72,,,1460-3616,10.1177/0263276413476558,,2013,http://tcs.sagepub.com/content/30/4/72.abstract,1,False,,False,False,,,,0,23,True,
10000291,5,,3040550,D,"Classifying, Constructing, and Identifying Life: Standards as Transformations of ""The Biological""",,,"Science, Technology & Human Values",38,5,701,,,1552-8251,10.1177/0162243912474324,,2013,http://sth.sagepub.com/content/38/5/701,6,False,,False,False,,,,0,23,True,
10000291,5,,3040556,D,"Articulating Scientific Practice with PROTEE: STS, Loyalties, and the Limits of Reflexivity",,,"Science, Technology & Human Values",38,4,470,,,1552-8251,10.1177/0162243912451340,,2012,http://sth.sagepub.com/content/38/4/470,1,False,,False,False,,,,2,23,True,
