UKPRN,UnitOfAssessment,MultipleSubmission,TotalCategoryAFte,TotalCategoryCHeadCount,TotalHeadCount
10000291,5,,7.25,0,8
10007850,5,,24.5,0,25
10007760,5,,21.2,0,26
10006840,5,,42.8,0,43
10007786,5,,64.6,0,65
10007788,5,,189.63,3,199
10003324,5,,34,0,35
10007851,5,,12,0,12
10007143,5,,39,0,39
10007789,5,,44,0,44
10007791,5,,23,0,23
10007792,5,,54.58,0,56
10007148,5,,13,0,13
10003270,5,,99.55,0,108
10007767,5,,12.4,0,13
10007150,5,,24.2,1,26
10003645,5,,73.85,1,81
10007795,5,,60.9,0,67
10007796,5,,37.4,0,41
10006842,5,,18,0,18
10007784,5,,172.9,1,191
10007798,5,,144.55,0,147
10007799,5,,30.6,0,32
10007154,5,,90.86,0,96
10007774,5,,223.8,0,226
10004930,5,,25.6,0,27
10007775,5,,23.39,0,25
10007802,5,,20.6,0,22
10005553,5,,24,0,24
10007156,5,,24.2,3,29
10007157,5,,44.9,0,47
10005790,5,,16.2,0,17
10007158,5,,34.8,0,35
10007806,5,,47.61,1,50
10007163,5,,44.88,0,47
10007139,5,,12.8,0,13
10007167,5,,44.37,0,47
10007783,5,,89.42,0,92
10007849,5,,13.6,0,14
10007852,5,,73.2,0,75
10007790,5,,109.7,0,112
10007794,5,,60.34,0,62
10007803,5,,50.45,0,54
10007814,5,,54.7,1,66
