UKPRN,UnitOfAssessment,MultipleSubmission,TotalCategoryAFte,TotalCategoryCHeadCount,TotalHeadCount
10007759,11,,18.2,0,19
10007850,11,,24,0,24
10007152,11,,34.6,0,39
10007760,11,,18.8,0,19
10006840,11,,40.6,0,43
10007140,11,,7.4,0,9
10000886,11,,14,0,14
10007786,11,,41.6,0,42
10000961,11,,30.5,0,31
10007788,11,,54.6,0,56
10007848,11,,4,0,4
10001478,11,,32,0,36
10001726,11,,13,0,13
10001883,11,,24.7,0,29
10007851,11,,12,0,12
10007143,11,,14.2,0,15
10007789,11,,18.2,0,19
10007144,11,,4,0,4
10007823,11,,5,0,5
10007791,11,,34.9,0,37
10007792,11,,10,0,10
10002718,11,,19.3,0,24
10007146,11,,14.2,0,15
10007147,11,,27.4,0,28
10007148,11,,14.4,0,16
10007149,11,,14.8,0,15
10003270,11,,49.45,0,54
10007767,11,,5,0,6
10007150,11,,29.1,0,32
10003645,11,,46,0,46
10003678,11,,10.2,0,11
10007768,11,,33,0,36
10007795,11,,24.97,0,26
10003861,11,,9,0,9
10007796,11,,20,0,20
10007151,11,,14.5,0,15
10006842,11,,24,0,24
10003956,11,,7,0,7
10003957,11,,9.7,0,10
10007784,11,,70.7,0,75
10004048,11,,5.4,0,6
10004113,11,,17.2,0,18
10007798,11,,44.86,0,46
10004180,11,,11.5,0,12
10004351,11,,53.1,0,56
10007799,11,,27.5,0,28
10001282,11,,13,0,13
10007154,11,,42.85,0,47
10004797,11,,14.25,0,15
10007773,11,,31.1,0,32
10007774,11,,73.5,0,76
10004930,11,,13,0,13
10007801,11,,12.4,0,14
10007155,11,,13,1,14
10007775,11,,30.5,0,31
10005553,11,,24.45,0,26
10007156,11,,13,0,13
10007157,11,,30.5,0,31
10007158,11,,44.2,0,48
10006299,11,,7.8,0,9
10007159,11,,13,0,15
10007160,11,,19.4,0,20
10007806,11,,14.6,0,16
10007161,11,,12.7,0,13
10007163,11,,24.4,0,26
10007164,11,,14.8,0,15
10006566,11,,10,0,10
10007165,11,,19.65,0,21
10007167,11,,34.8,0,36
10007783,11,,19,0,20
10007852,11,,11.7,0,13
10007790,11,,94.85,0,104
10007772,11,,10.7,0,12
10007794,11,,41.6,0,43
10007762,11,,13,0,13
10007764,11,,27.7,0,29
10005500,11,,18.75,0,19
10007803,11,,24,0,24
10007804,11,,14.4,0,16
10007805,11,,20.2,0,21
10007800,11,,14,0,14
10007856,11,,24.8,0,26
10007857,11,,10,0,10
10007814,11,,13.73,0,15
10007833,11,,6.4,0,8
10007793,11,,13.5,0,14
10007855,11,,19.6,0,20
10005343,11,,21.2,0,26
10007807,11,,39.6,0,42
