INSTID,UKPRN,"Region 
of provider",HE provider ,"Unit of 
assessment number",Unit of assessment name,"Multiple 
submission letter","Scaled FTE 
of eligible staff",
0047,10000291,EAST,Anglia Ruskin University,01,Clinical Medicine,Z,2,
0047,10000291,EAST,Anglia Ruskin University,02,"Public Health, Health Services and Primary Care",Z,21,
0047,10000291,EAST,Anglia Ruskin University,03,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,122,
0047,10000291,EAST,Anglia Ruskin University,04,"Psychology, Psychiatry and Neuroscience",Z,24,
0047,10000291,EAST,Anglia Ruskin University,05,Biological Sciences,Z,27,
0047,10000291,EAST,Anglia Ruskin University,06,"Agriculture, Veterinary and Food Science",Z,3,
0047,10000291,EAST,Anglia Ruskin University,07,Earth Systems and Environmental Sciences,Z,1,
0047,10000291,EAST,Anglia Ruskin University,08,Chemistry,Z,2,
0047,10000291,EAST,Anglia Ruskin University,10,Mathematical Sciences,Z,1,
0047,10000291,EAST,Anglia Ruskin University,11,Computer Science and Informatics,Z,18,
0047,10000291,EAST,Anglia Ruskin University,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,1,
0047,10000291,EAST,Anglia Ruskin University,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,10,
0047,10000291,EAST,Anglia Ruskin University,14,Civil and Construction engineering,Z,8,
0047,10000291,EAST,Anglia Ruskin University,15,General Engineering,Z,10,
0047,10000291,EAST,Anglia Ruskin University,16,"Architecture, Built Environment and Planning",Z,23,
0047,10000291,EAST,Anglia Ruskin University,17,"Geography, Environmental Studies and Archaeology",Z,19,
0047,10000291,EAST,Anglia Ruskin University,18,Economics and Econometrics,Z,4,
0047,10000291,EAST,Anglia Ruskin University,19,Business and Management Studies,Z,89,
0047,10000291,EAST,Anglia Ruskin University,20,Law,Z,21,
0047,10000291,EAST,Anglia Ruskin University,21,Politics and International Studies,Z,1,
0047,10000291,EAST,Anglia Ruskin University,22,Social Work and Social Policy,Z,37,
0047,10000291,EAST,Anglia Ruskin University,23,Sociology,Z,10,
0047,10000291,EAST,Anglia Ruskin University,25,Education,Z,54,
0047,10000291,EAST,Anglia Ruskin University,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,16,
