UKPRN,UnitOfAssessment,MultipleSubmission,TotalCategoryAFte,TotalCategoryCHeadCount,TotalHeadCount
10000291,36,,8.7,0,10
10000571,36,,7.4,0,8
10007152,36,,11.5,0,14
10007140,36,,11.21,0,12
10006841,36,,7.8,0,9
10000824,36,,24.8,0,26
10000886,36,,14.7,0,15
10000961,36,,19,0,19
10001143,36,,14.3,0,15
10007141,36,,8.85,0,11
10001478,36,,24.6,0,32
10001883,36,,10.8,0,12
10007851,36,,16.7,0,21
10007789,36,,9.5,0,10
10007144,36,,14.8,0,18
10007823,36,,12.3,0,14
10002718,36,,21,0,21
10003645,36,,33.05,0,35
10007795,36,,24.8,0,25
10003861,36,,29.75,0,30
10003863,36,,4.1,0,5
10007796,36,A,22,0,22
10007796,36,B,10.8,0,11
10007151,36,,6.4,0,7
10006842,36,,7.5,0,8
10003957,36,,13,0,13
10007784,36,,17.35,0,19
10004063,36,,14,0,14
10004048,36,,7.3,0,8
10004078,36,,10.2,0,14
10004113,36,A,16.8,0,18
10004113,36,B,30.7,0,35
10004351,36,,19.6,0,22
10007799,36,,14.35,0,15
10001282,36,A,13.6,0,14
10001282,36,B,7.4,0,9
10007154,36,,16,0,16
10004797,36,,11.7,0,13
10004930,36,,7.3,0,9
10007155,36,,11,0,12
10007776,36,,14,0,15
10005553,36,,13.2,0,15
10007843,36,,4.7,0,8
10007156,36,,16.8,0,17
10007157,36,,22.3,0,24
10005790,36,,24.8,0,25
10006022,36,,5.2,0,6
10006299,36,,13.5,0,14
10007159,36,,12.8,0,15
10007806,36,,25.5,0,29
10007164,36,,18,0,18
10006566,36,,2.6,0,3
10007165,36,,17.8,0,18
10003614,36,,12.75,0,13
10007166,36,,7,0,7
10007713,36,,6,0,6
10007772,36,,7.6,0,9
10007794,36,,23.8,0,25
10007762,36,,11.3,0,12
10005337,36,,9.2,0,10
10005500,36,,10.7,0,12
10007804,36,,14.7,0,16
10007800,36,,13.8,0,15
10007856,36,,6,0,6
10007814,36,,13.4,0,16
10007833,36,,4.2,0,6
10007807,36,,16.4,0,18
