UKPRN,UnitOfAssessment,MultipleSubmission,Identifier,OutputType,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsNonEnglishOutput,IsInterdisciplinary,ProposeDoubleWeighting,IsReserveOutput,DoubleWeightingStatement,EnglishAbstract,ResearchGroup,CitedByCount,CrossReferToUoa,CitationsApplicable,AdditionalInformation
10007760,18,,667427,D,Lending relationships and monetary policy,,Wiley,Economic Inquiry,51,1,368,,,0095-2583,10.1111/j.1465-7295.2012.00453.x,,2013,http://eprints.bbk.ac.uk/5818/,2,False,,False,False,,,,0,,True,
10007760,18,,667429,D,Non-linearities and unit roots in G7 macroeconomic variables,,,The B.E. Journal of Macroeconomics (Topics),8,1,n/a,5,,1935-1690,10.2202/1935-1690.1508,,2008,http://eprints.bbk.ac.uk/666/,1,False,,False,False,,,,4,,True,
10007760,18,,667433,D,"U.S. fiscal indicators, inflation and output",,Elsevier,The North American Journal of Economics and Finance,22,3,221,,,1062-9408,10.1016/j.najef.2011.02.001,,2011,http://eprints.bbk.ac.uk/3181/,1,False,,False,False,,,,1,,True,
10007760,18,,667436,D,Functionals of exponential Brownian motion and divided differences,,,Journal of Computational and Applied Mathematics,236,4,424,,,0377-0427,10.1016/j.cam.2011.06.010,,2011,http://eprints.bbk.ac.uk/3050/,1,False,,False,False,,,,0,10,True,
10007760,18,,667438,D,Invertible and non-invertible information sets in linear rational expectations models,,,Journal of Economic Dynamics and Control,35,3,295,,,0165-1889,10.1016/j.jedc.2010.11.002,,2011,http://eprints.bbk.ac.uk/2987/,2,False,,False,False,,,,2,,True,
10007760,18,,667440,D,On kernel engineering via Paley–Wiener,,,Calcolo,48,1,21,,,0008-0624,10.1007/s10092-010-0025-6,,2010,http://eprints.bbk.ac.uk/3041/,0,False,,False,False,,,,0,10,True,
10007760,18,,667442,D,On spherical averages of radial basis functions,,,Foundations of Computational Mathematics,8,3,395,,,1615-3375,10.1007/s10208-007-9021-x,,2008,http://eprints.bbk.ac.uk/1920/,0,False,,False,False,,,,2,10,True,
10007760,18,,667444,D,A micro-econometric approach to geographic market definition in local retail markets: demand side considerations,,,"Economics: The Open-Access, Open-Assessment E-Journal",4,,n/a,2010-29,,1864-6042,10.5018/economics-ejournal.ja.2010-29,,2010,http://eprints.bbk.ac.uk/2911/,0,False,,False,False,,,,,,True,
10007760,18,,667446,D,Price-concentration analysis in merger cases with differentiated products,,,"Economics: The Open-Access, Open-Assessment E-Journal",4,,n/a,2010-16,,1864-6042,10.5018/economics-ejournal.ja.2010-16,,2010,http://eprints.bbk.ac.uk/1923/,1,False,,False,False,,,,,,True,
10007760,18,,667448,D,Maximal uniform convergence rates in parametric estimation problems,,,Econometric Theory,26,2,469,,,0266-4666,10.1017/S0266466609100063,,2010,http://eprints.bbk.ac.uk/2912/,1,False,,False,False,,,,0,,True,
10007760,18,,667450,D,Heterogeneity and the non-parametric analysis of consumer choice: conditions for invertibility,,,Review of Economic Studies,75,4,1069,,,0034-6527,10.1111/j.1467-937X.2008.00500.x,,2008,http://eprints.bbk.ac.uk/1921/,1,False,,False,False,,,,0,,True,
10007760,18,,667453,D,H2 Molecule in Strong Magnetic Fields,,,Journal of Physics A: Mathematical and Theoretical,43,47,474005,,,1751-8113,10.1088/1751-8113/43/47/474005,,2010,http://eprints.bbk.ac.uk/6988/,3,False,True,False,False,,,,0,10,True,
