UKPRN,UnitOfAssessment,MultipleSubmission,TotalCategoryAFte,TotalCategoryCHeadCount,TotalHeadCount
10007760,18,,25.15,0,27
10006840,18,,24.2,0,25
10007786,18,,18.6,0,20
10000961,18,,26.2,0,27
10007788,18,,27,0,27
10001478,18,,13.7,0,16
10007789,18,,14,0,16
10007791,18,,33.33,0,34
10007792,18,,24.5,0,25
10007150,18,,21.9,0,22
10007796,18,,22.4,0,24
10007784,18,,36.9,0,42
10004063,18,,51.4,0,54
10007798,18,,33.2,0,36
10007154,18,,35,0,36
10007774,18,,83.9,0,86
10007775,18,,24.45,0,27
10005553,18,,14.4,0,15
10007157,18,,14.9,0,15
10007158,18,,21.8,0,24
10007160,18,,20.65,0,24
10007806,18,,17.4,0,19
10007163,18,,41.6,0,44
10007167,18,,28.07,0,29
10007783,18,,19.25,0,20
10007790,18,,17.5,0,18
10007794,18,,23.75,0,25
10007803,18,,20.5,0,21
