UKPRN,UnitOfAssessment,MultipleSubmission,Profile,FourStar,ThreeStar,TwoStar,OneStar,Unclassified
10007760,18,,Environment,0,50,50,0,0
10007760,18,,Impact,0,70,20,10,0
10007760,18,,Outputs,10.3,47.4,37.1,4.2,1
10007760,18,,Overall,7,52,36,4,1
10006840,18,,Environment,0,75,25,0,0
10006840,18,,Impact,26.7,46.6,26.7,0,0
10006840,18,,Outputs,7.6,58.2,32.9,1.3,0
10006840,18,,Overall,10,59,30,1,0
10007786,18,,Environment,62.5,37.5,0,0,0
10007786,18,,Impact,100,0,0,0,0
10007786,18,,Outputs,22.2,58.8,19,0,0
10007786,18,,Overall,44,44,12,0,0
10000961,18,,Environment,0,50,50,0,0
10000961,18,,Impact,0,40,40,20,0
10000961,18,,Outputs,2,22.5,63.7,11.8,0
10000961,18,,Overall,1,30,57,12,0
10007788,18,,Environment,12.5,87.5,0,0,0
10007788,18,,Impact,50,50,0,0,0
10007788,18,,Outputs,54.5,39.4,5.1,1,0
10007788,18,,Overall,47,49,3,1,0
10001478,18,,Environment,0,75,25,0,0
10001478,18,,Impact,20,30,10,0,40
10001478,18,,Outputs,16.7,37,29.6,16.7,0
10001478,18,,Overall,15,41,25,11,8
10007789,18,,Environment,0,75,25,0,0
10007789,18,,Impact,20,60,20,0,0
10007789,18,,Outputs,20.4,71.4,8.2,0,0
10007789,18,,Overall,17,70,13,0,0
10007791,18,,Environment,62.5,37.5,0,0,0
10007791,18,,Impact,20,80,0,0,0
10007791,18,,Outputs,29.2,60.2,10.6,0,0
10007791,18,,Overall,32,61,7,0,0
10007792,18,,Environment,25,50,25,0,0
10007792,18,,Impact,13.3,60,13.4,13.3,0
10007792,18,,Outputs,13.3,57.8,19.3,9.6,0
10007792,18,,Overall,15,57,19,9,0
10007150,18,,Environment,0,12.5,87.5,0,0
10007150,18,,Impact,13.3,50,10,26.7,0
10007150,18,,Outputs,2.5,43.1,37.9,16.5,0
10007150,18,,Overall,4,40,40,16,0
10007796,18,,Environment,0,62.5,37.5,0,0
10007796,18,,Impact,0,26.7,33.3,40,0
10007796,18,,Outputs,18.8,50,28.7,0,2.5
10007796,18,,Overall,12,47,31,8,2
10007784,18,,Environment,100,0,0,0,0
10007784,18,,Impact,92,8,0,0,0
10007784,18,,Outputs,69.7,28.2,2.1,0,0
10007784,18,,Overall,79,20,1,0,0
10004063,18,,Environment,100,0,0,0,0
10004063,18,,Impact,86.7,13.3,0,0,0
10004063,18,,Outputs,56.3,33.3,4.9,0.6,4.9
10004063,18,,Overall,69,24,3,1,3
10007798,18,,Environment,12.5,87.5,0,0,0
10007798,18,,Impact,40,50,10,0,0
10007798,18,,Outputs,11.4,53.5,30.7,4.4,0
10007798,18,,Overall,17,58,22,3,0
10007154,18,,Environment,12.5,87.5,0,0,0
10007154,18,,Impact,18,74,8,0,0
10007154,18,,Outputs,19.7,65.3,14.2,0,0.8
10007154,18,,Overall,18,71,10,0,1
10007774,18,,Environment,100,0,0,0,0
10007774,18,,Impact,64.4,22.3,13.3,0,0
10007774,18,,Outputs,42.6,44.2,11.1,2.1,0
10007774,18,,Overall,56,33,10,1,0
10007775,18,,Environment,12.5,50,25,12.5,0
10007775,18,,Impact,13.3,86.7,0,0,0
10007775,18,,Outputs,20.2,62.8,15.9,1.1,0
10007775,18,,Overall,18,65,14,3,0
10005553,18,,Environment,0,75,25,0,0
10005553,18,,Impact,60,20,20,0,0
10005553,18,,Outputs,35.3,45.1,15.7,1.9,2
10005553,18,,Overall,35,45,17,2,1
10007157,18,,Environment,0,50,50,0,0
10007157,18,,Impact,40,20,0,0,40
10007157,18,,Outputs,8,56,36,0,0
10007157,18,,Overall,13,48,31,0,8
10007158,18,,Environment,0,50,50,0,0
10007158,18,,Impact,10,50,40,0,0
10007158,18,,Outputs,22,37.8,35.3,3.7,1.2
10007158,18,,Overall,16,42,39,2,1
10007160,18,,Environment,12.5,75,12.5,0,0
10007160,18,,Impact,0,86.7,13.3,0,0
10007160,18,,Outputs,26.8,52.1,21.1,0,0
10007160,18,,Overall,19,63,18,0,0
10007806,18,,Environment,0,87.5,12.5,0,0
10007806,18,,Impact,36.7,50,13.3,0,0
10007806,18,,Outputs,14.8,46.3,35.2,1.8,1.9
10007806,18,,Overall,17,53,28,1,1
10007163,18,,Environment,37.5,62.5,0,0,0
10007163,18,,Impact,60,40,0,0,0
10007163,18,,Outputs,42.6,50.8,6.6,0,0
10007163,18,,Overall,45,51,4,0,0
10007167,18,,Environment,0,75,25,0,0
10007167,18,,Impact,40,50,10,0,0
10007167,18,,Outputs,14.4,59.6,24.1,1.9,0
10007167,18,,Overall,17,60,22,1,0
10007783,18,,Environment,0,37.5,62.5,0,0
10007783,18,,Impact,0,63.3,36.7,0,0
10007783,18,,Outputs,4.8,50.8,30.1,14.3,0
10007783,18,,Overall,3,51,37,9,0
10007790,18,,Environment,50,50,0,0,0
10007790,18,,Impact,13.3,60,26.7,0,0
10007790,18,,Outputs,30.9,54.6,12.7,1.8,0
10007790,18,,Overall,30,55,14,1,0
10007794,18,,Environment,0,75,25,0,0
10007794,18,,Impact,0,63.3,36.7,0,0
10007794,18,,Outputs,18.1,61.4,18.1,2.4,0
10007794,18,,Overall,12,64,22,2,0
10007803,18,,Environment,0,87.5,12.5,0,0
10007803,18,,Impact,0,50,50,0,0
10007803,18,,Outputs,23.5,58.9,17.6,0,0
10007803,18,,Overall,15,62,23,0,0
