UKPRN,UnitOfAssessment,MultipleSubmission,Identifier,OutputType,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsNonEnglishOutput,IsInterdisciplinary,ProposeDoubleWeighting,IsReserveOutput,DoubleWeightingStatement,EnglishAbstract,ResearchGroup,CitedByCount,CrossReferToUoa,CitationsApplicable,AdditionalInformation
10000291,25,,593043,D,Student engagement and blended learning: Portraits of risk,,,Computers & Education,54,3,693,,,03601315,10.1016/j.compedu.2009.08.035,,2010,,1,False,,False,False,,,,,,False,
10000291,25,,593046,D,"A journey into silence: students, stakeholders and the impact of a strategic governmental policy document in the UK",,,Social Responsibility Journal,5,4,566,,,1747-1117,10.1108/17471110910995401,,2009,,2,False,,False,False,,,,,,False,
10000291,25,,593048,D,Encouraging student engagement in a blended learning environment:  the use of contemporary learning spaces,,,Learning Media and Technology,33,2,139,,,17439884,10.1080/17439880802097683,,2008,,1,False,,False,False,,,,,,False,
10000291,25,,593050,D,Empowering teachers to author multimedia learning resources that support students’ critical thinking,,,European Journal of Open and Distance Learning,n/a,n/a,481,n/a,,1027-5207,,,2012,http://www.eurodl.org/materials/contrib/2012/Holley_Boyle.pdf,,False,,False,False,,,,,,False,
10000291,25,,638791,D,Linguistic diversity as sociodemographic predictor of nursing program progression and completion,,,Contemporary Nurse,38,1-2,84,84,,1037-6178,10.5172/conu.2011.38.1-2.84,,2011,,5,False,,False,False,,,,,,False,
10000291,25,,638797,D,English-language acculturation predicts academic performance in nursing students who speak English as a second language,,,Research in Nursing & Health,31,1,86,n/a,,1098240X,10.1002/nur.20224,,2008,,4,False,,False,False,,,,,,False,
10000291,25,,639011,B,"The Rich World and the Impoverishment of Education: Diminishing Democracy, Equity and Workers’ Rights",,Taylor & Francis,,,,,,978-0-415-50709-7,,,,2009,,,False,,False,False,,,,,,False,
10000291,25,,639014,D,Race and Class in Britain: a Critique of the statistical basis for Critical Race Theory in Britain: and some political implications,,,Journal For Critical Education Policy Studies,7,2,159,,,17402743,,,2009,http://www.jceps.com/index.php?pageID=article&articleID=159,,False,,False,False,,,,,,False,
10000291,25,,648290,D,‘Let's throw that big stick in the river’: an exploration of gender in the construction of shared narratives around outdoor spaces,,,European Early Childhood Education Research Journal,18,4,527,,,1752-1807,10.1080/1350293X.2010.525953,,2010,,,False,,False,False,,,,,,False,
10000291,25,,648291,D,Research with children: three challenges for participatory research in early childhood,,,European Early Childhood Education Research Journal,19,1,5,,,1752-1807,10.1080/1350293X.2011.548964,,2011,,1,False,,False,False,,,,,,False,
10000291,25,,649572,N,"Longitudinal Study of Early Years Professional Status: an exploration of progress, leadership and impact",,Department for Education,,,,,,,,,,2012,,6,False,,False,False,,,,,,False,Research Report RR 239c
10000291,25,,654009,A,Women Studying Childcare: Integrating Lives Through Adult Education,,Trentham Books,,,,,,978-1-85856-485-2,,,,2011,,,False,,False,False,,,,,,False,
10000291,25,,654893,D,Choosing to compromise: women studying childcare,,,Gender and Education,25,2,206,,,1360-0516,10.1080/09540253.2012.712095,,2013,,,False,,False,False,,,,,,False,
10000291,25,,655964,D,"Childcare, children and capability",,,Cambridge Journal of Education,42,3,409,,,1469-3577,10.1080/0305764X.2012.706256,,2012,,,False,,False,False,,,,,,False,
10000291,25,,1790286,D,The impact of term-time paid work on academic performance in nursing students: A longitudinal study,,,International Journal of Nursing Studies,49,5,579,,,00207489,10.1016/j.ijnurstu.2011.10.012,,2012,,4,False,,False,False,,,,,,False,
10000291,25,,1790289,D,Biosciences within the pre-registration (pre-requisite) curriculum: An integrative literature review of curriculum interventions 1990–2012,,,Nurse Education Today,n/a,,n/a,n/a,,02606917,10.1016/j.nedt.2013.08.012,,2013,,2,False,,False,False,,,,,,False,
10000291,25,,1790292,D,Exploring the development of action research in nursing and social care in the UK: A comparative bibliometric review of action research designs in social work (2000-2010),,,Action Research,10,1,79,,,1741-2617,10.1177/1476750312439902,,2012,,,False,,False,False,,,,,,False,
10000291,25,,1790294,D,Evaluation of the currency of the Davies and Oberle (1990) model of supportive care in specialist and specialised palliative care settings in England,,,Journal of Clinical Nursing,n/a,,n/a,,,09621067,10.1111/jocn.12301,,2013,,1,False,,False,False,,,,,,False,
10000291,25,,1810920,N,First National Survey of Practitioners with Early Years’ Professional Status,,Children's Workforce Development Council,,,,,,,,,,2011,,3,False,,False,False,,,,,,False,
10000291,25,,2430838,D,"Systematic review of the uptake and design of action research in published nursing research, 2000-2005",,,Journal of Research in Nursing,13,6,465,,,1744-9871,10.1177/1744987108090297,,2008,,2,False,,False,False,,,,,,False,
10000291,25,,2430842,D,Safeguarding in medication administration: understanding pre-registration nursing students' survey response to patient safety and peer reporting issues,,,Journal of Nursing Management,n/a,n/a,n/a,,,09660429,10.1111/jonm.12134,,2013,,1,False,,False,False,,,,,,False,
10000571,25,,2964295,D,Convening a network within the European Conference on Educational Research: a history of the Social Justice and Intercultural Education Network,,,European Educational Research Journal,10,1,129,,,1474-9041,10.2304/eerj.2011.10.1.129,,2011,http://researchspace.bathspa.ac.uk/1089/,1,False,,False,False,,,,,,False,
10000571,25,,2964297,D,Stick to your own kind: pupils’ experiences of identity and diversity in secondary schools,,,British Journal of Educational Studies,60,2,171,,,1467-8527,10.1080/00071005.2012.681626,,2012,http://researchspace.bathspa.ac.uk/1148/,2,False,,False,False,,,,,,False,
10000571,25,,2964299,D,"Outsiders or insiders? Identity, educational success and Muslim young men in England",,,Ethnography and Education,6,1,81,,,1745-7823,10.1080/17457823.2011.553081,,2011,http://researchspace.bathspa.ac.uk/1147/,0,False,,False,False,,,,,,False,
10000571,25,,2964301,D,Learning behind bars: Education in prisons,,,Teaching and Teacher Education,26,1,31,,,0742-051X,10.1016/j.tate.2009.06.020,,2010,http://researchspace.bathspa.ac.uk/1146/,0,False,,False,False,,,,,,False,
10000571,25,,2964303,D,More than a body's work: widening cultural participation through an international exploration of young people's construction of visual image and identity,,Blackwell Publishing Ltd,The International Journal of Art & Design Education,27,3,293,,,1476-8062,10.1111/j.1476-8070.2008.00585.x,,2008,http://researchspace.bathspa.ac.uk/478/,0,False,,False,False,,,,,,False,
10000571,25,,2964305,D,Intercultural identities: addressing the global dimension through art education,,Blackwell Publishing Ltd,International Journal of Art and Design Education,30,2,279,,,1476-8070,10.1111/j.1476-8070.2011.01697.x,,2011,http://researchspace.bathspa.ac.uk/481/,0,False,,False,False,,,,,,False,
10000571,25,,2964307,C,Buddhism within the English State School System,,World Buddhist Foundation,Dharma to the UK: a centennial celebration of Buddhist legacy,,,,,0951895729,,,,2008,http://researchspace.bathspa.ac.uk/609/,0,False,,False,False,,,,,,False,
10000571,25,,2964309,C,Teenage Witchcraft in Britain,,Ashgate,Religion and Youth,,,,,9780754667643,,,,2010,http://researchspace.bathspa.ac.uk/611/,0,False,,False,False,,,,,,False,
10000571,25,,2964310,C,Without Fear or Favour: forty years of non-confessional and multi-faith RE in Scandinavia and the UK,,Waxmann,"Religious Education in a Plural, Secularised Society: a paradigm shift",,,,,9783830925439,,,,2011,http://researchspace.bathspa.ac.uk/612/,0,False,,False,False,,,,,,False,
10000571,25,,2964312,D,‘Do they really believe that?’: Experiential learning outside the theology and religious studies classroom,,,Discourse: Learning and Teaching in Philosophical and Religious Studies,10,1,55,,,1741-4164,,,2010,http://researchspace.bathspa.ac.uk/613/,1,False,,False,False,,,,,,False,
