UKPRN,UnitOfAssessment,MultipleSubmission,TotalCategoryAFte,TotalCategoryCHeadCount,TotalHeadCount
10000291,25,,5.2,0,6
10000571,25,,13.2,0,15
10007152,25,,8.4,0,10
10006840,25,,23.7,0,27
10007140,25,,7.5,0,10
10007811,25,,6,0,6
10006841,25,,7.4,0,9
10000886,25,,7.3,0,8
10007786,25,,34.5,0,41
10000961,25,,14.2,0,17
10007788,25,,34.2,0,39
10001143,25,,21.6,0,26
10007848,25,,5,0,5
10007842,25,,4.72,0,5
10007851,25,,6,0,7
10007143,25,,24.5,0,26
10007789,25,,13.2,0,14
10007144,25,,8.4,0,11
10007823,25,,11.7,0,13
10007792,25,,25.92,0,30
10002718,25,,9.5,0,11
10007146,25,,10,0,12
10007148,25,,11.75,0,14
10007149,25,,13.6,0,16
10003645,25,,36.3,0,40
10007768,25,,11,0,11
10007795,25,,32.1,0,34
10003861,25,,11.61,0,13
10007796,25,,24.1,0,25
10007151,25,,6.6,0,8
10003956,25,,12.2,0,13
10003957,25,,12.8,0,14
10007784,25,A,219,0,249
10007784,25,B,8.2,0,11
10004048,25,,3.8,0,5
10004113,25,,7.7,0,9
10007798,25,,33.1,0,40
10004180,25,,22.5,0,24
10007799,25,,16.7,0,19
10007832,25,,7.4,0,8
10007138,25,,14.6,0,15
10007154,25,,24.6,0,25
10004797,25,,20.9,0,23
10007773,25,,54.26,0,58
10007774,25,,39.22,0,44
10004930,25,,10.5,0,13
10007801,25,,24,0,24
10007802,25,,15.6,0,18
10007776,25,,14.2,0,16
10007843,25,,11.96,0,14
10007157,25,,14.5,0,15
10005790,25,,12.4,0,14
10007158,25,,22,0,22
10006299,25,,6.75,0,8
10007159,25,,21.1,0,22
10007806,25,,16.1,0,17
10007163,25,,34.57,0,37
10007164,25,,10.2,0,11
10006566,25,,3.9,0,5
10003614,25,,7.13,0,11
10007166,25,,9.2,0,12
10007139,25,,14.3,0,16
10007167,25,,22.3,0,25
10007713,25,,9.4,0,11
10007783,25,,9.6,0,10
10007852,25,,8.8,0,11
10007790,25,,39.97,0,43
10007794,25,,37.5,0,41
10007762,25,,6.4,0,7
10007804,25,,14,0,14
10007805,25,,24.6,0,26
10007800,25,,14,0,14
10007814,25,,20.6,0,21
10005343,25,,22.8,0,24
10008010,25,,5,0,5
10007807,25,,12.2,0,13
