UKPRN,UnitOfAssessment,MultipleSubmission,Profile,FourStar,ThreeStar,TwoStar,OneStar,Unclassified
10007760,32,,Environment,0,80,20,0,0
10007760,32,,Impact,40,30,30,0,0
10007760,32,,Outputs,37.5,35.4,27.1,0,0
10007760,32,,Overall,32,41,27,0,0
10006840,32,,Environment,60,30,10,0,0
10006840,32,,Impact,80,20,0,0,0
10006840,32,,Outputs,37,38.9,20.4,3.7,0
10006840,32,,Overall,49,34,15,2,0
10007786,32,,Environment,90,10,0,0,0
10007786,32,,Impact,20,70,10,0,0
10007786,32,,Outputs,21.1,54.3,22.8,1.8,0
10007786,32,,Overall,31,51,17,1,0
10007788,32,A,Environment,90,10,0,0,0
10007788,32,A,Impact,0,100,0,0,0
10007788,32,A,Outputs,25.8,42.4,27.3,4.5,0
10007788,32,A,Overall,30,49,18,3,0
10007788,32,B,Environment,50,50,0,0,0
10007788,32,B,Impact,74,26,0,0,0
10007788,32,B,Outputs,28.7,42.6,24.6,4.1,0
10007788,32,B,Overall,41,40,16,3,0
10007143,32,,Environment,60,40,0,0,0
10007143,32,,Impact,13.3,60,0,26.7,0
10007143,32,,Outputs,12.9,48.5,34.3,4.3,0
10007143,32,,Overall,20,50,22,8,0
10007789,32,,Environment,0,50,50,0,0
10007789,32,,Impact,50,50,0,0,0
10007789,32,,Outputs,17.4,43.5,39.1,0,0
10007789,32,,Overall,21,46,33,0,0
10007791,32,,Environment,50,30,20,0,0
10007791,32,,Impact,40,60,0,0,0
10007791,32,,Outputs,28.6,53.5,17.9,0,0
10007791,32,,Overall,34,51,15,0,0
10007147,32,,Environment,10,70,20,0,0
10007147,32,,Impact,30,50,20,0,0
10007147,32,,Outputs,18.4,39.5,31.6,10.5,0
10007147,32,,Overall,19,47,27,7,0
10007149,32,,Environment,0,50,30,20,0
10007149,32,,Impact,0,50,50,0,0
10007149,32,,Outputs,3.3,16.7,73.3,0,6.7
10007149,32,,Overall,2,29,62,3,4
10007767,32,,Environment,0,60,40,0,0
10007767,32,,Impact,80,20,0,0,0
10007767,32,,Outputs,0,43.8,56.2,0,0
10007767,32,,Overall,16,41,43,0,0
10007150,32,,Environment,10,50,40,0,0
10007150,32,,Impact,40,50,10,0,0
10007150,32,,Outputs,13.3,33.4,48.9,4.4,0
10007150,32,,Overall,18,39,40,3,0
10003645,32,,Environment,60,40,0,0,0
10003645,32,,Impact,63.3,23.4,13.3,0,0
10003645,32,,Outputs,34.4,39.6,25,1,0
10003645,32,,Overall,44,36,19,1,0
10003678,32,,Environment,10,70,20,0,0
10003678,32,,Impact,30,30,40,0,0
10003678,32,,Outputs,25,34.4,31.2,9.4,0
10003678,32,,Overall,24,39,31,6,0
10007795,32,,Environment,60,40,0,0,0
10007795,32,,Impact,30,60,10,0,0
10007795,32,,Outputs,29.3,41.4,28.2,1.1,0
10007795,32,,Overall,34,45,20,1,0
10006842,32,,Environment,0,60,40,0,0
10006842,32,,Impact,0,60,40,0,0
10006842,32,,Outputs,26.7,36.6,36.7,0,0
10006842,32,,Overall,17,45,38,0,0
10007784,32,,Environment,50,50,0,0,0
10007784,32,,Impact,80,10,10,0,0
10007784,32,,Outputs,34.1,30.5,34.2,1.2,0
10007784,32,,Overall,46,29,24,1,0
10004063,32,,Environment,90,10,0,0,0
10004063,32,,Impact,36.7,63.3,0,0,0
10004063,32,,Outputs,26.7,46.6,26.7,0,0
10004063,32,,Overall,38,45,17,0,0
10007798,32,,Environment,10,90,0,0,0
10007798,32,,Impact,40,40,20,0,0
10007798,32,,Outputs,16,48,30,2,4
10007798,32,,Overall,20,53,23,1,3
10004180,32,,Environment,0,60,30,10,0
10004180,32,,Impact,0,50,50,0,0
10004180,32,,Outputs,6.7,23.3,46.7,23.3,0
10004180,32,,Overall,4,35,44,17,0
10007154,32,,Environment,0,80,20,0,0
10007154,32,,Impact,10,70,20,0,0
10007154,32,,Outputs,13.7,49,37.3,0,0
10007154,32,,Overall,11,58,31,0,0
10007773,32,,Environment,0,20,70,10,0
10007773,32,,Impact,10,10,80,0,0
10007773,32,,Outputs,6.7,40,50,3.3,0
10007773,32,,Overall,6,31,59,4,0
