UKPRN,UnitOfAssessment,MultipleSubmission,Identifier,OutputType,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsNonEnglishOutput,IsInterdisciplinary,ProposeDoubleWeighting,IsReserveOutput,DoubleWeightingStatement,EnglishAbstract,ResearchGroup,CitedByCount,CrossReferToUoa,CitationsApplicable,AdditionalInformation
10007850,9,,3348635,D,Tapered fibers embedded in silica aerogel,,,Optics Letters,34,18,2724,,,0146-9592,10.1364/OL.34.002724,,2009,http://dx.doi.org/10.1364/OL.34.002724,6,False,,False,False,,,A,24,,True,
10007850,9,,3348636,D,Ultrafast laser inscription of an integrated photonic lantern,,,Optics Express,19,6,5698,,,1094-4087,10.1364/OE.19.005698,,2011,http://dx.doi.org/10.1364/OE.19.005698,4,False,,False,False,,,A,32,,True,
10007850,9,,3348644,D,Heralded generation of ultrafast single photons in pure quantum states,,,Physical Review Letters,100,13,,133601,,0031-9007,10.1103/PhysRevLett.100.133601,,2008,http://dx.doi.org/10.1103/PhysRevLett.100.133601,6,False,,False,False,,,A,152,,True,
10007850,9,,3348659,D,Bright cavity polariton solitons,,,Physical Review Letters,102,15,,153904,,0031-9007,10.1103/PhysRevLett.102.153904,,2009,http://dx.doi.org/10.1103/PhysRevLett.102.153904,3,False,,False,False,,,A,26,,True,
10007850,9,,3348660,D,Vortex lattices in coherently pumped polariton microcavities,,,Physical Review Letters,104,21,,213903,,0031-9007,10.1103/PhysRevLett.104.213903,,2010,http://dx.doi.org/10.1103/PhysRevLett.104.213903,2,False,,False,False,,,A,4,,True,
10007850,9,,3348661,D,Two-dimensional localization of exciton polaritons in microcavities,,,Physical Review Letters,105,7,,073903,,0031-9007,10.1103/PhysRevLett.105.073903,,2010,http://dx.doi.org/10.1103/PhysRevLett.105.073903,3,False,,False,False,,,A,20,,True,
10007850,9,,3348662,D,Observation of bright solitons in a semiconductor microcavity,,,Nature Photonics,6,1,50,,,1749-4885,10.1038/NPHOTON.2011.267,,2012,http://arxiv.org/abs/1109.1962,9,False,,False,False,,,A,26,,True,
10007850,9,,3348663,D,Nonclassical 2-photon interference with separate intrinsically narrowband fibre sources,,,Optics Express,17,6,4670,,,1094-4087,10.1364/OE.17.004670,,2009,http://dx.doi.org/10.1364/OE.17.004670,6,False,,False,False,,,A,45,,True,
10007850,9,,3348664,D,Narrowband high-fidelity all-fibre source of heralded single photons at 1570 nm,,,Optics Express,17,8,6156,,,1094-4087,10.1364/OE.17.006156,,2009,http://dx.doi.org/10.1364/OE.17.006156,5,False,,False,False,,,A,26,,True,
10007850,9,,3348665,D,Polarized supercontinuum in birefringent photonic crystal fibre pumped at 1064 nm and application to tuneable visible/UV generation,,,Optics Express,16,4,2438,,,1094-4087,10.1364/OE.16.002438,,2008,http://dx.doi.org/10.1364/OE.16.002438,1,False,,False,False,,,A,34,,True,
