UKPRN,UnitOfAssessment,MultipleSubmission,TotalCategoryAFte,TotalCategoryCHeadCount,TotalHeadCount
10007850,9,,23,0,23
10006840,9,,39,0,41
10007786,9,,44.15,0,48
10007788,9,,153.3,0,161
10007141,9,,20.91,0,21
10007143,9,,74.55,1,77
10007792,9,,40.2,0,41
10007147,9,,33,0,34
10007148,9,,12,0,13
10003270,9,,117.49,0,129
10007767,9,,10.5,0,11
10007150,9,,5,0,5
10003645,9,,26.6,0,27
10007768,9,,34.95,0,38
10007795,9,,24,0,24
10007796,9,,49.33,0,52
10006842,9,,34.3,0,35
10003957,9,,22.71,0,24
10007784,9,,110.53,0,113
10004113,9,,19.7,0,21
10007798,9,,64.9,0,66
10007154,9,,54.56,0,57
10007774,9,,124.7,0,130
10007155,9,,16.3,0,17
10007775,9,,24,0,24
10005553,9,,24.9,0,27
10007157,9,,30,0,30
10007158,9,,34.8,0,35
10007160,9,,27.5,0,28
10007806,9,,24.72,0,25
10007163,9,,54.6,0,57
10007167,9,,34.33,0,36
10007790,9,,66.2,1,69
10007794,9,,44.9,0,46
10007764,9,,20.8,0,22
10007803,9,,36.9,0,39
10007805,9,,27,0,28
10007856,9,,12.1,0,13
10007814,9,,19.5,0,20
10007855,9,,21,0,21
10005343,9,,44.7,0,45
