UKPRN,UnitOfAssessment,MultipleSubmission,Profile,FourStar,ThreeStar,TwoStar,OneStar,Unclassified
10007850,9,,Environment,10,70,20,0,0
10007850,9,,Impact,66.7,33.3,0,0,0
10007850,9,,Outputs,15.5,75,9.5,0,0
10007850,9,,Overall,25,66,9,0,0
10006840,9,,Environment,25,75,0,0,0
10006840,9,,Impact,24,26,42,8,0
10006840,9,,Outputs,22.9,67.5,9,0.6,0
10006840,9,,Overall,23,61,14,2,0
10007786,9,,Environment,35,65,0,0,0
10007786,9,,Impact,26,58,16,0,0
10007786,9,,Outputs,18.8,62.9,17.8,0.5,0
10007786,9,,Overall,23,62,15,0,0
10007788,9,,Environment,85,15,0,0,0
10007788,9,,Impact,47.5,42.5,10,0,0
10007788,9,,Outputs,23.9,65.6,9.8,0,0.7
10007788,9,,Overall,38,53,9,0,0
10007141,9,,Environment,0,35,50,15,0
10007141,9,,Impact,0,50,36.7,13.3,0
10007141,9,,Outputs,9.5,58.4,30.9,1.2,0
10007141,9,,Overall,6,53,35,6,0
10007143,9,,Environment,60,40,0,0,0
10007143,9,,Impact,40,60,0,0,0
10007143,9,,Outputs,21.8,72.4,5.5,0.3,0
10007143,9,,Overall,31,65,4,0,0
10007792,9,,Environment,25,75,0,0,0
10007792,9,,Impact,24,68,8,0,0
10007792,9,,Outputs,21.9,65.8,10.2,2.1,0
10007792,9,,Overall,23,67,9,1,0
10007147,9,,Environment,10,65,25,0,0
10007147,9,,Impact,0,40,60,0,0
10007147,9,,Outputs,8.5,61.5,28.5,0.7,0.8
10007147,9,,Overall,7,58,34,0,1
10007148,9,,Environment,0,35,65,0,0
10007148,9,,Impact,0,0,80,20,0
10007148,9,,Outputs,9.5,45.3,45.2,0,0
10007148,9,,Overall,6,35,55,4,0
10003270,9,,Environment,70,30,0,0,0
10003270,9,,Impact,47.7,43.1,9.2,0,0
10003270,9,,Outputs,23.6,67.1,8.4,0.5,0.4
10003270,9,,Overall,35,57,7,1,0
10007767,9,,Environment,0,40,60,0,0
10007767,9,,Impact,0,40,10,10,40
10007767,9,,Outputs,23.3,62.7,14,0,0
10007767,9,,Overall,15,55,20,2,8
10007150,9,,Environment,0,60,40,0,0
10007150,9,,Impact,60,40,0,0,0
10007150,9,,Outputs,23.5,47.1,29.4,0,0
10007150,9,,Overall,27,48,25,0,0
10003645,9,,Environment,10,75,15,0,0
10003645,9,,Impact,10,60,30,0,0
10003645,9,,Outputs,22.7,67,9.3,0,1
10003645,9,,Overall,18,67,14,0,1
10007768,9,,Environment,30,60,10,0,0
10007768,9,,Impact,10,70,20,0,0
10007768,9,,Outputs,27.6,51.5,19.4,1.5,0
10007768,9,,Overall,24,57,18,1,0
10007795,9,,Environment,20,65,15,0,0
10007795,9,,Impact,66.7,33.3,0,0,0
10007795,9,,Outputs,13.6,76.2,10.2,0,0
10007795,9,,Overall,25,66,9,0,0
10007796,9,,Environment,40,60,0,0,0
10007796,9,,Impact,43.3,43.4,13.3,0,0
10007796,9,,Outputs,9,66,23,2,0
10007796,9,,Overall,21,60,18,1,0
10006842,9,,Environment,25,75,0,0,0
10006842,9,,Impact,10,70,20,0,0
10006842,9,,Outputs,17.4,73.2,8,0.7,0.7
10006842,9,,Overall,17,73,9,1,0
10003957,9,,Environment,0,50,50,0,0
10003957,9,,Impact,40,46.7,13.3,0,0
10003957,9,,Outputs,22.4,63.5,12.9,1.2,0
10003957,9,,Overall,23,58,18,1,0
10007784,9,,Environment,35,65,0,0,0
10007784,9,,Impact,30,60,10,0,0
10007784,9,,Outputs,18.6,68.6,11.9,0.9,0
10007784,9,,Overall,23,67,9,1,0
10004113,9,,Environment,0,35,65,0,0
10004113,9,,Impact,0,26.7,73.3,0,0
10004113,9,,Outputs,6.7,54.6,36,2.7,0
10004113,9,,Overall,4,46,48,2,0
10007798,9,,Environment,65,35,0,0,0
10007798,9,,Impact,82.9,17.1,0,0,0
10007798,9,,Outputs,17.6,69.5,11.7,0.8,0.4
10007798,9,,Overall,38,54,7,1,0
10007154,9,,Environment,60,40,0,0,0
10007154,9,,Impact,73.3,26.7,0,0,0
10007154,9,,Outputs,20.7,73.6,5.2,0,0.5
10007154,9,,Overall,37,59,4,0,0
10007774,9,,Environment,85,15,0,0,0
10007774,9,,Impact,41.5,43.1,15.4,0,0
10007774,9,,Outputs,33.2,58.6,7.3,0.5,0.4
10007774,9,,Overall,43,49,7,1,0
10007155,9,,Environment,0,90,10,0,0
10007155,9,,Impact,13.3,50,36.7,0,0
10007155,9,,Outputs,21.6,74.5,3.9,0,0
10007155,9,,Overall,17,72,11,0,0
10007775,9,,Environment,10,80,10,0,0
