UKPRN,UnitOfAssessment,MultipleSubmission,TotalCategoryAFte,TotalCategoryCHeadCount,TotalHeadCount
10006840,2,,44.7,0,49
10007786,2,,74.6,0,84
10000961,2,,10.3,0,12
10007788,2,,57.07,0,61
10007789,2,,14,0,15
10007792,2,,24.85,0,25
10003270,2,,54.6,0,61
10007767,2,,9.2,0,10
10003645,2,,23.5,0,26
10007795,2,,26.2,0,28
10003861,2,,22.6,0,24
10007796,2,,24.2,0,26
10006842,2,,31.3,0,34
10003958,2,,4.2,0,6
10007784,2,,159.75,5,181
10007771,2,,257.16,1,296
10007798,2,,33.33,0,36
10007799,2,,27.22,0,32
10007154,2,,33.02,0,35
10007774,2,,47.7,1,54
10007155,2,,8.3,1,10
10007775,2,,20.61,0,23
10007782,2,,11.57,0,14
10007157,2,,74.32,0,83
10007158,2,,10.5,0,13
10007163,2,,30.77,0,33
10007167,2,,52.74,1,61
10007783,2,,47.5,0,52
10007852,2,,16.2,0,17
10007794,2,,48.42,0,53
10007814,2,,24.29,1,30
10005343,2,,29.6,0,30
